data_type,algo,train.val,mean_auc,median_auc,std_auc
CLN,avg,0,0.7563272727272727,0.7567727272727273,0.004201578259587918
CLN,avg,1,0.7749037267080746,0.7763923395445135,0.00935395450087831
CLN,lr,0,0.7463363636363637,0.7452272727272727,0.0064783385619628904
CLN,lr,1,0.7746107660455486,0.7748511904761904,0.010152166137014263
CLN,svc,0,0.7459681818181818,0.7473409090909091,0.006071696292451465
CLN,svc,1,0.7634871894409938,0.763258281573499,0.011010534795633058
CLN,xgb,0,0.7449227272727273,0.7495681818181819,0.012271381332855125
CLN,xgb,1,0.7669543219461697,0.7673673654244306,0.006778400239302671
CLN_MET,avg,0,0.7644272727272727,0.7654090909090909,0.005701328120044936
CLN_MET,avg,1,0.7686030020703933,0.7720419254658386,0.018535857336587396
CLN_MET,lr,0,0.7458545454545454,0.7426363636363637,0.007473516142096067
CLN_MET,lr,1,0.7729187370600414,0.7748498964803312,0.009743510449264824
CLN_MET,svc,0,0.7536363636363637,0.7570454545454545,0.0076822216139356215
CLN_MET,svc,1,0.7440905797101449,0.7433385093167701,0.020809728485563807
CLN_MET,xgb,0,0.7454181818181819,0.7457954545454546,0.009714822580869772
CLN_MET,xgb,1,0.7664237836438923,0.769705615942029,0.01063819336375225
CLN_MIR,avg,0,0.7519454545454545,0.7500454545454546,0.0037360576443308223
CLN_MIR,avg,1,0.7753426501035197,0.7766045548654243,0.017192415606440282
CLN_MIR,lr,0,0.7360727272727272,0.7388636363636364,0.006737884068931036
CLN_MIR,lr,1,0.7805178571428572,0.7843180641821946,0.013683533244290901
CLN_MIR,svc,0,0.7429,0.7446363636363637,0.0027959205491522544
CLN_MIR,svc,1,0.7447580227743271,0.752324016563147,0.019432319528170868
CLN_MIR,xgb,0,0.7457,0.7442272727272727,0.013907526154803979
CLN_MIR,xgb,1,0.7698165113871636,0.769702380952381,0.01271469876124386
CLN_MIR_MET,avg,0,0.756109090909091,0.7562272727272727,0.005822883201533073
CLN_MIR_MET,avg,1,0.7712895962732919,0.7752368012422359,0.019499843161343552
CLN_MIR_MET,lr,0,0.7360454545454546,0.7385,0.007420252483829878
CLN_MIR_MET,lr,1,0.7787116977225673,0.7797942546583851,0.014408381290715044
CLN_MIR_MET,svc,0,0.7437409090909091,0.7427727272727273,0.008341072164205496
CLN_MIR_MET,svc,1,0.7270043995859213,0.7308307453416149,0.025791751586452347
CLN_MIR_MET,xgb,0,0.7443227272727273,0.7435909090909091,0.010437655438651635
CLN_MIR_MET,xgb,1,0.7677978778467909,0.7671752070393375,0.011793902467316944
CLN_MTB,avg,0,0.7913,0.7920454545454545,0.00459609168419359
CLN_MTB,avg,1,0.7924966356107661,0.7900336438923395,0.01585087563691179
CLN_MTB,lr,0,0.7601818181818182,0.7568181818181818,0.016925646288862516
CLN_MTB,lr,1,0.7828227225672878,0.7798473084886128,0.01655697793918421
CLN_MTB,svc,0,0.7927454545454544,0.7937272727272726,0.0020008262755981444
CLN_MTB,svc,1,0.7769138198757763,0.7740793219461697,0.016358856943098375
CLN_MTB,xgb,0,0.7641954545454546,0.7638636363636364,0.008586700642011379
CLN_MTB,xgb,1,0.776164466873706,0.7776391045548654,0.010933454730486764
CLN_MTB_MET,avg,0,0.7974909090909091,0.7978181818181818,0.0040259032717331385
CLN_MTB_MET,avg,1,0.7862036749482402,0.7855318322981366,0.020402701656187867
CLN_MTB_MET,lr,0,0.7639545454545454,0.7558636363636364,0.02116398217288372
CLN_MTB_MET,lr,1,0.7810437370600415,0.7776863354037268,0.016106711786009486
CLN_MTB_MET,svc,0,0.7926090909090908,0.7925909090909091,0.0008143005584236547
CLN_MTB_MET,svc,1,0.7641877587991719,0.7619280538302278,0.021378664013748782
CLN_MTB_MET,xgb,0,0.763990909090909,0.7605681818181818,0.009517534926354609
CLN_MTB_MET,xgb,1,0.7770751811594203,0.7781612318840581,0.013769381692459946
CLN_MTB_MIR,avg,0,0.7805272727272727,0.7827727272727273,0.007140566863572506
CLN_MTB_MIR,avg,1,0.7912003105590062,0.7888612836438924,0.0192717407437929
CLN_MTB_MIR,lr,0,0.7455545454545455,0.742,0.0126361419935507
CLN_MTB_MIR,lr,1,0.7902375776397517,0.7897036749482402,0.016208448620849
CLN_MTB_MIR,svc,0,0.7788272727272727,0.7783636363636364,0.0033310460472042564
