Seed,Modality,svm.C,xgb.subsample,xgb.learning_rate,xgb.n_estimators,xgb.max_depth,xgb.colsample_bytree,lr.l1_ratio,lr.C
1,CLN,0.003224590545296398,0.7,0.3,5,3,0.6,0.1,0.006723357536499335
2,CLN,0.003224590545296398,0.6,0.01,25,1,0.7,0.7000000000000001,0.3039195382313198
3,CLN,0.21826447283974873,0.8,0.01,50,1,0.7,0.8,0.0727895384398315
4,CLN,2.868316813342009e-06,0.6,0.01,25,1,0.7,0.30000000000000004,0.02807216203941177
5,CLN,1e-06,0.7,0.01,100,1,0.9,0.7000000000000001,0.0727895384398315
6,CLN,0.01314147362611758,0.8,0.3,10,2,1.0,0.1,0.04520353656360243
7,CLN,0.018671810912919206,0.6,0.1,25,1,0.9,0.2,0.04520353656360243
8,CLN,0.01314147362611758,0.9,0.3,10,1,0.6,1.0,0.11721022975334805
9,CLN,0.018671810912919206,0.6,0.1,25,1,0.6,0.30000000000000004,0.0727895384398315
10,CLN,0.00650967523045817,0.8,0.1,25,1,0.9,0.1,0.010826367338740546
1,CLN_MET,0.018671810912919206,0.7,0.1,5,2,0.7,0.1,0.006723357536499335
2,CLN_MET,0.01314147362611758,1.0,0.01,10,1,0.6,0.1,0.006723357536499335
3,CLN_MET,0.01314147362611758,0.6,0.1,10,1,1.0,0.8,0.0727895384398315
4,CLN_MET,8.227241341700474e-06,0.6,0.1,5,1,0.6,0.1,0.006723357536499335
5,CLN_MET,0.00650967523045817,0.9,0.2,10,2,0.9,0.7000000000000001,0.0727895384398315
6,CLN_MET,0.009249147277217335,0.8,0.1,100,1,0.9,0.1,0.04520353656360243
7,CLN_MET,0.01314147362611758,0.6,0.2,100,2,0.9,1.0,0.11721022975334805
8,CLN_MET,0.01314147362611758,0.8,0.2,50,3,1.0,0.8,0.11721022975334805
9,CLN_MET,1e-06,0.7,0.2,10,1,1.0,0.6,0.11721022975334805
10,CLN_MET,1e-06,0.9,0.01,50,1,0.8,0.1,0.010826367338740546
1,CLN_MIR,0.004581597669054491,1.0,0.3,50,1,0.8,0.2,0.017433288221999882
2,CLN_MIR,0.003224590545296398,0.7,0.1,10,1,0.7,0.1,0.017433288221999882
3,CLN_MIR,0.003224590545296398,0.6,0.01,50,1,0.7,0.8,0.0727895384398315
4,CLN_MIR,0.003224590545296398,0.6,0.1,25,1,0.6,0.30000000000000004,0.02807216203941177
5,CLN_MIR,0.004581597669054491,0.7,0.01,100,1,0.9,0.30000000000000004,0.02807216203941177
6,CLN_MIR,0.003224590545296398,1.0,0.3,50,1,0.8,0.1,0.017433288221999882
7,CLN_MIR,0.003224590545296398,1.0,0.3,50,1,1.0,0.2,0.02807216203941177
8,CLN_MIR,0.003224590545296398,1.0,0.1,100,1,0.7,0.9,0.11721022975334805
9,CLN_MIR,0.003224590545296398,0.9,0.1,50,1,0.7,0.2,0.04520353656360243
10,CLN_MIR,0.00650967523045817,1.0,0.3,25,1,0.8,0.1,0.010826367338740546
1,CLN_MIR_MET,0.004581597669054491,0.6,0.3,50,1,0.9,0.2,0.017433288221999882
2,CLN_MIR_MET,0.0011242100350620874,0.9,0.01,50,1,0.6,0.1,0.010826367338740546
3,CLN_MIR_MET,0.009249147277217335,0.8,0.01,50,1,0.7,0.8,0.0727895384398315
4,CLN_MIR_MET,2.868316813342009e-06,0.7,0.01,5,1,0.6,0.30000000000000004,0.02807216203941177
5,CLN_MIR_MET,0.00650967523045817,0.6,0.3,10,1,0.7,0.30000000000000004,0.02807216203941177
6,CLN_MIR_MET,0.00650967523045817,1.0,0.3,50,1,1.0,0.1,0.017433288221999882
7,CLN_MIR_MET,0.01314147362611758,0.6,0.2,50,2,0.9,0.2,0.02807216203941177
