feature_name,svc_1,svc_2,svc_3,svc_4,svc_5,svc_6,svc_7,svc_8,svc_9,svc_10,svc_mean,svc_std,svc_rank,xgb_1,xgb_2,xgb_3,xgb_4,xgb_5,xgb_6,xgb_7,xgb_8,xgb_9,xgb_10,xgb_mean,xgb_std,xgb_rank,lr_1,lr_2,lr_3,lr_4,lr_5,lr_6,lr_7,lr_8,lr_9,lr_10,lr_mean,lr_std,lr_rank,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,avg_mean,avg_std,avg_rank
MS006,0.0571795246070173,0.0688156596276109,0.0634596563448459,0.0571795246070173,0.0718171893800564,0.0751711980762782,0.0374807450125506,0.0634596563448459,0.0634596563448459,0.0571795246070173,0.06152023349520856,0.009956433735903925,4,0.23317036,0.08526498,0.3950993,0.12977879,0.28800735,0.2169902,0.9523285,0.38288105,0.092042476,0.9523285,0.3727891506,0.3072179774935811,1,0.0695700488655732,0.0952507429434404,0.1841550802960125,0.0952507429434404,0.09928442051997,0.1135442665347381,0.176607267304566,0.1841550802960125,0.0952507429434404,0.1388935207108173,0.1251961913358011,0.040465616666346946,4,0.1198278486033052,0.0829531397618961,0.2127020957883058,0.0939666042807864,0.1525661793643825,0.1337902164332238,0.3887618926388941,0.2084941619417646,0.0831355159000852,0.3827605714234947,0.18589582261361387,0.10905884979661765,1
PBG,0.0563265782112936,0.0712500955609094,0.0625038702836211,0.0563265782112936,0.0824713172539056,0.0959819333234165,0.0366272769854328,0.0625038702836211,0.0625038702836211,0.0563265782112936,0.06428219686084084,0.015324576792253084,3,0.07433937,0.03445547,0.0,0.049812436,0.12941784,0.02448046,0.42155397,0.11264516,0.03400322,0.42155397,0.13022618960000001,0.15040449330628836,3,0.0799774017650619,0.1146600585077562,0.3897123269021322,0.1146600585077562,0.1332915253387192,0.1481143610653447,0.3832552637829431,0.3897123269021322,0.1146600585077562,0.1994541754008937,0.20674975566804954,0.12186263275432901,1,0.0695527290762054,0.0703862301594189,0.150738732395251,0.0694576539721725,0.1141279391054781,0.0864694403804951,0.2738664785324763,0.1757948275079719,0.0672632640751089,0.2215425060812804,0.12991998012858585,0.0696854152837271,2
HOMA.B,0.045109222034604,0.0654276220594803,0.0528901049415298,0.045109222034604,0.0762178352659599,0.0860123195632121,0.0306035912791831,0.0528901049415298,0.0528901049415298,0.045109222034604,0.05522593490962367,0.01556344283979096,7,0.09343316,0.057625037,0.17183952,0.09564723,0.15645176,0.10334628,0.4764817,0.28555775,0.04841382,0.4764817,0.1965277957,0.15414610695995595,2,0.0608406445210494,0.0835421083241876,0.2370555299096773,0.0835421083241876,0.0988715311314994,0.1066380156939247,0.2285075690499161,0.2370555299096773,0.0835421083241876,0.1264175088073874,0.13460126539956946,0.06723051343768166,3,0.065720378281829,0.0679571379709381,0.1521615099421649,0.0739822538693866,0.1092898885620914,0.0974915718807282,0.2436186758039385,0.1900676057040697,0.0607839827564389,0.2149575820488349,0.12760305868204203,0.06447055822334993,3
RBC,0.0466123794177343,0.0732598595749831,0.0578388949133352,0.0466123794177343,0.0905142772463975,0.1089621202833414,0.0288186154089209,0.0578388949133352,0.0578388949133352,0.0466123794177343,0.06149086955068513,0.022374052649117453,5,0.0,0.0,0.0,0.0,0.0,0.0,0.41165483,0.0,0.0,0.41165483,0.082330966,0.164661932,4,0.031477955555169,0.066754385724508,0.2375294023812654,0.066754385724508,0.0381260275076561,0.0769449322481806,0.2203572326781699,0.2375294023812654,0.066754385724508,0.133593658800669,0.11758217687258994,0.07919769489957182,5,0.0260301116576344,0.0466714150998303,0.0984560990982002,0.0377889217140807,0.0428801015846845,0.0619690175105073,0.2186115861999099,0.0984560990982002,0.0415310935459477,0.1959952626051119,0.08683897081141072,0.0647068707687224,4
exRNA000673,0.0519763164316671,0.0868314484384869,0.065990010409893,0.0519763164316671,0.0985688949452187,0.1048593623369896,0.0325506182447838,0.065990010409893,0.065990010409893,0.0519763164316671,0.06767093044901593,0.02164639614170706,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2538678,0.0,0.0,0.2538678,0.050773559999999995,0.10154711999999999,12,0.0398258728421939,0.0843188364778331,0.2553168194699145,0.0843188364778331,0.0507637370632677,0.0966452976956409,0.2453889359873987,0.2553168194699145,0.0843188364778331,0.1533815987042978,0.13495955906661275,0.0817352707036022,2,0.0306007297579536,0.0570500949721067,0.1071022766266025,0.0454317176365,0.0497775440028288,0.0671682200108768,0.1757770377048004,0.1071022766266025,0.0501029489625753,0.1519133610285526,0.08420262073293991,0.04665946453196117,5
GPX3,0.0371078432373507,0.0522729409075239,0.0433008346278002,0.0371078432373507,0.0668338841870174,0.0801588338339693,0.0225361917263274,0.0433008346278002,0.0433008346278002,0.0371078432373507,0.04630278842502908,0.01564905036747742,10,0.0,0.0,0.0,0.006492423,0.06525598,0.0,0.37545812,0.0,0.0,0.37545812,0.0822664643,0.14783787834848292,5,0.0300400763237723,0.0565154762575223,0.1315607959551719,0.0565154762575223,0.0403524667446525,0.0650816383492663,0.1287290406907751,0.1315607959551719,0.0565154762575223,0.1006828819378482,0.0797554124729225,0.0375017080783254,7,0.0223826398537076,0.036262805721682,0.058287210194324,0.0330664243705595,0.0563317775723061,0.0484134907277452,0.1739630147882719,0.058287210194324,0.0332721036284408,0.169581173211485,0.0689847850262846,0.05268797501356632,6
APOA2,0.0298136575860819,0.0469502572447651,0.038122067028467,0.0298136575860819,0.0562643956066051,0.0701982654005347,0.0226285002142119,0.038122067028467,0.038122067028467,0.0298136575860819,0.03998485923097635,0.01359559928011244,11,0.0,0.0,0.0,0.012994107,0.0,0.0,0.2453499,0.124612,0.006179756,0.2453499,0.0634485663,0.09791380288279689,8,0.0242115190142792,0.0467855423243235,0.1094506124422371,0.0467855423243235,0.0198496750859802,0.0475016543412259,0.0965017287511523,0.1094506124422371,0.0467855423243235,0.070902960903815,0.06182253899538973,0.03143516931301614,10,0.0180083922001203,0.0312452665230295,0.0491908931569013,0.0298519842228112,0.0253713568975284,0.0392333065805868,0.1214819837749684,0.0907140613588223,0.0303543359417881,0.1153458745766613,0.05507974552332177,0.03697241949170498,7
MP0174,0.0266354846766864,0.0439446595228848,0.0339627313721467,0.0266354846766864,0.0576216944349076,0.0680761993661118,0.0194154557758506,0.0339627313721467,0.0339627313721467,0.0266354846766864,0.03708526572462541,0.014485512670408877,17,0.0,0.0,0.0,0.0,0.0,0.0,0.13879186,0.0,0.0,0.13879186,0.027758371999999996,0.05551674399999999,33,0.0198527835032238,0.0509019306278915,0.2208233833725194,0.0509019306278915,0.0206807654624497,0.0565006054368594,0.2064158354455633,0.2208233833725194,0.0509019306278915,0.1063226999447308,0.10041252484215402,0.07899263294462902,6,0.0154960893933034,0.0316155300502587,0.0849287049148886,0.0258458051015259,0.0261008199657857,0.0415256016009904,0.1196407730882012,0.0849287049148886,0.0282882206666794,0.0887801579050365,0.05471504076015584,0.03434788493322167,8
FPG,0.0565406758470568,0.0685292413631301,0.0618390979254251,0.0565406758470568,0.0712437280843104,0.0743185581338853,0.0374332061142819,0.0618390979254251,0.0618390979254251,0.0565406758470568,0.060666405501305344,0.009772703434464762,6,0.0,0.013397238,0.1312399,0.015795447,0.0,0.006003857,0.07046999,0.1312399,0.007484571,0.07046999,0.0446100893,0.05000030824461925,15,0.0575937558526985,0.074542093280467,0.0,0.074542093280467,0.0633438413895532,0.0774027584496955,0.0,0.0,0.074542093280467,0.0846789200495898,0.0506645555582938,0.03389954068169506,14,0.038044810566585,0.0513894788871265,0.0633194354103924,0.0484377040059999,0.0448625231579545,0.0522161807081777,0.0335365501091791,0.0633194354103924,0.0474703820946624,0.0669319285586706,0.05095284289091405,0.010432991312655278,9
exRNA000005,0.0496271550255672,0.0787276093746945,0.0660782659221762,0.0496271550255672,0.0925583258160509,0.1037701276913918,0.0234570405445149,0.0660782659221762,0.0660782659221762,0.0496271550255672,0.06456293662698823,0.022107464075635287,2,0.0,0.0,0.0,0.0,0.0,0.0,0.06157576,0.0,0.0,0.06157576,0.012315152,0.024630304,67,0.0063200110618184,0.0436360537421115,0.1633090179873151,0.0436360537421115,0.0,0.0440522646578943,0.1559075955228432,0.1633090179873151,0.0436360537421115,0.0978497997030304,0.0761655868146551,0.06074728498234009,9,0.0186490553624618,0.040787887705602,0.0764624279698304,0.0310877362558929,0.0308527752720169,0.0492741307830953,0.0761937422207897,0.0764624279698304,0.0365714398880958,0.0658185723373307,0.050216019576494596,0.020758807036926265,10
