data_type,algo,train.val,auc
CLN_PRT_MIR_MET,avg,1,0.7561588738059327
CLN_PRT_MIR_MET,avg,0,0.7890909090909092
CLN_MTB_PRT,avg,1,0.7802916038210156
CLN_MTB_PRT,avg,0,0.8040909090909092
CLN_MTB_PRT_MET,avg,1,0.774928774928775
CLN_MTB_PRT_MET,avg,0,0.8099090909090909
MTB,avg,1,0.7590916708563767
MTB,avg,0,0.791090909090909
CLN_MTB_MET,avg,1,0.7968828557063852
CLN_MTB_MET,avg,0,0.7993636363636364
MET,avg,1,0.5609183844477963
MET,avg,0,0.5301818181818182
CLN_PRT,avg,1,0.7714932126696832
CLN_PRT,avg,0,0.7814545454545455
CLN_MIR_MET,avg,1,0.7801240154181331
CLN_MIR_MET,avg,0,0.758818181818182
CLN_MET,avg,1,0.7744260097201273
CLN_MET,avg,0,0.7689090909090909
CLN,avg,1,0.777191218367689
CLN,avg,0,0.7600909090909092
CLN_MTB_MIR_MET,avg,1,0.7967990615049438
CLN_MTB_MIR_MET,avg,0,0.788
CLN_MTB,avg,1,0.8040053628288923
CLN_MTB,avg,0,0.7932727272727272
CLN_MTB_PRT_MIR,avg,1,0.7831406066700184
CLN_MTB_PRT_MIR,avg,0,0.800909090909091
CLN_PRT_MIR,avg,1,0.7674710910005028
CLN_PRT_MIR,avg,0,0.7846363636363637
CLN_MIR,avg,1,0.7790346907993967
CLN_MIR,avg,0,0.7531818181818182
PRT,avg,1,0.663231104407575
PRT,avg,0,0.6447272727272728
MIR,avg,1,0.6706049941344059
MIR,avg,0,0.6614545454545454
CLN_MTB_MIR,avg,1,0.8024132730015083
CLN_MTB_MIR,avg,0,0.7855454545454545
CLN_PRT_MET,avg,1,0.7662979721803251
CLN_PRT_MET,avg,0,0.7881818181818182
CLN_MTB_PRT_MIR_MET,avg,1,0.7813809284397519
CLN_MTB_PRT_MIR_MET,avg,0,0.8081818181818182
CLN_PRT_MIR_MET,lr,1,0.7759343053460701
CLN_PRT_MIR_MET,lr,0,0.7579999999999999
CLN_MTB_PRT,lr,1,0.7847326964974023
CLN_MTB_PRT,lr,0,0.7752727272727273
CLN_MTB_PRT_MET,lr,1,0.7806267806267806
CLN_MTB_PRT_MET,lr,0,0.7701818181818181
MTB,lr,1,0.7547343723814312
MTB,lr,0,0.7651818181818181
CLN_MTB_MET,lr,1,0.8034188034188035
CLN_MTB_MET,lr,0,0.7792727272727273
MET,lr,1,0.5153343388637506
