data_type,algo,seed,train.val,auc
CLN_PRT_MIR,svc,2,0,0.7606363636363636
CLN_PRT_MIR,xgb,2,0,0.7450909090909091
CLN_PRT_MIR,lr,2,0,0.7649090909090909
CLN_PRT_MIR,avg,2,0,0.783909090909091
CLN_PRT_MIR_MET,svc,2,1,0.6812965838509316
CLN_PRT_MIR_MET,xgb,2,1,0.7703260869565217
CLN_PRT_MIR_MET,lr,2,1,0.7545005175983437
CLN_PRT_MIR_MET,avg,2,1,0.7364104554865424
CLN_MTB_MIR_MET,svc,2,0,0.7828181818181819
CLN_MTB_MIR_MET,xgb,2,0,0.7615
CLN_MTB_MIR_MET,lr,2,0,0.7409999999999999
CLN_MTB_MIR_MET,avg,2,0,0.7824545454545454
PRT,svc,2,1,0.6023421325051759
PRT,xgb,2,1,0.6515967908902691
PRT,lr,2,1,0.6246092132505175
PRT,avg,2,1,0.6361076604554865
CLN_MTB_PRT_MET,svc,2,0,0.8086363636363636
CLN_MTB_PRT_MET,xgb,2,0,0.7588636363636363
CLN_MTB_PRT_MET,lr,2,0,0.7457272727272728
CLN_MTB_PRT_MET,avg,2,0,0.8153636363636364
MIR,svc,2,1,0.6136309523809523
MIR,xgb,2,1,0.6631055900621119
MIR,lr,2,1,0.6437085921325052
MIR,avg,2,1,0.6732712215320911
CLN_MTB_PRT_MIR_MET,svc,2,0,0.8028181818181818
CLN_MTB_PRT_MIR_MET,xgb,2,0,0.7606818181818182
CLN_MTB_PRT_MIR_MET,lr,2,0,0.7765454545454545
CLN_MTB_PRT_MIR_MET,avg,2,0,0.8049999999999999
CLN_PRT_MET,svc,2,1,0.6747528467908902
CLN_PRT_MET,xgb,2,1,0.7715683229813665
CLN_PRT_MET,lr,2,1,0.744702380952381
CLN_PRT_MET,avg,2,1,0.7491847826086958
CLN_MTB_MIR,svc,2,0,0.7783636363636364
CLN_MTB_MIR,xgb,2,0,0.7679090909090909
CLN_MTB_MIR,lr,2,0,0.7464545454545454
CLN_MTB_MIR,avg,2,0,0.7762727272727272
CLN_PRT_MIR,svc,2,1,0.7073602484472049
CLN_PRT_MIR,xgb,2,1,0.7747114389233953
CLN_PRT_MIR,lr,2,1,0.757888198757764
CLN_PRT_MIR,avg,2,1,0.7653234989648035
MTB,svc,2,0,0.7650909090909092
MTB,xgb,2,0,0.7495
MTB,lr,2,0,0.7645454545454544
MTB,avg,2,0,0.7754545454545454
CLN_MIR,svc,2,1,0.737870082815735
CLN_MIR,xgb,2,1,0.7695626293995859
CLN_MIR,lr,2,1,0.7644435817805382
CLN_MIR,avg,2,1,0.7712784679089026
CLN,svc,2,0,0.7399090909090908
CLN,xgb,2,0,0.7505454545454546
CLN,lr,2,0,0.7558181818181817
CLN,avg,2,0,0.7577272727272727
CLN_MTB_PRT_MIR_MET,svc,2,1,0.7201656314699794
CLN_MTB_PRT_MIR_MET,xgb,2,1,0.7779994824016563
CLN_MTB_PRT_MIR_MET,lr,2,1,0.765248447204969
CLN_MTB_PRT_MIR_MET,avg,2,1,0.7545419254658385
CLN_MTB_PRT_MIR,svc,2,0,0.7916363636363636
CLN_MTB_PRT_MIR,xgb,2,0,0.7568636363636364
CLN_MTB_PRT_MIR,lr,2,0,0.7765454545454545
CLN_MTB_PRT_MIR,avg,2,0,0.8028181818181818
MTB,svc,2,1,0.6947748447204969
MTB,xgb,2,1,0.7592585403726708
MTB,lr,2,1,0.7473576604554866
MTB,avg,2,1,0.7452950310559007
PRT,svc,2,0,0.5908181818181818
PRT,xgb,2,0,0.542909090909091
PRT,lr,2,0,0.6069999999999999
PRT,avg,2,0,0.5969090909090908
CLN_MTB_PRT_MIR,svc,2,1,0.7407414596273292
CLN_MTB_PRT_MIR,xgb,2,1,0.7846156832298137
CLN_MTB_PRT_MIR,lr,2,1,0.7690010351966874
CLN_MTB_PRT_MIR,avg,2,1,0.7830331262939959
CLN_MTB,svc,2,0,0.7889999999999999
CLN_MTB,xgb,2,0,0.7603181818181817
CLN_MTB,lr,2,0,0.782
CLN_MTB,avg,2,0,0.7901818181818182
CLN_MET,svc,2,1,0.7045471014492753
CLN_MET,xgb,2,1,0.7696648550724638
CLN_MET,lr,2,1,0.7493219461697722
