feature_name	feature_importance
GPX3	0.29299088248966293
STXBP5	0.28157315749143735
CLU	0.26410447796217174
APOA2	0.23423208640793003
USO1	0.2206766676297396
C9	0.20734294775134998
MASP2	0.19604490976603825
A1BG	0.19482808052503095
SERPINA7	0.19297462282268937
APCS	0.18608979710291088
FGG	0.18038375867532114
PON1	0.17700474056475735
CAMP	0.16078855970093162
GSN	0.15491633590912554
CFH	0.15295959769089465
RACK1	0.14533203590216223
APOH	0.14463862148302908
GNA13	0.13572566706186812
SYTL1	0.13158562222355766
FCGBP	0.12811850799383964
PZP	0.1263961911977983
ITIH4	0.12551078275750052
PIGR	0.1171278332284683
SCRIB	0.11677551607409013
AGT	0.11297310399529258
HABP2	0.11092318961355754
CFHR1	0.10643521148770645
APOC2	0.1030567045373405
CHL1	0.10286403290550322
SCIN	0.09603071194794693
LPA	0.09504255915275903
GSTM2	0.0883492586529208
CPN1	0.08436913912186192
C1QB	0.08398290167709802
LYZ	0.07678526615172943
RPS3	0.053911855339532806
FBLN1	0.053821882685886197
RCN1	0.05281828512531475
TF	0.05158250838140177
VTN	0.04704429844408962
IGHV3.72	0.043819571394528696
YWHAG	0.04059306757544287
MNDA	0.04022332769022237
VASP	0.039685267627911296
ACACA	0.034217104059773955
EPCAM	0.02894998890634507
NSF	0.024657509788021188
CLEC3B	0.02375373675422072
CPB2	0.02299689019063074
APOD	0.022562146903673922
GGT1	0.02234695025131578
HSPG2	0.017510279566602147
HSPA9	0.015244510904221072
A2M	0.011048888807327547
F13A1	0.0
APOB	0.0
SERPINC1	0.0
AMPD3	0.0
SERPINA6	0.0
SERPINA3	0.0
APOA1	0.0
APOA4	0.0
SAA1	0.0
S100A9	0.0
S100A8	0.0
RPIA	0.0
SHBG	0.0
RMC1	0.0
APOC1	0.0
APOC3	0.0
APOE	0.0
PTPRG	0.0
PRSS1	0.0
PRG4	0.0
PRB3	0.0
PPP1R9B	0.0
APOF	0.0
SFN	0.0
SLC35B2	0.0
PI16	0.0
SLC4A2	0.0
YWHAQ	0.0
YWHAH	0.0
ACACB	0.0
ADIPOQ	0.0
AFM	0.0
AHSG	0.0
TUBA8	0.0
TUBA4A	0.0
TUBA3D	0.0
TUBA3C	0.0
TUBA1C	0.0
TUBA1B	0.0
TUBA1A	0.0
TTC37	0.0
TMEM256	0.0
TIMM44	0.0
AKR1A1	0.0
TAGLN	0.0
AKR1B1	0.0
ALDOB	0.0
SPG11	0.0
APOM	0.0
PGLYRP2	0.0
F10	0.0
PCYOX1	0.0
HDHD2	0.0
HBZ	0.0
HBB	0.0
CFD	0.0
GSTM4	0.0
CFHR2	0.0
GSTM1	0.0
CFHR3	0.0
CGREF1	0.0
CP	0.0
GMPS	0.0
GIT1	0.0
CPB1	0.0
G6PD	0.0
FUBP3	0.0
CRP	0.0
FGB	0.0
FGA	0.0
FETUB	0.0
FCN3	0.0
FCGR3A	0.0
CELA3A	0.0
IGFBP2	0.0
CD163	0.0
C3	0.0
PCBP2	0.0
ORM1	0.0
NXF1	0.0
ARID1A	0.0
NAP1L1	0.0
MX1	0.0
C2	0.0
MFGE8	0.0
METTL18	0.0
MASP1	0.0
IGHV4.39	0.0
MAN2A1	0.0
C4BPA	0.0
LTF	0.0
C8B	0.0
L2HGDH	0.0
KNG1	0.0
C8G	0.0
IGLV3.19	0.0
IGLV3.1	0.0
ZFYVE19	0.0
