fpr,tpr
0.0,0.0
0.0,0.01
0.0,0.05
0.00909090909090909,0.05
0.00909090909090909,0.06
0.03636363636363636,0.06
0.03636363636363636,0.09
0.045454545454545456,0.09
0.045454545454545456,0.15
0.08181818181818182,0.15
0.08181818181818182,0.2
0.09090909090909091,0.2
0.09090909090909091,0.23
0.1,0.23
0.1,0.27
0.10909090909090909,0.27
0.10909090909090909,0.28
0.11818181818181818,0.28
0.11818181818181818,0.29
0.13636363636363635,0.29
0.13636363636363635,0.3
0.14545454545454545,0.3
0.14545454545454545,0.31
0.15454545454545454,0.31
0.15454545454545454,0.33
0.16363636363636364,0.33
0.16363636363636364,0.34
0.17272727272727273,0.34
0.17272727272727273,0.36
0.19090909090909092,0.36
0.19090909090909092,0.45
0.21818181818181817,0.45
0.21818181818181817,0.46
0.22727272727272727,0.46
0.22727272727272727,0.5
0.2545454545454545,0.5
0.2545454545454545,0.52
0.2636363636363636,0.52
0.2636363636363636,0.53
0.3181818181818182,0.53
0.3181818181818182,0.54
0.32727272727272727,0.54
0.32727272727272727,0.56
0.35454545454545455,0.56
0.35454545454545455,0.58
0.39090909090909093,0.58
0.39090909090909093,0.63
0.4,0.63
0.4,0.65
0.4636363636363636,0.65
0.4636363636363636,0.67
0.4909090909090909,0.67
0.4909090909090909,0.68
0.5,0.68
0.5,0.69
0.5363636363636364,0.69
0.5363636363636364,0.7
0.5454545454545454,0.7
0.5454545454545454,0.71
0.5545454545454546,0.71
0.5545454545454546,0.72
0.5818181818181818,0.72
0.5818181818181818,0.74
0.6090909090909091,0.74
0.6090909090909091,0.75
0.6181818181818182,0.75
0.6181818181818182,0.76
0.6454545454545455,0.76
0.6454545454545455,0.77
0.6545454545454545,0.77
0.6545454545454545,0.79
0.6727272727272727,0.79
0.6727272727272727,0.8
0.6909090909090909,0.8
0.6909090909090909,0.82
0.7272727272727273,0.82
0.7272727272727273,0.83
0.7454545454545455,0.83
0.7454545454545455,0.84
0.7818181818181819,0.84
0.7818181818181819,0.85
0.7909090909090909,0.85
0.7909090909090909,0.89
0.8181818181818182,0.89
0.8181818181818182,0.9
0.8363636363636363,0.9
0.8363636363636363,0.91
0.8454545454545455,0.91
0.8454545454545455,0.92
0.8636363636363636,0.92
0.8636363636363636,0.94
0.8727272727272727,0.94
0.8727272727272727,0.95
0.8818181818181818,0.95
0.8818181818181818,0.96
0.9363636363636364,0.96
0.9363636363636364,0.97
0.9545454545454546,0.97
0.9545454545454546,0.98
0.9727272727272728,0.98
0.9727272727272728,0.99
0.990909090909091,0.99
0.990909090909091,1.0
1.0,1.0
