feature_name	feature_importance
MS006	0.21877046
HOMA.B	0.2052302
PBG	0.11044882
APOA2	0.06159707
GPX3	0.041534416
MP0151	0.03819804
MP0193	0.038024426
PON1	0.032916233
MASP2	0.029844377
FPG	0.027957499
MP0174	0.024484508
RBC	0.02054716
ARID1A	0.017785909
MP0080	0.015142009
FBLN1	0.011765456
GNA13	0.011542629
MS028	0.011373972
MS026	0.011102519
NXF1	0.010970353
FINS	0.010577413
ORM1	0.010311289
USO1	0.010198449
MP0113	0.009297442
HABP2	0.009287812
APCS	0.008532552
MP0030	0.008514608
MP0164	0.008348734
SERPINA7	0.008007287
YWHAQ	0.007953722
IGLV3.1	0.0072080796
HB	0.007061916
L2HGDH	0.0069825943
MP0053	0.0069215447
APOC2	0.006218513
PPP1R9B	0.0060949097
GGT1	0.006030741
BUN	0.005954707
MP0142	0.0058937427
FGA	0.0057755336
HDHD2	0.005652856
MP0009	0.005610039
ML017	0.0054053953
YWHAH	0.004862058
SERPINA3	0.0047497046
F10	0.004742909
GMPS	0.0046640965
MP0033	0.0044785766
APOH	0.004441162
FGG	0.0044022063
MP0099	0.004387824
MP0046	0.0043811053
MP0085	0.004370487
MP0018	0.0043631564
MP0122	0.0043507274
APOD	0.0043415874
IGHV3.72	0.0043389406
HOMA.IR	0.0042817057
MP0203	0.004278896
MASP1	0.004142285
MP0041	0.004071507
ADIPOQ	0.0040636254
SCIN	0.0039872443
MP0023	0.0039554187
FCGBP	0.00394454
MS007	0.0039218324
APOB	0.0038943123
S100A8	0.003792835
FETUB	0.0037480462
EGFR	0.0037347393
HBA1C	0.003655127
MP0086	0.0036383932
HDLC	0.003619251
S100A9	0.0036145353
C8G	0.0035692912
MP0052	0.0035165881
C1QB	0.0034312878
GSTM2	0.0034205061
RACK1	0.0033998676
MS013	0.003277907
MP0134	0.0032366752
MP0025	0.0032291128
CFD	0.0032135088
Age	0.0031883682
MNDA	0.003182931
METTL18	0.0030504686
MP0127	0.0030429685
CFHR3	0.0030272503
MP0062	0.0029229266
UCR	0.0029202374
PRB3	0.0029051253
FGB	0.0028840257
SFN	0.0028266113
TMEM256	0.0028211665
MP0045	0.0028058833
MP0141	0.0027436353
YWHAG	0.0027388285
MP0098	0.0027313414
IGLV3.19	0.0027203439
MP0105	0.0026259737
HBZ	0.002507009
MS014	0.0025063641
SERPINA6	0.0024728167
ML006	0.0024649252
MP0100	0.002450543
LDLC	0.0024379597
FCGR3A	0.002431921
MP0077	0.002347519
CLU	0.0023244407
AFM	0.0023179073
CD163	0.0023144558
MS003	0.002286094
A1BG	0.0022817869
RPS3	0.0022519603
MS030	0.002231481
TIMM44	0.002207904
AKR1A1	0.0022006205
HCT	0.0021913243
MS015	0.002145762
IGFBP2	0.002130118
ML012	0.002106323
MP0084	0.0020948057
MP0124	0.0020922245
ZFYVE19	0.0020866944
UMACRR	0.0020835642
MP0115	0.0020791527
APOF	0.002062339
SHBG	0.0020483425
LYZ	0.002039591
GSN	0.0020302383
CPN1	0.002026281
HSCRP	0.0020108565
WBC	0.0020038548
EPCAM	0.0019731252
SCR	0.0019650338
ACACA	0.0019614508
MP0050	0.0019278786
C8B	0.0019147012
CKMB	0.0018998145
ACACB	0.0018972096
MP0073	0.0018712126
MP0012	0.0018290684
MS010	0.0018233656
TUBA3C	0.001774687
HSPG2	0.0017727114
MP0035	0.0017666777
MS020	0.00175074
VASP	0.001710403
TTC37	0.0016555891
GSTM4	0.00163772
MP0038	0.0015944676
MFGE8	0.0015514015
SCRIB	0.0015268136
PLT	0.0014796777
TBIL	0.001462987
TF	0.0014394145
CP	0.0014266095
GIT1	0.0014176309
STXBP5	0.0014169146
PCYOX1	0.0014011995
CAMP	0.0013849378
HBB	0.0013582709
CFHR2	0.0013558863
MP0021	0.0013544807
MP0013	0.0013536842
C9	0.0013389535
ALT	0.0013292478
AKR1B1	0.0013072296
