feature_name	feature_importance
exRNA000165	0.32330203
exRNA000673	0.32082298
exRNA000145	0.3172756
exRNA000017	0.23856165
exRNA000067	0.17366843
exRNA000211	0.1662269
exRNA000003	0.15728194
exRNA000130	0.14157815
exRNA000098	0.13000262
exRNA000077	0.12045434
exRNA000091	0.11207238
exRNA000348	0.10703704
exRNA000226	0.09988148
exRNA000040	0.09784227
exRNA000027	0.08910051
exRNA000061	0.0847374
exRNA000053	0.077454455
exRNA000290	0.051399197
exRNA000139	0.050675325
exRNA000059	0.04946485
exRNA000036	0.04842035
exRNA000183	0.048391797
exRNA000058	0.04760068
exRNA000311	0.042468622
exRNA000172	0.04246473
exRNA000394	0.042185947
exRNA000173	0.040976416
exRNA000084	0.040665
exRNA000042	0.039861392
exRNA000822	0.038728494
exRNA000005	0.037700303
exRNA000047	0.036616962
exRNA000016	0.035214946
exRNA000110	0.030243533
exRNA000060	0.028782628
exRNA000009	0.02068244
exRNA000408	0.0
exRNA000344	0.0
exRNA000760	0.0
exRNA000312	0.0
exRNA000565	0.0
exRNA000561	0.0
exRNA000326	0.0
exRNA000251	0.0
exRNA000317	0.0
exRNA000097	0.0
exRNA000250	0.0
exRNA000164	0.0
exRNA000161	0.0
exRNA000004	0.0
exRNA000089	0.0
exRNA000066	0.0
exRNA000056	0.0
exRNA000050	0.0
exRNA000044	0.0
exRNA000043	0.0
exRNA000035	0.0
exRNA000029	0.0
exRNA000028	0.0
exRNA000015	0.0
exRNA000008	0.0
exRNA000841	0.0
