feature_name	feature_importance
MS006	0.070772186
MP0128	0.011011324
MP0062	0.0052361353
MP0151	0.005222823
MP0009	0.0039527616
MP0024	0.0037846884
MP0193	0.0036971862
MP0033	0.0036436121
MP0080	0.0033410175
ML018	0.0028872932
MP0116	0.0028559319
MP0174	0.002770552
MP0105	0.0027102241
MP0005	0.002248529
MP0041	0.0018713939
MP0132	0.0018539246
MS025	0.0014152235
MS024	0.0
ML011	0.0
ML010	0.0
MS019	0.0
ML017	0.0
ML006	0.0
MP0203	0.0
MS021	0.0
MP0175	0.0
MS023	0.0
MP0164	0.0
MS017	0.0
MP0159	0.0
MP0156	0.0
MS026	0.0
MP0154	0.0
MS027	0.0
MP0150	0.0
MP0142	0.0
MP0141	0.0
MP0140	0.0
MS028	0.0
ML012	0.0
MS014	0.0
MS013	0.0
MS002	0.0
MS015	0.0
MS011	0.0
MS010	0.0
MS009	0.0
MS008	0.0
MS007	0.0
MS016	0.0
MS005	0.0
MS004	0.0
MS001	0.0
ML014	0.0
MS030	0.0
MS022	0.0
MS020	0.0
MP0135	0.0
MS018	0.0
MS003	0.0
ML019	0.0
ML016	0.0
ML015	0.0
ML013	0.0
MP0124	0.0
MP0134	0.0
MP0034	0.0
MP0053	0.0
MP0052	0.0
MP0051	0.0
MP0050	0.0
MP0047	0.0
MP0046	0.0
MP0045	0.0
MP0044	0.0
MP0042	0.0
MP0038	0.0
MP0035	0.0
MP0030	0.0
MP0127	0.0
MP0027	0.0
MP0025	0.0
MP0023	0.0
MP0022	0.0
MP0021	0.0
MP0019	0.0
MP0018	0.0
MP0017	0.0
MP0015	0.0
MP0013	0.0
MP0012	0.0
MP0054	0.0
MP0058	0.0
MP0065	0.0
MP0066	0.0
MP0126	0.0
MP0006	0.0
MP0122	0.0
MP0118	0.0
MP0117	0.0
MP0115	0.0
MP0113	0.0
MP0112	0.0
MP0106	0.0
MP0101	0.0
MP0100	0.0
MP0099	0.0
MP0098	0.0
MP0096	0.0
MP0086	0.0
MP0085	0.0
MP0084	0.0
MP0082	0.0
MP0078	0.0
MP0077	0.0
MP0076	0.0
MP0074	0.0
MP0073	0.0
MS029	0.0
