feature_name	feature_importance
MS006	0.49167564504144173
MP0115	0.2709263221678419
MP0193	0.24327551372463962
MP0174	0.23348247540094716
MP0128	0.22345479654701023
MP0052	0.1907351449970663
MP0142	0.17930423914793397
MP0076	0.16034511718650343
MP0009	0.16010770073298494
MP0085	0.15810341384148707
MP0050	0.15755543931783778
MP0156	0.14772113315527677
MP0113	0.14212089043507445
MS004	0.13315696169429542
MP0124	0.12088772602315591
MP0080	0.1115367314673447
MP0062	0.09966434479334496
MP0013	0.08887967660990238
MP0140	0.0881775381533684
MP0151	0.08676897350255162
MP0141	0.07631225943304103
MP0030	0.07374387551882192
MP0044	0.06930782073468669
MP0078	0.05853465570875192
MP0132	0.04948516736528275
MP0126	0.048264730974097676
MP0023	0.044995506801469534
MP0042	0.04290205922838245
MP0175	0.04260496927256194
MP0033	0.039692861156004025
MS026	0.037745820933784514
MP0047	0.03729588532817876
MS030	0.03333073323994631
MP0098	0.03213934622959873
MP0118	0.02878903346661914
MS009	0.025831403846968533
MS013	0.024760386340319348
MP0164	0.01889956789973869
MS010	0.01506954790905556
MP0073	0.014868741570175367
MP0134	0.011975053976984432
MS018	0.007395389920512572
MP0012	0.006227408987984827
MP0038	0.0003382414679739754
ML018	0.0
MS027	0.0
MP0203	0.0
ML017	0.0
MS028	0.0
ML010	0.0
ML011	0.0
ML006	0.0
ML012	0.0
ML013	0.0
MS020	0.0
MS024	0.0
MS005	0.0
MS015	0.0
MS014	0.0
MS011	0.0
MS016	0.0
MS017	0.0
MS008	0.0
MS007	0.0
MS019	0.0
MS002	0.0
ML014	0.0
MS021	0.0
MS025	0.0
MS023	0.0
MS022	0.0
MS003	0.0
ML019	0.0
ML016	0.0
ML015	0.0
MS001	0.0
MP0005	0.0
MP0159	0.0
MP0034	0.0
MP0058	0.0
MP0054	0.0
MP0053	0.0
MP0051	0.0
MP0046	0.0
MP0045	0.0
MP0041	0.0
MP0035	0.0
MP0027	0.0
MP0154	0.0
MP0025	0.0
MP0024	0.0
MP0022	0.0
MP0021	0.0
MP0019	0.0
MP0018	0.0
MP0017	0.0
MP0015	0.0
MP0065	0.0
MP0066	0.0
MP0074	0.0
MP0077	0.0
MP0150	0.0
MP0135	0.0
MP0127	0.0
MP0006	0.0
MP0122	0.0
MP0117	0.0
MP0116	0.0
MP0112	0.0
MP0106	0.0
MP0105	0.0
MP0101	0.0
MP0100	0.0
MP0099	0.0
MP0096	0.0
MP0086	0.0
MP0084	0.0
MP0082	0.0
MS029	0.0
