feature_name	feature_importance
FPG	0.16751121239702343
PBG	0.16043491019131498
exRNA000005	0.11773355645413135
HOMA.B	0.11661582931461797
RBC	0.11326822148592601
exRNA000673	0.1109766383560296
Dose	0.10233688889024181
Age	0.09243684659322846
exRNA000017	0.07089052146324554
HB	0.06664314897898463
BUN	0.06501170316085045
exRNA000003	0.0631053516975376
HDLC	0.06309355099269282
exRNA000027	0.05935857740375205
exRNA000348	0.05767178414982572
exRNA000841	0.05249299065363506
HBA1C	0.052064604610092095
exRNA000344	0.052063010965997185
exRNA000067	0.0506835497516561
exRNA000130	0.050131947256732486
exRNA000565	0.050056686353095854
HCT	0.049473211205159594
exRNA000760	0.04905951835136003
exRNA000165	0.04613563600217648
FINS	0.04491244140271325
exRNA000312	0.044495058590596076
exRNA000183	0.04408399729879609
exRNA000004	0.04351539962377565
exRNA000211	0.04268271130072799
EGFR	0.0399264739740257
WBC	0.03925259540640556
exRNA000028	0.038737585170642456
exRNA000061	0.03419456836582612
TC	0.03393279949212091
ALT	0.03255688761353994
exRNA000394	0.03214894090649715
exRNA000250	0.031846730344814826
exRNA000044	0.031069443420119164
exRNA000251	0.031012737829588098
DBP	0.02920702652583996
exRNA000077	0.029204803112078126
HOMA.IR	0.028611304277389355
exRNA000059	0.02763450392436255
exRNA000047	0.02760929202418973
UCR	0.02674453956623345
exRNA000290	0.02521323556538943
SBP	0.022916555866426276
Sex	0.022708462545477093
FFA	0.022301810725644192
exRNA000317	0.02220653958725804
CKMB	0.022087282514091554
exRNA000040	0.020461641970752117
BMI	0.018862607500663462
exRNA000161	0.018271289998218358
exRNA000016	0.018162397522526807
exRNA000226	0.01747843328802396
exRNA000058	0.017221183967752185
exRNA000091	0.016224186949342696
exRNA000035	0.01587031721420149
exRNA000056	0.015213052475736254
HSCRP	0.014196505336764798
exRNA000097	0.014149547080467381
exRNA000145	0.013757591690727383
exRNA000029	0.013545658378710048
exRNA000053	0.012900646590601089
exRNA000008	0.012763290475696906
exRNA000408	0.012654599627262923
exRNA000311	0.01253245370499511
exRNA000561	0.01152344221680942
SCR	0.011356740802430404
exRNA000009	0.009218257492367462
WEIGHT	0.009081078266508967
AST	0.008818553887399293
exRNA000089	0.00849902942881939
exRNA000060	0.00811932356215591
UMA	0.007634250646345221
exRNA000066	0.007596583535625047
exRNA000015	0.005981749637886125
TG	0.005644621384658242
exRNA000326	0.005175868716185589
TBIL	0.004306015569979341
exRNA000110	0.004266519546339667
exRNA000173	0.003997588360656468
exRNA000164	0.003523220542696715
exRNA000139	0.003500028911947867
LDLC	0.002826403289699917
UMACRR	0.001954680447566069
WACC	0.0015615517491009258
exRNA000084	0.0014522562081623444
exRNA000050	0.0012220948992190067
exRNA000042	0.0009770823802476931
exRNA000822	0.0009215608489974285
PLT	0.0008572964342112635
exRNA000036	0.0007870781742430835
exRNA000098	0.0004332663725572016
exRNA000043	0.0002070452626052486
exRNA000172	4.553943239896109e-05
