feature_name	feature_importance
MS006	0.95964473
HOMA.B	0.7004001
APOA2	0.49967876
RBC	0.4561245
PBG	0.3772914
GPX3	0.3430598
MP0174	0.33535987
PON1	0.2799713
exRNA000145	0.2734235
LYZ	0.27304706
exRNA000673	0.26705822
ORM1	0.22026502
MASP2	0.20925431
MP0080	0.17490728
MP0128	0.17223983
SERPINA7	0.17056209
MP0009	0.16859718
MP0151	0.16696449
IGFBP2	0.15660934
ARID1A	0.15421309
PZP	0.13760017
exRNA000067	0.13481572
CKMB	0.1283453
PGLYRP2	0.11791619
MP0050	0.11732897
APOC3	0.11537328
GNA13	0.1134481
exRNA000211	0.1095303
APOC2	0.10642671
CLU	0.10266695
IGHV3.72	0.10186675
exRNA000056	0.09764565
exRNA000344	0.09746759
MP0113	0.09489939
USO1	0.090331376
exRNA000130	0.08934535
APOB	0.07940176
MP0062	0.077710606
MP0099	0.07733519
exRNA000226	0.07515423
FGG	0.07402922
exRNA000009	0.07304855
MS003	0.070644416
MP0024	0.06962293
NAP1L1	0.06881968
FCGBP	0.06834973
SCR	0.06708649
MP0052	0.066539854
HBB	0.06640523
MP0023	0.06550937
KNG1	0.06505584
TIMM44	0.064337954
FBLN1	0.06399477
YWHAQ	0.063832134
GSTM4	0.063009895
MP0033	0.062189475
SAA1	0.06044143
HBZ	0.059989735
RACK1	0.058999386
ADIPOQ	0.05795809
HABP2	0.055852346
NXF1	0.05575191
UMACRR	0.055614747
exRNA000053	0.05528864
MP0203	0.055029288
SERPINC1	0.053369302
YWHAH	0.05220445
MP0164	0.05216818
MP0086	0.050678268
APOA1	0.04729035
SFN	0.046922572
MP0115	0.046668045
Age	0.046533093
ML015	0.046331555
exRNA000015	0.04593491
MP0065	0.045285642
WBC	0.0446132
MP0042	0.044583194
MP0025	0.044038795
APOH	0.043366585
exRNA000312	0.043119717
SCRIB	0.040482998
SYTL1	0.03890888
CFHR1	0.03641033
CPN1	0.0359046
F10	0.035709232
SCIN	0.03540984
exRNA000164	0.03487092
exRNA000042	0.03415956
MP0124	0.033790696
CFHR3	0.033780128
FUBP3	0.03350056
exRNA000165	0.033327635
MNDA	0.032911193
MS008	0.032718748
AMPD3	0.03217781
MS009	0.031921096
exRNA000110	0.03167033
MP0193	0.031019198
MP0085	0.031008592
MP0041	0.030730862
exRNA000250	0.029831834
FFA	0.029780585
APOC1	0.02977997
exRNA000098	0.029527178
MP0142	0.029365126
PI16	0.028932454
MP0021	0.027436249
UCR	0.027379118
WEIGHT	0.027161174
GSN	0.02693169
exRNA000040	0.02665407
APOD	0.02631428
ML017	0.026152836
MS026	0.026110196
MP0127	0.026011616
MP0077	0.024719112
exRNA000035	0.024069132
MP0017	0.023102647
VTN	0.02295912
METTL18	0.022873525
C1QB	0.021860506
MP0054	0.021514688
MFGE8	0.02122959
MS025	0.020831978
FGB	0.018758545
CAMP	0.018469075
AKR1A1	0.017609403
ML018	0.017356994
FETUB	0.01705122
exRNA000841	0.01668442
FPG	0.016016964
PRB3	0.0150285605
MP0098	0.013749309
TUBA1A	0.011380435
exRNA000161	0.0
MX1	0.0
exRNA000139	0.0
NSF	0.0
MASP1	0.0
exRNA000097	0.0
PCBP2	0.0
exRNA000091	0.0
exRNA000172	0.0
L2HGDH	0.0
MAN2A1	0.0
exRNA000326	0.0
exRNA000822	0.0
exRNA000760	0.0
exRNA000565	0.0
exRNA000561	0.0
exRNA000408	0.0
HDHD2	0.0
exRNA000394	0.0
HSPA9	0.0
HSPG2	0.0
exRNA000348	0.0
exRNA000317	0.0
exRNA000173	0.0
exRNA000311	0.0
IGHV4.39	0.0
IGLV3.1	0.0
exRNA000290	0.0
IGLV3.19	0.0
ITIH4	0.0
exRNA000251	0.0
LPA	0.0
LTF	0.0
exRNA000183	0.0
exRNA000089	0.0
ZFYVE19	0.0
exRNA000084	0.0
SLC35B2	0.0
SPG11	0.0
STXBP5	0.0
TAGLN	0.0
TF	0.0
exRNA000029	0.0
exRNA000028	0.0
TMEM256	0.0
exRNA000027	0.0
TTC37	0.0
TUBA1B	0.0
TUBA1C	0.0
TUBA3C	0.0
TUBA3D	0.0
exRNA000017	0.0
GSTM2	0.0
TUBA4A	0.0
exRNA000016	0.0
exRNA000008	0.0
TUBA8	0.0
exRNA000005	0.0
VASP	0.0
exRNA000004	0.0
YWHAG	0.0
SLC4A2	0.0
SHBG	0.0
PCYOX1	0.0
exRNA000036	0.0
exRNA000077	0.0
exRNA000066	0.0
exRNA000061	0.0
PIGR	0.0
exRNA000003	0.0
PPP1R9B	0.0
exRNA000059	0.0
PRG4	0.0
PRSS1	0.0
PTPRG	0.0
exRNA000058	0.0
RCN1	0.0
RMC1	0.0
RPIA	0.0
RPS3	0.0
S100A8	0.0
S100A9	0.0
exRNA000050	0.0
exRNA000047	0.0
exRNA000044	0.0
SERPINA3	0.0
SERPINA6	0.0
exRNA000043	0.0
exRNA000060	0.0
HBA1C	0.0
GSTM1	0.0
MP0073	0.0
MP0096	0.0
MP0084	0.0
MP0082	0.0
MP0078	0.0
MP0076	0.0
MP0074	0.0
MP0066	0.0
MP0101	0.0
MP0058	0.0
MP0053	0.0
MP0051	0.0
MP0047	0.0
MP0046	0.0
MP0045	0.0
MP0100	0.0
MP0105	0.0
MP0038	0.0
MP0134	0.0
MP0156	0.0
MP0154	0.0
MP0150	0.0
MP0141	0.0
MP0140	0.0
MP0135	0.0
MP0132	0.0
MP0106	0.0
MP0126	0.0
MP0122	0.0
MP0118	0.0
MP0117	0.0
MP0116	0.0
MP0112	0.0
MP0044	0.0
MP0035	0.0
MP0175	0.0
AST	0.0
HB	0.0
HSCRP	0.0
UMA	0.0
EGFR	0.0
BUN	0.0
TBIL	0.0
ALT	0.0
HCT	0.0
HDLC	0.0
LDLC	0.0
TC	0.0
TG	0.0
HOMA.IR	0.0
FINS	0.0
PLT	0.0
BMI	0.0
MP0034	0.0
MP0013	0.0
MP0030	0.0
MP0027	0.0
MP0022	0.0
MP0019	0.0
MP0018	0.0
MP0015	0.0
MP0012	0.0
WACC	0.0
MP0006	0.0
MP0005	0.0
Dose	0.0
Sex	0.0
SBP	0.0
DBP	0.0
MP0159	0.0
ML006	0.0
GMPS	0.0
C2	0.0
CELA3A	0.0
CD163	0.0
C9	0.0
C8G	0.0
C4BPA	0.0
C3	0.0
APOM	0.0
CFH	0.0
APOF	0.0
APOE	0.0
APOA4	0.0
APCS	0.0
ALDOB	0.0
AKR1B1	0.0
CFD	0.0
CFHR2	0.0
AGT	0.0
F13A1	0.0
GIT1	0.0
GGT1	0.0
G6PD	0.0
FGA	0.0
FCN3	0.0
FCGR3A	0.0
EPCAM	0.0
CGREF1	0.0
CRP	0.0
CPB2	0.0
CPB1	0.0
CP	0.0
CLEC3B	0.0
CHL1	0.0
AHSG	0.0
AFM	0.0
ML010	0.0
MS020	0.0
MS005	0.0
MS004	0.0
MS002	0.0
MS001	0.0
MS030	0.0
MS022	0.0
MS018	0.0
MS010	0.0
ML019	0.0
ML016	0.0
ML014	0.0
ML013	0.0
ML012	0.0
ML011	0.0
MS007	0.0
MS011	0.0
ACACB	0.0
MS024	0.0
ACACA	0.0
A2M	0.0
A1BG	0.0
MS029	0.0
MS028	0.0
MS027	0.0
MS023	0.0
MS013	0.0
MS021	0.0
MS019	0.0
MS017	0.0
MS016	0.0
MS015	0.0
MS014	0.0
C8B	0.0
