feature_name	feature_importance
HOMA.B	0.12964385691273161
FPG	0.12238848580421668
PBG	0.11594425983896654
APOA2	0.08526947517882058
GPX3	0.08437471161771369
exRNA000673	0.05965515435426824
RBC	0.04856302098473221
exRNA000005	0.037613459107163856
MASP2	0.03477696284961493
CLU	0.03414628348139359
Age	0.030542820052918605
FGG	0.02554292243290502
HBA1C	0.021837142784930725
RACK1	0.021128484865152
CPN1	0.020694503482125187
APOC2	0.02031461185194316
exRNA000003	0.019562512812700255
USO1	0.019397848093773692
exRNA000183	0.01775624334080813
SERPINA7	0.01766027438024282
A1BG	0.017231327806370576
PON1	0.017169177750211956
CAMP	0.017056932440214185
LYZ	0.01685607824956243
GNA13	0.01668516208167498
exRNA000565	0.01663829941160931
FINS	0.015774047858933923
Dose	0.015773400766153724
FGB	0.015686803564973685
CFHR1	0.015574814769662935
FCGBP	0.015538615157675082
HB	0.015478334476226102
RPS3	0.015183971989346446
STXBP5	0.01506645149520065
HDLC	0.014194087460736651
APOH	0.014057574206562312
GSN	0.013824239337430825
exRNA000017	0.013706759198381149
exRNA000250	0.013610487429443993
exRNA000077	0.013135084633119617
APCS	0.012357092727101582
exRNA000165	0.012346005473528732
ITIH4	0.01227427403302121
AFM	0.01184205732280489
exRNA000067	0.011727908985804556
EGFR	0.011675114601155718
WBC	0.011577578798730979
IGHV3.72	0.01124545064246237
VTN	0.011160464762974996
BUN	0.010937263951180992
exRNA000130	0.010876991818228947
exRNA000348	0.010450296923414353
FBLN1	0.010431574367485687
CHL1	0.010353880549993566
CPB2	0.01021271995388928
HCT	0.00968446564517175
SCRIB	0.009466658116575703
APOC3	0.009415719905254282
TAGLN	0.00939012688640693
CFH	0.009387153920093653
C9	0.009365229084828171
exRNA000027	0.009289433963620789
exRNA000760	0.00891335281573947
IGLV3.19	0.008896334009490584
exRNA000004	0.008807103253593332
exRNA000047	0.0085546074660755
UCR	0.008553728496727928
exRNA000061	0.008440632855978009
exRNA000394	0.008301196776042954
TF	0.008274146668995942
GSTM2	0.008266652893372861
PZP	0.008221454929433424
PIGR	0.007987271230844998
NSF	0.00789778967416774
exRNA000251	0.007884020334451576
ORM1	0.007879949388273355
RCN1	0.007720910226420731
FCGR3A	0.0076850976395725044
FGA	0.0074064345103298755
SERPINC1	0.00731541175685913
C1QB	0.007244297467179444
exRNA000044	0.007017703132551588
F10	0.006988485125235818
HABP2	0.006977037720344044
A2M	0.006930750080796688
exRNA000841	0.006882792094392244
SYTL1	0.006831684395830268
