feature_name	feature_importance
PBG	0.10338279843113979
FPG	0.09736529601532704
HOMA.B	0.07957416513086502
RBC	0.07022613474575692
APOA2	0.04809664376675421
YWHAG	0.03871740711113711
GPX3	0.034158314152453316
FBLN1	0.0334273368939723
FGG	0.03235976473710262
APOC3	0.03202262159874429
APCS	0.02543711725453549
IGFBP2	0.025027618134782936
CFH	0.024926700730204098
HABP2	0.024545312231755535
ARID1A	0.023514025358136032
BMI	0.022843493917427606
PON1	0.022203510669375905
USO1	0.02053565862847617
GMPS	0.01679740299829601
SERPINA7	0.014100920587346855
AFM	0.012703008777360988
ADIPOQ	0.01255578951006712
LYZ	0.012465242588635746
HBA1C	0.00947222772541597
CLU	0.009392421322039903
STXBP5	0.009356839290027499
MASP2	0.00922684447685858
HB	0.009126196874735797
Age	0.008295218727999563
FINS	0.007962146346655164
HDLC	0.0074750920854963375
HCT	0.007049413536070245
RACK1	0.00692439844293502
GSN	0.006705221991574055
APOH	0.006560918521810782
BUN	0.006545295750046474
RPS3	0.006533242810019214
CAMP	0.006524123595591075
FGB	0.006463942735581479
APOC2	0.006244674263552467
CFHR1	0.005946455367878299
FCGBP	0.005912629594709522
GNA13	0.005833382956877393
SERPINC1	0.005736359450742347
CPN1	0.0057149509279350455
FGA	0.005570032583333541
SCRIB	0.005553591575811038
VTN	0.005508114257808796
A1BG	0.005498306737904377
IGHV3.72	0.005430518232598652
EGFR	0.005226597829718076
F10	0.005117740792662697
Dose	0.005117208074086144
AST	0.005084478445027822
CPB2	0.004852273840664686
HOMA.IR	0.004677325651156712
HBB	0.004558039165985716
RCN1	0.0045454297230553935
WBC	0.004502813295723714
NXF1	0.004492174761867807
ACACB	0.0043099997022781585
ALT	0.004288489830378953
APOA1	0.004148506703229562
PIGR	0.004086716653238222
AGT	0.004027552044766835
SHBG	0.003975649019094225
IGLV3.19	0.0038688088244622798
CD163	0.0038665604571318005
C3	0.0038380522874612954
C9	0.0037964155412329977
PRB3	0.0037399598210702046
SERPINA6	0.003691246078560138
ITIH4	0.0036647997526049548
UCR	0.003657368472419033
IGHV4.39	0.003566437386457323
WEIGHT	0.0035000964769116272
CHL1	0.0034322006633053436
SYTL1	0.003424169582346121
HBZ	0.003388656434423613
TC	0.003366048207404422
CKMB	0.003344278631492086
CFD	0.0032908292659147064
MNDA	0.003166664523128707
APOA4	0.0031495954990704905
HSPA9	0.003142976609391897
NSF	0.0030994821456483226
SCIN	0.0029546220412803963
TAGLN	0.002946568034946798
WACC	0.00293237213179723
TF	0.0028573079586073076
GSTM2	0.002851644237576804
CGREF1	0.0027864445931314705
Sex	0.002745729066342059
NAP1L1	0.0025675502662744812
C8G	0.0025319360972105294
C1QB	0.002368442296374565
FETUB	0.0023080601475543483
IGLV3.1	0.0022858641965445895
PTPRG	0.0022302683906065767
A2M	0.002141547245726588
SLC4A2	0.002118886902806848
PZP	0.002051545104586786
GGT1	0.0020233720804378073
MAN2A1	0.0019937624988525487
PRG4	0.0019392421803131614
APOE	0.001938505180768301
PGLYRP2	0.0019381705846747916
FUBP3	0.0019217138364725495
G6PD	0.001909453660282567
HSPG2	0.0018542389918034961
PI16	0.001849018508173305
EPCAM	0.001807539459530216
C8B	0.001802452773542873
VASP	0.0017904734548589033
C4BPA	0.0017816573687266396
APOB	0.0017766934903960094
APOM	0.0017644214543743443
ACACA	0.001754175775615219
CFHR2	0.0017434242348888444
GIT1	0.001677020134217177
SLC35B2	0.0016310259521510582
TIMM44	0.001613023770842165
AKR1B1	0.0016047510692755963
HDHD2	0.0015695828730852336
KNG1	0.001464051302349612
DBP	0.0014365811113470836
TTC37	0.0013817713729442642
SERPINA3	0.0013540760939199357
PPP1R9B	0.0012670809881789233
FCGR3A	0.0012131731672162776
UMA	0.001204555319674428
L2HGDH	0.0011769598626564053
MX1	0.0011765375841726595
MASP1	0.001099096664109558
SBP	0.0010865538330419363
CLEC3B	0.0010831185179689248
MFGE8	0.0010655499003632103
CPB1	0.0010570501053671793
UMACRR	0.0010236456242196223
CELA3A	0.001000233424068737
LTF	0.000997710392131547
TUBA3D	0.0009958577725347815
TUBA3C	0.0009958577725347815
PCBP2	0.0009591246621117285
LPA	0.0008986878337668457
CP	0.0008823650557340067
AHSG	0.0008111853373746235
APOD	0.0008024578589271908
CFHR3	0.0007995325321980604
METTL18	0.0007750561920121945
AMPD3	0.0007713972669334638
FFA	0.0007330969450672198
RMC1	0.0007248305589490732
TUBA8	0.0007174401595591538
TMEM256	0.0006888051847687728
ORM1	0.0006803415235960378
S100A9	0.0006668290359577518
GSTM1	0.000658056801681864
LDLC	0.0006431202516003638
FCN3	0.0006081565226947599
ZFYVE19	0.000601596364863359
HSCRP	0.0006001911021570104
PCYOX1	0.0005731934336523088
C2	0.0005659275394919613
F13A1	0.0005230007831480943
YWHAH	0.0005165002702575244
APOC1	0.000470165883061905
RPIA	0.0004657063880864389
SAA1	0.0004445409533173132
TUBA1B	0.0004249563043659393
ALDOB	0.0003852038614430617
TUBA1A	0.00033517365532104767
YWHAQ	0.0003340507541389447
GSTM4	0.00026833868400780885
SCR	0.000235014781449283
PRSS1	0.00022883507638236556
CRP	0.00021580503615646794
TUBA1C	0.00014338197725895701
PLT	0.00013330466986299962
AKR1A1	0.00010159247438714202
TBIL	0.00010081139227056543
APOF	0.00010015732713127438
S100A8	8.759804288553273e-05
SFN	8.160818490668279e-05
TUBA4A	6.950976266379441e-05
SPG11	5.60470140995824e-05
TG	4.7658496903103323e-05
