feature_name	feature_importance
PBG	0.24635522141299063
RBC	0.16839538548928387
FPG	0.13094797712507614
HOMA.B	0.1297554225910436
Age	0.12709978909981445
HOMA.IR	0.10013963163776807
Dose	0.10006847744798564
HDLC	0.08637949090971057
WBC	0.06411612700498638
BUN	0.051482538859303636
EGFR	0.043871565098435754
DBP	0.038971493813023804
ALT	0.035928447117212846
UCR	0.03205270039772076
CKMB	0.028565290304936833
HB	0.025501706307455525
TC	0.023678476630365826
HBA1C	0.019781486725354003
HSCRP	0.019721566403697113
UMACRR	0.018687725404117016
AST	0.017236149752786128
TBIL	0.015686639574039516
FINS	0.015140218735537515
FFA	0.014910365476212993
BMI	0.014137882222533435
HCT	0.01405505289703672
UMA	0.006400180660202104
WEIGHT	0.006144710045108981
WACC	0.00529351123953087
SBP	0.003995009965573889
PLT	0.0032746243945760054
Sex	0.002681613506849647
TG	0.0015724870026815904
SCR	0.0014524952189151996
LDLC	0.0012030069995625705
