fpr,tpr
0.0,0.0
0.05454545454545454,0.16
0.1,0.29
0.11818181818181818,0.32
0.14545454545454545,0.42
0.19090909090909092,0.55
0.21818181818181817,0.56
0.21818181818181817,0.59
0.21818181818181817,0.6
0.23636363636363636,0.62
0.23636363636363636,0.67
0.2818181818181818,0.72
0.2909090909090909,0.72
0.32727272727272727,0.75
0.34545454545454546,0.76
0.35454545454545455,0.78
0.36363636363636365,0.78
0.4,0.82
0.4818181818181818,0.83
0.5,0.85
0.5,0.86
0.5909090909090909,0.89
0.5909090909090909,0.9
0.6,0.9
0.6727272727272727,0.92
0.6818181818181818,0.93
0.7272727272727273,0.94
0.7454545454545455,0.96
1.0,1.0
