feature_name	feature_importance
PBG	0.056762413082834404
FPG	0.05413145000898993
HOMA.B	0.04427471246342508
RBC	0.04178546184089168
GPX3	0.0342801909803381
APOA2	0.03104702309776892
APCS	0.028672608186405286
HBA1C	0.028416683176247962
CLU	0.02817726396611976
STXBP5	0.028070517870082547
MASP2	0.027680533430575784
HB	0.02737859062420744
USO1	0.026035159588522414
FGG	0.024959181182802808
Age	0.024885656183998732
FINS	0.023886439039965537
HDLC	0.022425276256489046
PON1	0.021816301021785944
LYZ	0.021408776921234014
HCT	0.021148240608210786
SERPINA7	0.02096200175831076
FBLN1	0.020902344282532022
RACK1	0.02077319532880511
GSN	0.020115665974722217
BMI	0.01980809097412284
APOH	0.0196827555654324
BUN	0.019635887250139473
RPS3	0.019599728430057677
CAMP	0.019572370786773274
FGB	0.019391828206744486
APOC2	0.018734022790657452
AFM	0.01839330387594716
CFHR1	0.017839366103634943
FCGBP	0.017737888784128616
GNA13	0.017500148870632223
SERPINC1	0.017209078352227097
CPN1	0.017144852783805183
FGA	0.016710097750000673
SCRIB	0.01666077472743316
VTN	0.01652434277342644
A1BG	0.016494920213713175
IGHV3.72	0.016291554697795998
APOC3	0.01619492698744936
EGFR	0.01567979348915428
F10	0.01535322237798814
Dose	0.015351624222258449
AST	0.015253435335083507
CFH	0.014644707256665526
CPB2	0.0145568215219941
HOMA.IR	0.014031976953470185
HBB	0.013674117497957201
RCN1	0.013636289169166234
WBC	0.013508439887171191
NXF1	0.013476524285603472
YWHAG	0.013348019387408665
ACACB	0.012929999106834521
ALT	0.012865469491136906
APOA1	0.012445520109688732
PIGR	0.012260149959714712
AGT	0.012082656134300557
SHBG	0.011926947057282722
IGLV3.19	0.011606426473386883
CD163	0.01159968137139545
C3	0.011514156862383936
C9	0.01138924662369904
PRB3	0.01121987946321066
SERPINA6	0.011073738235680464
ITIH4	0.010994399257814912
IGFBP2	0.010990185277512643
UCR	0.010972105417257155
IGHV4.39	0.010699312159372023
WEIGHT	0.01050028943073493
CHL1	0.010296601989916079
SYTL1	0.010272508747038413
HBZ	0.010165969303270886
TC	0.010098144622213314
HABP2	0.010050061415464778
CKMB	0.010032835894476308
CFD	0.009872487797744167
MNDA	0.00949999356938617
APOA4	0.009448786497211521
HSPA9	0.009428929828175746
NSF	0.009298446436945025
SCIN	0.008863866123841243
TAGLN	0.00883970410484044
WACC	0.008797116395391743
TF	0.008571923875821971
GSTM2	0.008554932712730454
CGREF1	0.00835933377939447
Sex	0.008237187199026202
NAP1L1	0.007702650798823493
C8G	0.007595808291631636
C1QB	0.007105326889123748
FETUB	0.006924180442663093
IGLV3.1	0.006857592589633815
PTPRG	0.006690805171819779
A2M	0.0064246417371798155
SLC4A2	0.0063566607084205844
PZP	0.006154635313760409
GGT1	0.00607011624131346
MAN2A1	0.005981287496557696
PRG4	0.005817726540939532
APOE	0.005815515542304955
PGLYRP2	0.0058145117540244215
FUBP3	0.0057651415094177
G6PD	0.005728360980847752
HSPG2	0.005562716975410533
PI16	0.005547055524519964
EPCAM	0.005422618378590698
C8B	0.00540735832062867
VASP	0.005371420364576753
C4BPA	0.00534497210617997
APOB	0.005330080471188074
APOM	0.005293264363123086
ACACA	0.005262527326845708
CFHR2	0.00523027270466658
GIT1	0.005031060402651584
SLC35B2	0.004893077856453225
TIMM44	0.0048390713125265414
AKR1B1	0.004814253207826839
HDHD2	0.004708748619255749
GMPS	0.004693865310070649
KNG1	0.004392153907048882
DBP	0.004309743334041316
TTC37	0.00414531411883284
SERPINA3	0.004062228281759857
PPP1R9B	0.00380124296453682
ADIPOQ	0.0036482650263262636
FCGR3A	0.0036395195016488816
UMA	0.003613665959023337
L2HGDH	0.0035308795879692694
MX1	0.0035296127525180263
MASP1	0.0032972899923287224
SBP	0.003259661499125857
CLEC3B	0.003249355553906821
MFGE8	0.003196649701089679
CPB1	0.003171150316101572
UMACRR	0.003070936872658918
CELA3A	0.0030007002722062625
LTF	0.0029931311763946897
TUBA3C	0.0029875733176043945
TUBA3D	0.0029875733176043945
ARID1A	0.002893097387259088
PCBP2	0.0028773739863352417
LPA	0.0026960635013005847
CP	0.0026470951672020685
AHSG	0.0024335560121239172
APOD	0.002407373576781623
CFHR3	0.0023985975965942295
METTL18	0.002325168576036633
AMPD3	0.002314191800800439
FFA	0.002199290835201708
RMC1	0.0021744916768472694
TUBA8	0.0021523204786775127
TMEM256	0.002066415554306366
ORM1	0.002041024570788164
S100A9	0.0020004871078732997
GSTM1	0.001974170405045648
LDLC	0.0019293607548011317
FCN3	0.001824469568084324
ZFYVE19	0.001804789094590121
HSCRP	0.00180057330647108
PCYOX1	0.0017195803009569777
C2	0.00169778261847593
F13A1	0.0015690023494443293
YWHAH	0.0015495008107726154
APOC1	0.0014104976491857626
RPIA	0.001397119164259366
SAA1	0.001333622859951989
TUBA1B	0.0012748689130978655
ALDOB	0.0011556115843292308
TUBA1A	0.0010055209659631892
YWHAQ	0.0010021522624168808
GSTM4	0.0008050160520234691
SCR	0.0007050443443478937
PRSS1	0.0006865052291471424
CRP	0.0006474151084694518
TUBA1C	0.000430145931776914
PLT	0.00039991400958904345
AKR1A1	0.0003047774231614593
TBIL	0.00030243417681174154
APOF	0.0003004719813938605
S100A8	0.0002627941286566296
SFN	0.00024482455472008235
TUBA4A	0.00020852928799141473
SPG11	0.00016814104229877978
TG	0.00014297549070933793
