feature_name	feature_importance
STXBP5	0.2617340234211383
APOA2	0.23644909997445793
CLU	0.22018891802853968
GPX3	0.19271628584412254
SCIN	0.17395220790956603
C9	0.1603854653956826
APCS	0.1453778572699929
CFH	0.13995011977132976
MASP2	0.1388977863259972
USO1	0.1380845850999868
PON1	0.13383228947076872
C8G	0.12598972471641703
TF	0.12376391780418323
ITIH4	0.12226748565097223
FCGBP	0.12115409694436492
CPB2	0.11728393139591013
RPS3	0.11662129296826919
APOC2	0.11591853527322662
SERPINA7	0.11533991373672292
A1BG	0.11474496637212732
CPN1	0.11367981562245169
APOH	0.1115366116073586
SYTL1	0.10733048863658282
FETUB	0.10268810958411749
C1QB	0.10258336510601405
GSN	0.1011136769506838
SERPINA3	0.09775506699464961
CLEC3B	0.09524015242631832
FBLN1	0.09386741351090096
IGHV3.72	0.09372332206261107
CHL1	0.09338413570976634
LPA	0.09305852814943026
A2M	0.09300541289298421
PZP	0.09033712586940469
L2HGDH	0.08943162701263728
PIGR	0.0891216182008465
FGG	0.08733334064414888
RACK1	0.081783125598639
CRP	0.08131733754043487
SLC35B2	0.08087140516607928
AMPD3	0.08007882657577811
APOF	0.07914168155508834
C3	0.07791042511723426
SPG11	0.0778654481935199
HSPG2	0.07709312770696317
MNDA	0.07604928150449565
CAMP	0.07546791500314956
CFHR1	0.07518634831243819
SCRIB	0.07517793987445791
APOA1	0.07436396191426072
GNA13	0.07155292391895436
VTN	0.07144499716262515
AGT	0.07039288181500612
TAGLN	0.06958760878402076
HABP2	0.06932569068662046
CFHR2	0.06883399214808067
MX1	0.06769488627771453
NSF	0.06704632560567991
RCN1	0.06442419870400569
PCBP2	0.06301927995069849
ZFYVE19	0.06280133076699279
VASP	0.06094575189822838
YWHAG	0.06067613644857718
APOD	0.059455559757121176
TIMM44	0.05923935389886126
PI16	0.05873861312935839
C8B	0.05831111625221597
ORM1	0.05627631899535566
APOC1	0.054353701222592934
CFD	0.05417468716555366
AFM	0.051782591246048004
LYZ	0.049360741918232774
ACACA	0.04923960521892855
YWHAQ	0.048707594004509164
GSTM2	0.04585300330871024
APOA4	0.04397463068034387
RPIA	0.04308693872154775
GGT1	0.042612197538030964
TMEM256	0.039926574738968074
MAN2A1	0.03891768880980721
AHSG	0.03890591077716119
G6PD	0.037477954480054865
IGLV3.1	0.037003362822139646
TUBA3C	0.03635648271267344
TUBA3D	0.03635648271267344
GSTM1	0.03556684133356195
FCGR3A	0.03522231182422331
APOC3	0.035169976998017875
HSPA9	0.03491233278175808
CP	0.03384615238282985
IGFBP2	0.03305139461464118
ARID1A	0.03243389605569373
TUBA1B	0.03151718184044195
SAA1	0.029662939901332588
PRB3	0.027352705479213073
TUBA8	0.02706996068698999
KNG1	0.026409064904211098
C2	0.02573233932167299
METTL18	0.025598617208277365
SHBG	0.02387546848635603
ADIPOQ	0.022897155595510817
IGHV4.39	0.02269078200841274
FUBP3	0.02262673240851206
CPB1	0.02180315376124772
HBB	0.021157460764082616
FGB	0.02023247096339291
TUBA1C	0.02019416061743019
PRSS1	0.01967156156057462
MFGE8	0.019657565739085812
S100A9	0.019649395648388582
F10	0.01947453902213979
EPCAM	0.019416517899829462
GSTM4	0.018940567736065443
PCYOX1	0.018698223428664493
SERPINA6	0.01817365933898256
TTC37	0.018089994538285713
FGA	0.018074145072084585
NAP1L1	0.018032677218637154
MASP1	0.017765932080395477
CGREF1	0.017521933150614902
CELA3A	0.01663973368475077
AKR1B1	0.016486057578013157
ALDOB	0.0161519786761602
PGLYRP2	0.015015576892622177
CD163	0.014782086413840734
FCN3	0.014496123150832447
ACACB	0.013848178870050184
YWHAH	0.01180828759923673
LTF	0.011623291290347225
PPP1R9B	0.011212181409560533
HDHD2	0.011053606397896903
APOB	0.010984547497435949
GIT1	0.010491342651659281
RMC1	0.009704945630412945
APOE	0.008269557502603817
TUBA1A	0.0080839057224302
TUBA4A	0.007512307539400756
F13A1	0.007198694129455298
HBZ	0.007138062949722702
IGLV3.19	0.006792861834662353
GMPS	0.0065078835867620685
C4BPA	0.005379356296070283
SFN	0.00490055598703328
S100A8	0.004593394401832267
SLC4A2	0.0034955429388738232
APOM	0.003175652393372699
PTPRG	0.0027287432968324103
CFHR3	0.0017500485023612857
SERPINC1	0.0015014270266108386
AKR1A1	0.0012408743248142546
NXF1	0.0010700951078672324
PRG4	0.0007133756853482237
