HBA1C	FPG	PBG	FINS	HOMA.B	HOMA.IR	TG	TC	LDLC	HDLC	FFA	ALT	AST	TBIL	BUN	EGFR	SCR	UCR	UMA	UMACRR	CKMB	HSCRP	HB	PLT	HCT	RBC	WBC	BMI	WACC	WEIGHT	DBP	SBP	Age	Sex	Dose	exRNA000003	exRNA000004	exRNA000005	exRNA000008	exRNA000009	exRNA000015	exRNA000016	exRNA000017	exRNA000027	exRNA000028	exRNA000029	exRNA000035	exRNA000036	exRNA000040	exRNA000042	exRNA000043	exRNA000044	exRNA000047	exRNA000050	exRNA000053	exRNA000056	exRNA000058	exRNA000059	exRNA000060	exRNA000061	exRNA000066	exRNA000067	exRNA000077	exRNA000084	exRNA000089	exRNA000091	exRNA000097	exRNA000098	exRNA000110	exRNA000130	exRNA000139	exRNA000145	exRNA000161	exRNA000164	exRNA000165	exRNA000172	exRNA000173	exRNA000183	exRNA000211	exRNA000226	exRNA000250	exRNA000251	exRNA000290	exRNA000311	exRNA000312	exRNA000317	exRNA000326	exRNA000344	exRNA000348	exRNA000394	exRNA000408	exRNA000561	exRNA000565	exRNA000673	exRNA000760	exRNA000822	exRNA000841
-0.0	0.06599602502410626	-0.5664093047749651	0.0	1.4390594995387251	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.09550972244698067	-0.0	0.0	0.0	0.0	-0.0	0.0	0.09935933460283258	-0.0	-0.0	-0.0	0.0	0.046597760088922816	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.008715317617229006	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.12214335998282119	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.13953071910828668	-0.0	-0.0	0.0
-0.0	0.13620456228379368	0.4925671619594316	0.0	0.22039661070789784	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.6554166971319152	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.15692557713054558	-0.0	0.0	-0.0	-0.0	0.038378775878372386	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0035546395462476787	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.009818215959249409	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.2139815171273899	-0.0	-0.0	-0.0
-0.0	-0.4079116014787842	-0.6522722615372136	0.0	0.17367022102443844	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.10338430219824052	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.08784608609729	-0.0	0.0	0.0	-0.0	0.13137402345082808	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0030735369172987114	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0774369068133015	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.24647745875156016	0.0	-0.0	-0.0
0.0	0.10110029365394997	0.40670420519718326	0.0	0.5161254717308452	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.006210364443003955	0.0	0.0	0.0	0.0	0.0	0.0	-0.28057786608007307	-0.0	0.0	-0.0	-0.0	0.3008689266045937	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.020552803644255453	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.11727486115678765	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.14628243874713448	-0.0	-0.0	0.0
0.0	0.03089175639426245	-0.13709452096372307	0.0	-0.0013780771694238236	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.05061649974134517	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.01577315045259336	-0.0	0.0	-0.0	0.0	0.1841155415955393	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.008921123384705512	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.04478990905593205	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.18122261353026134	0.0	-0.0	0.0
-0.0	-0.08612247237188332	-0.13709452096372307	0.0	0.08452118807573285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.01838754962536417	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.07333939298030634	0.0	-0.0	0.0	0.0	-0.037033523895434135	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0052358013974748464	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.06619232613735018	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.14774657036596467	0.0	0.0	0.0
-0.0	-0.02176464655050307	-0.28019944890080367	-0.0	-0.26232564060844277	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.2741084384549345	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.08784608609729	-0.0	0.0	0.0	0.0	-0.019137677321276404	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.006872386901671764	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.02799382574398041	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.06762141396332975	0.0	0.0	-0.0
0.0	-0.0042125122355812636	-0.4662358552190086	-0.0	-0.32705750000075406	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.35123061127655064	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.07333939298030634	0.0	0.0	0.0	-0.0	0.19836722949456073	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.02197067564208888	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.11650998595656438	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.23383532907342808	0.0	0.0	-0.0
0.0	-0.17388314394649265	-0.8812401462365428	-0.0	-0.2824390677466236	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.13585679601786851	0.0	-0.0	0.0	0.0	0.0	-0.0	0.01876659506403443	-0.0	-0.0	-0.0	-0.0	-0.021510753379384042	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.021153459510746674	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.007426726296156622	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.07127036756358338	0.0	-0.0	-0.0
-0.0	0.0776974479007208	-0.051231564201474976	-0.0	-0.09298639378567988	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.11580503108424806	-0.0	0.0	0.0	-0.0	0.0	0.0	0.20297857115271595	0.0	0.0	0.0	0.0	-0.10790651693773678	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.019009488125189256	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.24806735063903668	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.2986269345874884	0.0	-0.0	-0.0
