exRNA000003	exRNA000004	exRNA000005	exRNA000008	exRNA000009	exRNA000015	exRNA000016	exRNA000017	exRNA000027	exRNA000028	exRNA000029	exRNA000035	exRNA000036	exRNA000040	exRNA000042	exRNA000043	exRNA000044	exRNA000047	exRNA000050	exRNA000053	exRNA000056	exRNA000058	exRNA000059	exRNA000060	exRNA000061	exRNA000066	exRNA000067	exRNA000077	exRNA000084	exRNA000089	exRNA000091	exRNA000097	exRNA000098	exRNA000110	exRNA000130	exRNA000139	exRNA000145	exRNA000161	exRNA000164	exRNA000165	exRNA000172	exRNA000173	exRNA000183	exRNA000211	exRNA000226	exRNA000250	exRNA000251	exRNA000290	exRNA000311	exRNA000312	exRNA000317	exRNA000326	exRNA000344	exRNA000348	exRNA000394	exRNA000408	exRNA000561	exRNA000565	exRNA000673	exRNA000760	exRNA000822	exRNA000841
-0.16068622	0.007616068	-0.02664238	0.0	0.0	0.0	0.0	-0.0076118186	0.0	0.0	0.14856426	0.0	-0.20490286	-0.052855715	0.0	0.0	0.0	0.16394085	0.0	0.0	0.0	-0.012210435	-0.009431276	0.0	0.0	-0.021468902	-0.032658424	0.0	-0.041498862	0.0	-0.015235526	0.0	0.14018206	-0.0039482703	-0.0032666298	0.0	-0.18898061	0.013386206	0.0	0.0154448375	0.0	0.0	0.0	0.03569366	0.0	0.0	0.0	-0.016926667	0.0	0.0	0.0	0.0	0.0	0.0	-0.12860164	-0.007982627	0.0	0.14107022	0.0	0.0	0.0	0.0
-0.05902256	-0.065644614	0.11552577	0.0	0.0	0.0	0.0	-0.27831858	0.0	0.0	-0.005924225	0.0	0.066000976	0.07612136	0.0	0.0	0.0	0.03657583	0.0	0.0	0.0	-0.056155294	0.0154341385	0.0	0.0	-0.013602804	0.011865271	0.0	0.0029493694	0.0	0.025428452	0.0	-0.08272591	0.09412681	-0.013908415	0.0	0.14845368	-0.14044362	0.0	-0.024031559	0.0	0.0	0.0	-0.054734167	0.0	0.0	0.0	-0.080421105	0.0	0.0	0.0	0.0	0.0	0.0	-0.028204424	-0.0046716793	0.0	-0.016690657	0.0	0.0	0.0	0.0
0.18254666	0.0044377088	0.289913	0.0	0.0	0.0	0.0	0.061016962	0.0	0.0	-0.005924225	0.0	0.020134458	0.12383788	0.0	0.0	0.0	-0.052703317	0.0	0.0	0.0	-0.0073090526	0.0154341385	0.0	0.0	0.031746715	0.036133062	0.0	0.019265456	0.0	0.02871164	0.0	0.028340613	-0.00666373	0.00448124	0.0	-0.026532501	0.026795324	0.0	0.044775598	0.0	0.0	0.0	-0.10280834	0.0	0.0	0.0	0.049611922	0.0	0.0	0.0	0.0	0.0	0.0	0.030791558	0.025218017	0.0	-0.017144982	0.0	0.0	0.0	0.0
-0.16068622	-0.048742842	0.36696008	0.0	0.0	0.0	0.0	0.032317795	0.0	0.0	0.14856426	0.0	-0.12687227	-0.011480654	0.0	0.0	0.0	0.16394085	0.0	0.0	0.0	-0.012210435	-0.009431276	0.0	0.0	-0.021468902	-0.032658424	0.0	-0.041498862	0.0	-0.015235526	0.0	0.14018206	-0.0039482703	-0.0032666298	0.0	-0.028463438	0.013386206	0.0	0.0154448375	0.0	0.0	0.0	0.028593324	0.0	0.0	0.0	-0.016926667	0.0	0.0	0.0	0.0	0.0	0.0	0.081593476	-0.007982627	0.0	0.14107022	0.0	0.0	0.0	0.0
-0.24699424	0.007616068	0.36696008	0.0	0.0	0.0	0.0	0.08837328	0.0	0.0	0.14856426	0.0	-0.12687227	-0.011480654	0.0	0.0	0.0	0.007932231	0.0	0.0	0.0	-0.012210435	-0.009431276	0.0	0.0	-0.021468902	-0.032658424	0.0	-0.041498862	0.0	-0.015235526	0.0	0.14018206	-0.0039482703	-0.0032666298	0.0	-0.091922686	0.013386206	0.0	0.0154448375	0.0	0.0	0.0	0.03569366	0.0	0.0	0.0	-0.016926667	0.0	0.0	0.0	0.0	0.0	0.0	0.081593476	-0.023406083	0.0	0.14107022	0.0	0.0	0.0	0.0
0.163159	0.007616068	-0.03300107	0.0	0.0	0.0	0.0	-0.035422895	0.0	0.0	-0.008016103	0.0	0.07831214	0.027573582	0.0	0.0	0.0	0.13955884	0.0	0.0	0.0	-0.01924293	-0.004351456	0.0	0.0	0.031746715	-0.0489968	0.0	0.019265456	0.0	0.06913676	0.0	0.028340613	0.009311875	0.041247062	0.0	-0.15242752	0.019515753	0.0	0.092760935	0.0	0.0	0.0	0.115705565	0.0	0.0	0.0	0.23571368	0.0	0.0	0.0	0.0	0.0	0.0	0.017894773	0.015218372	0.0	-0.017144982	0.0	0.0	0.0	0.0
-0.08255039	0.030106723	-0.024496872	0.0	0.0	0.0	0.0	-0.12732708	0.0	0.0	-0.008016103	0.0	0.09905018	-0.023403408	0.0	0.0	0.0	-0.055536613	0.0	0.0	0.0	-0.056155294	-0.004351456	0.0	0.0	-0.013602804	-0.018979719	0.0	0.0053186207	0.0	0.06585357	0.0	-0.15456836	0.009311875	-0.013908415	0.0	0.20507763	0.0090424735	0.0	0.014577902	0.0	0.0	0.0	0.18110426	0.0	0.0	0.0	-0.080421105	0.0	0.0	0.0	0.0	0.0	0.0	-0.048826177	-0.0046716793	0.0	0.0426229	0.0	0.0	0.0	0.0
0.15943107	0.030106723	0.1491671	0.0	0.0	0.0	0.0	-0.0041636676	0.0	0.0	0.022600848	0.0	-0.20672223	-0.023403408	0.0	0.0	0.0	0.13955884	0.0	0.0	0.0	0.17063832	-0.002594259	0.0	0.0	-0.058887906	-0.018979719	0.0	0.019265456	0.0	0.0035673017	0.0	0.015509354	-0.00666373	0.01444811	0.0	0.1359166	0.037268605	0.0	0.044775598	0.0	0.0	0.0	0.07324729	0.0	0.0	0.0	-0.021257969	0.0	0.0	0.0	0.0	0.0	0.0	-0.048826177	0.015218372	0.0	-0.017144982	0.0	0.0	0.0	0.0
-0.30933487	0.030106723	-0.024496872	0.0	0.0	0.0	0.0	-0.22395141	0.0	0.0	-0.052693002	0.0	0.038733378	-0.024535403	0.0	0.0	0.0	-0.08132379	0.0	0.0	0.0	-0.056155294	-0.029712431	0.0	0.0	-0.008411998	0.00459621	0.0	0.0029493694	0.0	-0.20203802	0.0	-0.08272591	0.005517301	-0.013908415	0.0	0.21042673	0.005861316	0.0	-0.024031559	0.0	0.0	0.0	0.05611711	0.0	0.0	0.0	-0.080421105	0.0	0.0	0.0	0.0	0.0	0.0	0.03097859	-0.023406083	0.0	-0.016690657	0.0	0.0	0.0	0.0
0.17196599	0.007616068	-0.03300107	0.0	0.0	0.0	0.0	0.014302647	0.0	0.0	-0.008016103	0.0	0.07831214	-0.098626085	0.0	0.0	0.0	-0.052703317	0.0	0.0	0.0	0.037103683	-0.004351456	0.0	0.0	0.031746715	0.007908704	0.0	0.019265456	0.0	0.06913676	0.0	-0.017101014	0.009311875	0.043277778	0.0	-0.115322754	0.0090424735	0.0	0.044775598	0.0	0.0	0.0	0.115705565	0.0	0.0	0.0	-0.00907073	0.0	0.0	0.0	0.0	0.0	0.0	-0.12860164	0.025218017	0.0	-0.008776712	0.0	0.0	0.0	0.0
-0.1409088	0.007616068	-0.03300107	0.0	0.0	0.0	0.0	0.048443668	0.0	0.0	0.14856426	0.0	0.07615703	-0.052855715	0.0	0.0	0.0	-0.055139333	0.0	0.0	0.0	-0.012210435	-0.009431276	0.0	0.0	-0.008411998	-0.032658424	0.0	-0.023012636	0.0	-0.14298671	0.0	0.14018206	-0.0039482703	-0.0032666298	0.0	-0.1551416	0.0105941035	0.0	-0.025460698	0.0	0.0	0.0	0.060404316	0.0	0.0	0.0	-0.016926667	0.0	0.0	0.0	0.0	0.0	0.0	-0.12860164	-0.023406083	0.0	0.14107022	0.0	0.0	0.0	0.0
-0.12046446	0.007616068	0.2733972	0.0	0.0	0.0	0.0	-0.0076118186	0.0	0.0	0.14856426	0.0	0.051028542	-0.052855715	0.0	0.0	0.0	0.16394085	0.0	0.0	0.0	-0.012210435	-0.009431276	0.0	0.0	-0.008411998	-0.032658424	0.0	-0.023012636	0.0	-0.14298671	0.0	0.14018206	-0.0039482703	-0.0032666298	0.0	-0.09610197	0.013386206	0.0	-0.025460698	0.0	0.0	0.0	0.052426875	0.0	0.0	0.0	-0.016926667	0.0	0.0	0.0	0.0	0.0	0.0	-0.12860164	-0.007982627	0.0	0.14107022	0.0	0.0	0.0	0.0
