fpr,tpr
0.0,0.0
0.0,0.01
0.0,0.02
0.00909090909090909,0.02
0.00909090909090909,0.05
0.01818181818181818,0.05
0.01818181818181818,0.07
0.02727272727272727,0.07
0.02727272727272727,0.08
0.045454545454545456,0.08
0.045454545454545456,0.1
0.05454545454545454,0.1
0.05454545454545454,0.13
0.06363636363636363,0.13
0.06363636363636363,0.18
0.07272727272727272,0.18
0.07272727272727272,0.19
0.09090909090909091,0.19
0.09090909090909091,0.33
0.1,0.33
0.1,0.37
0.10909090909090909,0.37
0.10909090909090909,0.46
0.11818181818181818,0.46
0.11818181818181818,0.47
0.12727272727272726,0.47
0.12727272727272726,0.48
0.13636363636363635,0.48
0.13636363636363635,0.51
0.15454545454545454,0.51
0.15454545454545454,0.56
0.16363636363636364,0.56
0.16363636363636364,0.58
0.17272727272727273,0.58
0.17272727272727273,0.62
0.2,0.62
0.2,0.63
0.22727272727272727,0.63
0.22727272727272727,0.66
0.24545454545454545,0.66
0.24545454545454545,0.67
0.2545454545454545,0.67
0.2545454545454545,0.68
0.2727272727272727,0.68
0.2727272727272727,0.69
0.2818181818181818,0.69
0.2818181818181818,0.7
0.2909090909090909,0.7
0.2909090909090909,0.73
0.3181818181818182,0.73
0.3181818181818182,0.76
0.32727272727272727,0.76
0.32727272727272727,0.77
0.37272727272727274,0.77
0.37272727272727274,0.78
0.4,0.78
0.4,0.8
0.41818181818181815,0.8
0.41818181818181815,0.81
0.45454545454545453,0.81
0.45454545454545453,0.82
0.4909090909090909,0.82
0.4909090909090909,0.83
0.5,0.83
0.5,0.84
0.509090909090909,0.84
0.509090909090909,0.85
0.6,0.85
0.6,0.87
0.6090909090909091,0.87
0.6090909090909091,0.88
0.6272727272727273,0.88
0.6272727272727273,0.89
0.6363636363636364,0.89
0.6363636363636364,0.91
0.6454545454545455,0.91
0.6454545454545455,0.92
0.6545454545454545,0.92
0.6545454545454545,0.93
0.7,0.93
0.7,0.94
0.7090909090909091,0.94
0.7090909090909091,0.95
0.7272727272727273,0.95
0.7272727272727273,0.96
0.7909090909090909,0.96
0.7909090909090909,0.97
0.8727272727272727,0.97
0.8727272727272727,0.99
0.9,0.99
0.9,1.0
1.0,1.0
