feature_name	feature_importance
RBC	0.09440342435831987
PBG	0.08693562696952857
MS006	0.07667117014473059
FPG	0.07588209137719341
HOMA.B	0.07485331813010469
GPX3	0.06927538330606932
Age	0.06794282562268344
MP0193	0.06396157231353436
MP0151	0.06381549137268053
CLU	0.06333462718186372
MASP2	0.06101656659057126
APOA2	0.059334308834824614
STXBP5	0.05730340026846384
Dose	0.05470929210006535
MP0174	0.052778236939908026
MP0050	0.052687200494793925
LYZ	0.05169798872485037
MP0076	0.05022225603229334
FCGBP	0.04933016016248737
SERPINA7	0.04910835725500191
GNA13	0.048695623185585846
MP0115	0.04658018958291834
CPN1	0.046409783325599516
MP0073	0.045191996643627046
WBC	0.04506066655584822
MP0141	0.04494114506086827
MP0128	0.044871551907512006
IGHV3.72	0.043162129321857805
MP0052	0.0431410511350046
MP0113	0.04202839466443496
RPS3	0.04184394287518392
HBZ	0.041538255157915434
CAMP	0.04110195616267626
VTN	0.0407482828753561
FGG	0.04069296573780975
PIGR	0.039915374821169754
TF	0.03964937403185902
MP0080	0.03922979330009727
MP0142	0.039151560413607345
RACK1	0.03846305223174078
A1BG	0.03830030309093275
GSN	0.038196250245351525
MP0046	0.03799590434941165
MP0042	0.03768236295695668
TAGLN	0.03765744948531132
CFH	0.037369326345067094
APOH	0.036755584215959564
PZP	0.0366749697864844
IGLV3.19	0.03647277249501786
UCR	0.03618150416582593
MS013	0.0360367347280206
EGFR	0.03533498871208002
HDLC	0.03525450532165919
PON1	0.035180109172497115
USO1	0.03516497809362396
AFM	0.03506802217368979
CKMB	0.035041901547656816
CGREF1	0.03498951629273204
MP0098	0.03414217173467954
MP0101	0.03400631637814766
MP0018	0.03392573405122404
ITIH4	0.03387019078522995
FINS	0.033595442874446456
MP0024	0.033586335754614484
CFHR1	0.03353982375834992
MS030	0.03286542987117851
MS004	0.03241460996079802
MP0030	0.03215773198283623
MP0156	0.03215588224337168
FBLN1	0.03184411871818432
MASP1	0.031525860685478455
CFHR3	0.030795662439715044
GSTM2	0.03015422204992752
HOMA.IR	0.029851655277092343
C4BPA	0.029815695908338432
MS026	0.029706474820917345
MP0062	0.02954395814834495
MP0015	0.029407077340847618
MP0086	0.029374021126997135
SCIN	0.02934937033302546
WEIGHT	0.02933190942060497
MP0022	0.028572961560219955
BUN	0.028120686832291183
HSPG2	0.028087136147711477
RPIA	0.027741786372640617
APOF	0.027687753574493656
MP0175	0.027600954054828538
MP0085	0.027403241233508947
APOC2	0.02710857674568719
MP0140	0.02669471597850274
MP0009	0.026615614115731785
MP0074	0.02658592222577118
MP0132	0.02656579500219501
A2M	0.026550512126240437
MS014	0.026183749673888847
HABP2	0.026132810682282525
TIMM44	0.02610357576673849
ACACB	0.026043710400445893
BMI	0.025864720107389973
MP0012	0.025692331435489733
HBA1C	0.025629511170536155
GIT1	0.025536430844669538
CHL1	0.024914874814635477
SCRIB	0.024370087496452652
ORM1	0.02396760234833439
MP0100	0.023931269631869225
MP0126	0.023843693832012455
ML010	0.023114677431215837
HB	0.023023767903669178
Sex	0.022948432500692312
MP0054	0.022850846592227934
MP0134	0.0226466758890201
HCT	0.02263436364952387
C1QB	0.022541462405207477
C9	0.022437789022517918
MP0065	0.02243292995611063
GGT1	0.022390767377256093
MP0124	0.02216763436490825
SERPINA3	0.02212064097872771
