feature_name	feature_importance
PBG	0.00014820060426142553
FPG	0.00014192778869496667
HOMA.B	0.00010292899877795308
RBC	9.757712232613256e-05
Age	6.947740462550282e-05
HBA1C	6.61767028162799e-05
HB	6.164245130265274e-05
Dose	5.733750052502432e-05
HDLC	5.66108429337801e-05
BUN	5.5600274284957244e-05
FINS	5.487222197367049e-05
BMI	4.7760108625719697e-05
EGFR	4.704965369696996e-05
HCT	4.3200154353863126e-05
UCR	3.5115155343149794e-05
TC	3.484780786848047e-05
HOMA.IR	2.9984676446928907e-05
ALT	2.5977468862027784e-05
CKMB	2.5846207249714677e-05
WEIGHT	2.1888800551212677e-05
AST	2.1068152811874563e-05
TG	2.08526412289305e-05
WACC	1.9697000528624756e-05
Sex	1.7099174410148884e-05
WBC	1.6855173797317165e-05
DBP	1.1602137220043376e-05
PLT	1.0447064355214515e-05
FFA	9.876776487915981e-06
SCR	8.691933727543088e-06
UMA	7.515957348911583e-06
HSCRP	4.867069921885106e-06
SBP	3.820089777360865e-06
LDLC	1.8940114184050242e-06
TBIL	1.7152754504077756e-06
UMACRR	9.821169727270294e-07
