feature_name	feature_importance
HOMA.B	0.1707375456307257
PBG	0.16376732647028686
RBC	0.07226836681747878
FPG	0.06791770674234915
Age	0.038834477164166985
Dose	0.011641491002163343
HDLC	0.011564330087137979
HOMA.IR	0.004241069631159307
BUN	0.0022218855866346157
HCT	0.0014633213889806815
HBA1C	8.681587297638007e-06
EGFR	7.303260773084173e-06
HB	5.9933985617701235e-06
BMI	5.0962612821263356e-06
FINS	4.90201653265407e-06
TC	4.7361360493389395e-06
UCR	4.1799375044367845e-06
UMA	4.0848714865582e-06
AST	3.400522008089251e-06
CKMB	3.0427446311118366e-06
WBC	2.8079872130934825e-06
TG	2.7076127842728568e-06
WEIGHT	2.6937300746604284e-06
UMACRR	2.149522701915207e-06
Sex	1.9871322361848663e-06
SCR	1.9596105229145966e-06
DBP	1.8668902048019512e-06
ALT	1.6087970969610506e-06
WACC	1.5584893669799554e-06
FFA	1.2865469271501537e-06
PLT	6.14612481248436e-07
SBP	3.088284792208567e-07
TBIL	1.9933588953971836e-07
LDLC	1.4072426581865882e-07
HSCRP	9.86956552599665e-08
