feature_name	feature_importance
PBG	0.22222498094657234
HOMA.B	0.163902718666724
exRNA000673	0.13736319524856624
FPG	0.12938227944723255
RBC	0.10822338349184683
Age	0.0654287037512127
exRNA000005	0.05753124239290425
exRNA000183	0.05141665787758912
exRNA000003	0.026171118243976593
FINS	0.015335767703880041
exRNA000130	0.01494060389664276
HDLC	0.00894756960044481
exRNA000165	0.007924693403588756
HB	0.004731223863923311
exRNA000077	0.0037955945616411167
BUN	0.0036872403911311314
exRNA000066	0.0
exRNA000084	0.0
exRNA000089	0.0
exRNA000091	0.0
exRNA000097	0.0
exRNA000098	0.0
exRNA000110	0.0
exRNA000061	0.0
exRNA000060	0.0
exRNA000059	0.0
exRNA000139	0.0
exRNA000058	0.0
exRNA000145	0.0
exRNA000161	0.0
exRNA000067	0.0
HBA1C	0.0
exRNA000164	0.0
exRNA000172	0.0
exRNA000822	0.0
exRNA000760	0.0
exRNA000565	0.0
exRNA000561	0.0
exRNA000408	0.0
exRNA000394	0.0
exRNA000348	0.0
exRNA000344	0.0
exRNA000326	0.0
exRNA000317	0.0
exRNA000312	0.0
exRNA000311	0.0
exRNA000290	0.0
exRNA000251	0.0
exRNA000250	0.0
exRNA000226	0.0
exRNA000211	0.0
exRNA000053	0.0
exRNA000173	0.0
exRNA000056	0.0
exRNA000040	0.0
exRNA000050	0.0
SCR	0.0
WBC	0.0
HCT	0.0
PLT	0.0
HSCRP	0.0
CKMB	0.0
UMACRR	0.0
UMA	0.0
UCR	0.0
EGFR	0.0
exRNA000047	0.0
TBIL	0.0
AST	0.0
ALT	0.0
FFA	0.0
LDLC	0.0
TC	0.0
TG	0.0
HOMA.IR	0.0
BMI	0.0
WACC	0.0
WEIGHT	0.0
DBP	0.0
exRNA000044	0.0
exRNA000043	0.0
exRNA000042	0.0
exRNA000036	0.0
exRNA000035	0.0
exRNA000029	0.0
exRNA000028	0.0
exRNA000027	0.0
exRNA000017	0.0
exRNA000016	0.0
exRNA000015	0.0
exRNA000009	0.0
exRNA000008	0.0
exRNA000004	0.0
Dose	0.0
Sex	0.0
SBP	0.0
exRNA000841	0.0
