fpr,tpr
0.0,0.0
0.0,0.02
0.0,0.03
0.0,0.06
0.0,0.07
0.00909090909090909,0.07
0.01818181818181818,0.08
0.01818181818181818,0.09
0.01818181818181818,0.12
0.01818181818181818,0.14
0.02727272727272727,0.14
0.02727272727272727,0.15
0.03636363636363636,0.16
0.045454545454545456,0.16
0.045454545454545456,0.17
0.045454545454545456,0.19
0.05454545454545454,0.2
0.05454545454545454,0.22
0.05454545454545454,0.24
0.06363636363636363,0.25
0.07272727272727272,0.25
0.07272727272727272,0.26
0.08181818181818182,0.26
0.08181818181818182,0.31
0.09090909090909091,0.31
0.09090909090909091,0.33
0.10909090909090909,0.33
0.10909090909090909,0.37
0.11818181818181818,0.37
0.11818181818181818,0.42
0.11818181818181818,0.44
0.12727272727272726,0.44
0.12727272727272726,0.47
0.16363636363636364,0.47
0.16363636363636364,0.51
0.17272727272727273,0.51
0.17272727272727273,0.52
0.2,0.52
0.2,0.56
0.20909090909090908,0.56
0.20909090909090908,0.57
0.21818181818181817,0.57
0.21818181818181817,0.6
0.22727272727272727,0.6
0.22727272727272727,0.62
0.23636363636363636,0.62
0.23636363636363636,0.64
0.24545454545454545,0.64
0.24545454545454545,0.65
0.2545454545454545,0.65
0.2545454545454545,0.68
0.2727272727272727,0.68
0.2727272727272727,0.7
0.2818181818181818,0.7
0.2818181818181818,0.71
0.3,0.71
0.3,0.73
0.3090909090909091,0.73
0.3090909090909091,0.74
0.3181818181818182,0.74
0.3181818181818182,0.76
0.32727272727272727,0.76
0.32727272727272727,0.77
0.33636363636363636,0.77
0.33636363636363636,0.78
0.34545454545454546,0.78
0.34545454545454546,0.8
0.4090909090909091,0.8
0.4090909090909091,0.81
0.43636363636363634,0.81
0.43636363636363634,0.82
0.45454545454545453,0.82
0.45454545454545453,0.84
0.509090909090909,0.84
0.509090909090909,0.86
0.5727272727272728,0.86
0.5727272727272728,0.88
0.6090909090909091,0.88
0.6090909090909091,0.89
0.6181818181818182,0.89
0.6363636363636364,0.89
0.6363636363636364,0.91
0.6545454545454545,0.91
0.6545454545454545,0.93
0.7,0.93
0.7,0.94
0.7272727272727273,0.94
0.7272727272727273,0.95
0.7454545454545455,0.95
0.7454545454545455,0.96
0.7909090909090909,0.96
0.8090909090909091,0.96
0.8181818181818182,0.96
0.8363636363636363,0.96
0.8454545454545455,0.96
0.8454545454545455,0.97
0.8818181818181818,0.97
0.8818181818181818,0.99
0.9,0.99
0.9090909090909091,1.0
0.9272727272727272,1.0
1.0,1.0
