feature_name	feature_importance
exRNA000673	0.10306887417063205
exRNA000005	0.09306971310891754
RBC	0.08667860882028686
PBG	0.08101913839838201
MS006	0.0719581535966001
HOMA.B	0.07059283234712527
FPG	0.07017658517077727
CLU	0.06854089569626932
GPX3	0.06804107765999264
MASP2	0.06739381520054885
Dose	0.06115365188608015
MP0151	0.0608624431603888
Age	0.05997696843053252
APOA2	0.05933959625643025
MP0193	0.058091506811423985
MP0174	0.055028855574717775
MP0050	0.05391424792817679
MP0076	0.05354612057030076
LYZ	0.05280091885820156
exRNA000017	0.051429861601809214
MP0141	0.04752097996880602
STXBP5	0.04599968549985036
RACK1	0.04477949354675065
GNA13	0.04472281990945927
MP0052	0.04367166385556494
TAGLN	0.04360347659170101
exRNA000311	0.04340605795312231
MP0113	0.04290135013684735
WBC	0.04288142158211186
VTN	0.04248556641700635
APOC2	0.04246328368683259
CAMP	0.04233563417402301
MP0115	0.04202569866082623
CPN1	0.04171688489753577
TF	0.04101810526974398
PON1	0.04037187332203206
MP0128	0.04009258640405845
PZP	0.03988796014476894
FCGBP	0.039288254431411436
MP0046	0.038973091550374206
MS030	0.03864852769673138
IGHV3.72	0.03856097584980705
AFM	0.03846914911414543
FGG	0.03813888767389161
EGFR	0.03779288635084291
RPS3	0.03761214106338999
APOH	0.03735154194237352
HBZ	0.037338644932023934
CFH	0.037149947247766164
exRNA000344	0.03694536324225853
MP0142	0.036645139931796016
C4BPA	0.03547787861167652
exRNA000130	0.035420383593002314
exRNA000565	0.034925321267327405
USO1	0.03490328850220252
SERPINA7	0.03454336085287945
GSN	0.03440927538649561
exRNA000183	0.034095288198150164
MP0098	0.034029266353476015
exRNA000067	0.0334946975787288
UCR	0.033256747257041704
HB	0.032909770752458566
exRNA000760	0.03278149726400845
MS013	0.03271612426990118
MP0073	0.0326052167292995
MP0126	0.03244667380636013
exRNA000047	0.031972174718968155
CHL1	0.03187821354849552
A2M	0.031826256080484304
MP0042	0.03180965659408419
IGLV3.19	0.03176365704124616
A1BG	0.031291291349147696
MS026	0.03113295527498046
MP0080	0.03081799231978476
HCT	0.030786753031724373
CKMB	0.03077075624914727
CFHR1	0.03067496653988706
MP0101	0.030404918609380566
MP0156	0.030198528761930472
ORM1	0.02998195085867377
HDLC	0.029726666768369776
GSTM2	0.028614907285274747
FINS	0.02854869423787944
exRNA000250	0.02831947528888394
ITIH4	0.027991988841026532
MP0062	0.02778468282588722
MS014	0.027762674322722655
MS004	0.027736267835035723
exRNA000251	0.027600289064283204
HBA1C	0.027472745756616516
MP0124	0.027366814036589214
SAA1	0.02718360218374539
MP0065	0.02717722359745617
MP0054	0.027101795180527823
MP0018	0.026890125951178546
TIMM44	0.02687782843372111
exRNA000077	0.026736951407210323
FBLN1	0.026712646492867104
GIT1	0.026651080469726356
exRNA000561	0.02651015771125009
MP0074	0.026427283149880427
exRNA000003	0.026338624927148765
MP0132	0.02630850421871787
MP0175	0.025913441581978145
WEIGHT	0.025897061683694694
MS010	0.025255136125780165
ML010	0.025243481046214378
MP0078	0.024649941796100104
exRNA000348	0.02460473631764219
RPIA	0.024601844830452683
C1QB	0.02456317299820155
MP0100	0.024426559929134714
HOMA.IR	0.024420109182276814
exRNA000004	0.02431032036008
MASP1	0.02421996433741378
CGREF1	0.02407325023629318
MP0015	0.023827146707133297
APOF	0.02356601072959511
ACACB	0.02351344914065861
exRNA000061	0.023447042557843398
exRNA000165	0.023302614892377737
ML015	0.023233361725358368
MP0030	0.02317711646052031
MP0009	0.023084249569166375
MP0086	0.022943730120759308
KNG1	0.022785090707459845
MS009	0.022753227788142327
MP0096	0.022457837755565348
BUN	0.022452019088646066
Sex	0.022409329841442803
HABP2	0.022380993461882985
BMI	0.022092501076522927
SERPINA3	0.022082566850547356
MP0024	0.022032243851828164
SLC4A2	0.021626177908525113
SCRIB	0.021616386067546525
CFHR3	0.02132260318924528
AKR1B1	0.021196441046092276
exRNA000044	0.021052178165893526
RCN1	0.02093077774093411
MS027	0.02065107280442257
MP0021	0.020545277016547556
exRNA000028	0.020437748514206648
HSPA9	0.02002268216926275
MP0134	0.019966761573292156
HSPG2	0.019775052784501472
SCIN	0.019591364311298674
APOD	0.01917324461605825
DBP	0.019112949441515797
MP0023	0.018993836871680898
GGT1	0.01885088621274297
MP0012	0.01878642437413848
G6PD	0.018682191005776803
NSF	0.018403585010864518
exRNA000394	0.018337393958055455
MP0077	0.01806650868147191
exRNA000098	0.017906760653414712
AGT	0.017634364381901347
exRNA000027	0.01749064192239049
SCR	0.017359400833329663
C9	0.017178419707116692
MP0022	0.016950763356699605
MS028	0.016683555974519048
HDHD2	0.01662255845821949
PIGR	0.016552412555148506
MP0027	0.016419189723979433
MP0019	0.015969728557368213
EPCAM	0.015876914056721602
UMACRR	0.01567698648639233
APOE	0.015670241420393274
PLT	0.015650412455898297
LTF	0.015436193453162111
MAN2A1	0.015329392996729552
PCYOX1	0.015160942206080443
APOA1	0.015088712477033103
FCGR3A	0.015035007785241214
MNDA	0.014941718315469825
MS016	0.014846261842937478
FGB	0.014568084618504819
PRSS1	0.014364829677997694
MS021	0.014242171896467419
PTPRG	0.014157109197941555
exRNA000408	0.014090388625007666
MP0112	0.014078871547761367
PI16	0.014076102234345678
PCBP2	0.01382731070968189
exRNA000211	0.013690190845337152
exRNA000145	0.013683823213469684
YWHAG	0.013678396609482994
SERPINA6	0.013677601510843558
IGFBP2	0.013668575551552391
exRNA000036	0.013619455598314801
exRNA000029	0.013567399112104894
MS023	0.013465629089136089
RMC1	0.013424467069909213
MP0085	0.013372518144618364
MP0044	0.01335038887438209
exRNA000290	0.013310059391201116
MP0140	0.01319041606522535
APCS	0.013157244596988141
F13A1	0.013049023785881264
PGLYRP2	0.012949533385194624
TBIL	0.012929945604038125
FGA	0.012497982870276472
ACACA	0.012469518010129176
MP0099	0.012266786140901759
C3	0.011971005760806135
CPB2	0.011965951112828178
C2	0.011926939638378119
MS011	0.011870049181252508
CLEC3B	0.01185660176876041
exRNA000226	0.011798143822095816
exRNA000058	0.011649054414681252
exRNA000059	0.011578828862695862
MP0025	0.011576657459051606
GSTM4	0.011569725919463718
VASP	0.011367586959707736
CELA3A	0.011361796132700185
FUBP3	0.011279668394170494
SYTL1	0.011126959381827128
MP0127	0.011084844471025326
APOB	0.010977096557433777
ZFYVE19	0.01081779273558599
exRNA000822	0.01074017970732367
MP0084	0.01072769820097144
AST	0.010700350966857158
PRB3	0.010646657827512578
MP0047	0.010346161491603573
MP0041	0.01030248320935434
WACC	0.010264826189710696
NAP1L1	0.01022017630996799
TC	0.010197931115282232
PRG4	0.010158269395770256
LPA	0.010122528537638826
IGHV4.39	0.009938447698519513
MP0005	0.00987164444947339
IGLV3.1	0.009666966182734618
AHSG	0.009584664239685868
exRNA000008	0.009364903266357036
MP0159	0.009151979591096272
APOM	0.009128139892497267
APOC3	0.00911318685154818
S100A9	0.008950108237497341
exRNA000040	0.008727711811326
exRNA000066	0.00872032918076089
exRNA000326	0.008699019537138194
MP0038	0.008520795877960256
MS003	0.008512046828373449
MP0164	0.008494568606537656
exRNA000172	0.008361616603670522
CRP	0.008352461506976692
exRNA000841	0.008292081645928774
exRNA000161	0.008258293087014014
MP0122	0.008117358803582109
FFA	0.008113919518649605
MP0082	0.007912400613257447
MP0034	0.007560506841052671
YWHAQ	0.007447073955193275
ML012	0.007320531880956979
exRNA000056	0.007060888324425234
CD163	0.007050095522830138
exRNA000164	0.006932238030915612
AMPD3	0.006890909886492828
MP0051	0.006881382869773878
ARID1A	0.006873319632138375
