feature_name	feature_importance
PBG	0.3431559660786213
exRNA000673	0.25898811021283746
RBC	0.2376603474411187
MP0174	0.23366619469102343
MS006	0.2275513330320836
exRNA000005	0.21508880331348737
HOMA.B	0.1857382263566072
MP0193	0.18475249334173247
MP0050	0.13920916156289653
MP0115	0.12077196584354297
HDLC	0.12036371613335214
exRNA000183	0.11510291308117529
exRNA000017	0.11139631545815196
Age	0.1055900033547344
MP0113	0.09700143205284278
Dose	0.09151331967572748
FPG	0.08553694494058825
MP0128	0.08501382317574001
MP0142	0.08444954730533288
MP0052	0.08121013714448296
exRNA000047	0.08019452839069957
MP0151	0.07994650650624897
MP0076	0.07874507224772878
WBC	0.0690688431635591
MP0124	0.06874158348350351
MP0141	0.06613571427439849
exRNA000067	0.06544939441588955
HOMA.IR	0.05578544446830433
MP0126	0.05040585748942043
exRNA000130	0.04961249320106279
BUN	0.04911736399500528
MP0030	0.04418598377257395
UMACRR	0.043377983097997806
CKMB	0.04316139234382428
MP0132	0.04129290050579797
exRNA000165	0.04085607775411837
MS026	0.04081976576590214
MP0044	0.0391794560772628
MP0175	0.0368505177948719
exRNA000760	0.03314224031466974
MP0023	0.03007596342437902
MS010	0.029472915040946384
MP0046	0.0288924558949594
exRNA000250	0.02282039212248846
exRNA000841	0.021653626406318047
exRNA000044	0.021356906113021858
MS009	0.02098301993086175
MP0065	0.019527467663154944
MP0078	0.019004848141134765
exRNA000003	0.018953762188265087
MP0009	0.018198540757421028
MP0033	0.01674587528357171
MP0156	0.01651848594153609
exRNA000059	0.016281918696060542
FINS	0.014017319823893199
exRNA000061	0.013513235620708887
MP0018	0.013210055910960914
exRNA000077	0.012847841088886128
MP0085	0.012477385753592557
UCR	0.00907781206080374
HSCRP	0.0075846668781547714
MP0118	0.007503850510827635
HB	0.007490522297688159
EGFR	0.007200196760160397
MP0140	0.006018184352878866
MP0062	0.004571139052508209
MS004	0.002791741705547454
MS029	0.0
exRNA000326	0.0
exRNA000317	0.0
MS028	0.0
exRNA000344	0.0
MS027	0.0
exRNA000312	0.0
exRNA000348	0.0
exRNA000394	0.0
exRNA000408	0.0
MS021	0.0
exRNA000561	0.0
MS013	0.0
MS005	0.0
MS007	0.0
MS008	0.0
exRNA000822	0.0
exRNA000565	0.0
MS011	0.0
MS014	0.0
MS024	0.0
MS015	0.0
MS016	0.0
MS017	0.0
MS019	0.0
exRNA000311	0.0
MS023	0.0
exRNA000004	0.0
exRNA000089	0.0
exRNA000290	0.0
MS001	0.0
exRNA000161	0.0
exRNA000050	0.0
exRNA000053	0.0
exRNA000056	0.0
exRNA000145	0.0
exRNA000058	0.0
exRNA000060	0.0
exRNA000172	0.0
exRNA000139	0.0
exRNA000110	0.0
exRNA000066	0.0
exRNA000098	0.0
exRNA000097	0.0
exRNA000091	0.0
exRNA000164	0.0
exRNA000043	0.0
exRNA000251	0.0
exRNA000016	0.0
exRNA000084	0.0
exRNA000008	0.0
exRNA000009	0.0
exRNA000226	0.0
exRNA000211	0.0
exRNA000015	0.0
exRNA000173	0.0
exRNA000042	0.0
exRNA000027	0.0
exRNA000028	0.0
exRNA000029	0.0
exRNA000035	0.0
exRNA000036	0.0
exRNA000040	0.0
MS002	0.0
HBA1C	0.0
MS030	0.0
MP0034	0.0
MP0015	0.0
MP0017	0.0
MP0019	0.0
MP0021	0.0
MP0022	0.0
MP0024	0.0
MP0025	0.0
MP0027	0.0
MP0035	0.0
MS025	0.0
MP0038	0.0
MP0041	0.0
MP0042	0.0
MP0045	0.0
MP0047	0.0
MP0051	0.0
MP0053	0.0
MP0054	0.0
MP0013	0.0
MP0012	0.0
MP0006	0.0
MP0005	0.0
TG	0.0
TC	0.0
LDLC	0.0
FFA	0.0
ALT	0.0
AST	0.0
TBIL	0.0
SCR	0.0
UMA	0.0
PLT	0.0
HCT	0.0
BMI	0.0
WACC	0.0
WEIGHT	0.0
DBP	0.0
SBP	0.0
Sex	0.0
MP0058	0.0
MP0066	0.0
MP0073	0.0
MP0150	0.0
MP0164	0.0
MP0203	0.0
ML006	0.0
ML017	0.0
ML018	0.0
ML010	0.0
ML011	0.0
ML012	0.0
ML013	0.0
ML014	0.0
ML015	0.0
ML016	0.0
ML019	0.0
MS003	0.0
MS018	0.0
MS020	0.0
MS022	0.0
MP0154	0.0
MP0135	0.0
MP0074	0.0
MP0134	0.0
MP0077	0.0
MP0080	0.0
MP0082	0.0
MP0084	0.0
MP0086	0.0
MP0096	0.0
MP0098	0.0
MP0099	0.0
MP0100	0.0
MP0101	0.0
MP0105	0.0
MP0106	0.0
MP0112	0.0
MP0116	0.0
MP0117	0.0
MP0122	0.0
MP0127	0.0
MP0159	0.0
