feature_name	feature_importance
PBG	0.31686901272766826
RBC	0.20856853070537307
HOMA.B	0.20432395972211526
FPG	0.19960846479615627
Age	0.1794169839562288
Dose	0.13917262221493576
HDLC	0.11622639980341741
HOMA.IR	0.09536032215188768
WBC	0.09173316094376432
EGFR	0.09121639673523263
BUN	0.07308775621501554
HB	0.06251875656620966
FINS	0.057232875533883884
DBP	0.04918602388243992
UCR	0.043034252661069146
CKMB	0.03834947920672134
ALT	0.034357422806489304
TC	0.03199601809245776
UMACRR	0.030844990126215055
HSCRP	0.024364884403243834
HBA1C	0.020660967521792323
BMI	0.019961997088389805
TBIL	0.01853124466868764
HCT	0.016335014026905948
FFA	0.008125776250958632
UMA	0.006194659020641183
PLT	0.0
SCR	0.0
LDLC	0.0
WACC	0.0
WEIGHT	0.0
AST	0.0
SBP	0.0
TG	0.0
Sex	0.0
