feature_name	feature_importance
MS006	0.289251158716412
PBG	0.27903730910671387
HOMA.B	0.23357106896476343
RBC	0.20597418699954237
exRNA000673	0.1796835955087925
MP0174	0.17797531701830543
exRNA000005	0.11582943588809862
exRNA000145	0.11454858038968345
MP0128	0.10075450969011467
MP0193	0.08589744398585451
MP0151	0.08379363821964639
MP0080	0.07601547339628952
CKMB	0.07090533579750127
exRNA000067	0.0690684608431699
MP0050	0.06899616662597341
Dose	0.06731276458992684
exRNA000165	0.06259505003468366
MP0113	0.05743899076232287
Age	0.0571152121241263
MP0086	0.05624932861752486
exRNA000183	0.054310419550620805
MP0132	0.05393902824022285
MP0006	0.053597930546410516
MP0009	0.051952251484326764
HDLC	0.05156734283884043
exRNA000053	0.0499110815176735
exRNA000017	0.04689067378231976
MP0142	0.045591980123521836
MP0052	0.040906861298142604
MP0141	0.03541897449728553
FPG	0.03407041011559148
MP0124	0.030799195397990912
MP0115	0.029811457471471948
MP0076	0.029217554702823566
WBC	0.02476402049488911
MP0126	0.023354979891067374
BUN	0.02315482643430649
MP0078	0.021260476986744426
exRNA000760	0.020398740819126196
exRNA000130	0.02002415532872188
exRNA000047	0.019551972184778624
MP0156	0.019526259634895255
MP0046	0.01952431402625397
MS026	0.019298075210022254
MP0098	0.019244950590852045
HOMA.IR	0.01894954248513586
MP0018	0.018874238454151992
MP0118	0.01851990820391367
MS010	0.018389547761923003
MS030	0.017766230619233526
exRNA000077	0.017262564222585385
exRNA000059	0.016862345380155994
Sex	0.016789445416283685
MP0044	0.016683454457949776
exRNA000003	0.01634675040057697
exRNA000211	0.015987287356988792
MP0030	0.01586091815091801
EGFR	0.01563863697340631
MP0015	0.015547821905450641
MP0023	0.01506098582906712
exRNA000344	0.014995285165881453
HBA1C	0.014652791142828005
exRNA000394	0.01451363897761133
MS014	0.014502004418130087
FINS	0.014292291681776974
HB	0.014287811539253324
ML010	0.014208345611089173
WEIGHT	0.014056266249786604
exRNA000250	0.013846556739812685
MP0042	0.013784494574394665
MS004	0.013362833080841829
HCT	0.013344833100301998
MP0073	0.013170626303175843
MP0033	0.01268679574411291
MS013	0.012660998306457375
MP0035	0.012369468933691011
ML015	0.012136356475458413
MP0065	0.012032012820761218
MS023	0.011914045677646737
MS009	0.011884371093576963
UCR	0.011767010109209854
exRNA000027	0.011647750332497219
exRNA000061	0.011639817774793584
exRNA000164	0.011580604480771686
exRNA000311	0.011579335603360837
exRNA000004	0.011538012661658
SCR	0.01146095424290257
exRNA000561	0.011365916909832572
MP0054	0.011275028044243336
MP0005	0.01121534620924965
MP0175	0.01113276516674047
MS027	0.010657339034344276
ALT	0.010557641462379159
exRNA000841	0.010137750926760584
exRNA000251	0.010055864578144046
MP0101	0.009982157517018272
exRNA000044	0.00989745195141511
MP0164	0.009896689767947612
MP0117	0.009871947994868808
MP0127	0.009867260767392454
MS028	0.009804886063119987
exRNA000098	0.009713288479311594
MP0085	0.0092683099935142
MP0024	0.00898877800203013
MP0100	0.008791796479412715
MP0012	0.008703923479474636
exRNA000043	0.008315834833516144
exRNA000029	0.008299979798694177
MP0062	0.008223907821375385
AST	0.007802171403352249
MP0041	0.007725209561572999
exRNA000348	0.007694777679605281
exRNA000290	0.007519956382081188
FFA	0.007276806943646015
MP0135	0.007276754420128272
MP0159	0.007038754199436037
SBP	0.006918566088330877
exRNA000172	0.0069089387382524955
MP0027	0.0068798926859751685
MP0096	0.006877143686288242
MP0150	0.006793819408716015
MS007	0.006732796575695063
UMACRR	0.006629390560644765
MP0019	0.006610677329884002
MP0047	0.006569614835274909
exRNA000822	0.0064589831118807995
exRNA000058	0.006458441706108209
exRNA000042	0.006317765414499961
MP0051	0.006297306598272957
MP0112	0.00621112815989722
MS029	0.006100675779370982
exRNA000050	0.005980388703748138
MP0022	0.005887774228738856
TC	0.005801551225695642
WACC	0.005658164001501362
MP0140	0.0054305778298231674
exRNA000173	0.005387841372721147
exRNA000565	0.00512275554268429
exRNA000060	0.00507322658383284
exRNA000317	0.005001786851036682
MS016	0.004897289319867783
DBP	0.004884223551575754
MP0053	0.004783071149950971
ML006	0.0046285628349605114
MP0017	0.004552663691349628
MS008	0.004378794891798495
TG	0.004223377165561422
MS011	0.004190692866578232
MP0066	0.004146595160941314
MP0084	0.0036770311123458977
MP0099	0.003569981504590468
MS001	0.0035661725905821117
HSCRP	0.0034438707127534196
exRNA000015	0.0034254535813479253
MS025	0.0034251164823349343
PLT	0.003420296471965584
exRNA000016	0.003415964596290693
ML012	0.003377938172951405
MS018	0.0033408078800357364
MS019	0.0033270637594788413
exRNA000312	0.003298065956118093
MS005	0.003286842682724053
exRNA000326	0.0032251248791869505
MP0034	0.0031610619507275142
exRNA000226	0.0030929528335871346
exRNA000056	0.0029827980092676917
exRNA000040	0.0028667108427482247
MS021	0.002767622508823644
MP0058	0.002747937953718683
exRNA000089	0.0027452909725233466
MP0106	0.002740896686035644
MP0013	0.00267654048583059
MP0082	0.0026642317690490857
exRNA000408	0.0024762565961516047
MP0134	0.002457337409554143
exRNA000110	0.0024486158705524243
exRNA000009	0.002444062499647456
ML019	0.0023802005241098153
MP0105	0.0023315011145998016
MS022	0.002280605857550374
exRNA000097	0.0022631303527738704
MP0038	0.002239389716058237
ML014	0.002201992356812287
exRNA000161	0.002074373632738458
MP0154	0.001959265595049902
MS020	0.00182243658189059
MP0074	0.0017700444164053606
MP0203	0.0017453848872959034
exRNA000091	0.0017176128895644237
MS024	0.0016238576451957454
exRNA000035	0.0015773471820568164
MS002	0.0014844605489625765
ML016	0.0014222347024057875
ML013	0.0014222347024057875
MS017	0.0014190007588138888
exRNA000084	0.0013496873822616657
MP0021	0.0013253745039561106
MP0116	0.001273980730162447
exRNA000028	0.0012527122585077692
ML018	0.0011701193938800486
exRNA000036	0.0011370692098809554
MP0045	0.0010823606606689942
MS015	0.0010484511897291594
TBIL	0.0010262466775191091
MP0025	0.0010202822110975658
MP0077	0.0007663834475309762
exRNA000139	0.0007541776235267214
MS003	0.0006341107966185307
ML011	0.0006200372038496826
MP0122	0.0003247357925511651
ML017	0.00023208580500590727
LDLC	0.000227239310451983
exRNA000008	0.00021092855788557626
exRNA000066	0.00015711769414558394
BMI	6.15522910339857e-05
UMA	2.2453662052848182e-05
