feature_name	feature_importance
GPX3	0.06628608408319335
APOA2	0.06469016972662105
APOC3	0.05484196386552059
ARID1A	0.04295483484082215
CFHR1	0.03536740908781277
FGG	0.009564934596267895
MASP2	0.006807908629208668
CLU	0.005127908019490499
RACK1	0.004520665004923748
USO1	0.003570392594943741
FGB	0.002990461818504268
SCRIB	0.002852572292592658
FBLN1	0.0015494930713582144
APOC2	0.0015315310907888454
SERPINA7	0.0012437472463811973
FGA	0.00042678320631209254
STXBP5	0.00024192794459005018
PON1	0.00017403011322391395
APCS	2.553377147234082e-05
GSN	2.171702173306775e-05
CAMP	1.7671839831849508e-05
AFM	1.6865017522145503e-05
APOH	1.6398891645117754e-05
SHBG	1.636840460093489e-05
RPS3	1.6192000177202525e-05
ACACB	1.57582126027272e-05
LYZ	1.5356946096461092e-05
AGT	1.5129064798448349e-05
GNA13	1.4341546076428122e-05
FCGBP	1.416323554949713e-05
A1BG	1.4081255680696805e-05
IGHV3.72	1.400848056688774e-05
SERPINC1	1.3943649484590906e-05
SERPINA6	1.2912556030999778e-05
CPB2	1.2755217134029399e-05
NXF1	1.2740809003087572e-05
CD163	1.262994953586134e-05
RCN1	1.2063938121865863e-05
YWHAG	1.1873546220497635e-05
F10	1.166582854696541e-05
C9	1.0905613117454166e-05
VTN	1.0731249284036878e-05
CPN1	1.068879098124982e-05
APOA4	1.0222196930068245e-05
CHL1	9.868172201882739e-06
APOA1	9.647179158786369e-06
IGHV4.39	9.528159783065952e-06
TAGLN	9.39515152522321e-06
IGLV3.19	9.354370163636897e-06
SCIN	9.306628783404442e-06
CFD	9.12638897328334e-06
PIGR	9.090331691082157e-06
GSTM2	9.023153195163025e-06
HBB	9.004757359923886e-06
MNDA	8.748264758927867e-06
ITIH4	8.670151852432406e-06
C1QB	8.271266643044496e-06
HABP2	8.055631851166683e-06
CFH	8.025375294586939e-06
IGFBP2	7.789969084786983e-06
APOE	7.531504042960602e-06
HSPA9	7.386129555073491e-06
SYTL1	7.358375631070657e-06
NSF	7.338820226432853e-06
NAP1L1	7.27056269109367e-06
C3	7.235840217284777e-06
IGLV3.1	7.227935074737344e-06
C8G	7.0427866068677485e-06
APOB	6.87442876072899e-06
CFHR2	6.6567828133381455e-06
C8B	6.604778491062437e-06
HBZ	6.577366622070038e-06
PRG4	6.147984395172957e-06
ACACA	6.124357962484919e-06
SLC35B2	6.11798448720544e-06
APOM	6.0349877322596425e-06
SLC4A2	5.771202645608524e-06
CGREF1	5.6408994553159195e-06
TF	5.625016626610123e-06
MX1	5.46534140147648e-06
PTPRG	5.424040667536485e-06
ADIPOQ	5.27231340899152e-06
PGLYRP2	5.266026003816371e-06
PRB3	5.253444709025443e-06
TIMM44	5.227686676878618e-06
EPCAM	5.14956592355717e-06
GMPS	5.113959657120462e-06
PCBP2	4.741621044002129e-06
S100A9	4.6995003592209255e-06
MAN2A1	4.584036940017039e-06
A2M	4.481576634371665e-06
FUBP3	4.371184926213228e-06
TUBA3D	4.335034344421817e-06
TUBA3C	4.335034344421817e-06
PI16	4.2441579697231995e-06
HDHD2	4.1892356747293946e-06
VASP	4.153751168427332e-06
G6PD	4.017060556228139e-06
GGT1	3.980390804094252e-06
SERPINA3	3.946318297646988e-06
LTF	3.882575658383154e-06
FCN3	3.865635839904386e-06
MASP1	3.833751203317779e-06
CRP	3.7600134891129227e-06
PPP1R9B	3.5972640160311913e-06
GSTM1	3.576888184840396e-06
APOD	3.570910497829637e-06
C2	3.5661223120467716e-06
KNG1	3.4852554425591034e-06
LPA	3.47302968440546e-06
FCGR3A	3.323839659084614e-06
APOC1	3.264084406582376e-06
CELA3A	3.2464435760391033e-06
PZP	3.21359343671912e-06
GIT1	3.1923126545425452e-06
CLEC3B	3.0628377474125516e-06
TUBA8	2.977382991121699e-06
C4BPA	2.926316306708971e-06
RPIA	2.8998810935636787e-06
L2HGDH	2.7517076531931586e-06
TUBA1C	2.7240013752239467e-06
CPB1	2.6807035601075374e-06
AMPD3	2.58034441394885e-06
YWHAH	2.579716729782666e-06
YWHAQ	2.299058035853648e-06
AHSG	2.2865785289539292e-06
TTC37	2.1589752829796265e-06
SAA1	2.1341618344200878e-06
AKR1A1	2.1220854507176723e-06
ALDOB	1.952703721397198e-06
ORM1	1.7990525947897388e-06
METTL18	1.6758117336239285e-06
HSPG2	1.6749233638720456e-06
AKR1B1	1.6668781061124664e-06
TUBA4A	1.5926551765050663e-06
CP	1.497076419804287e-06
PCYOX1	1.2237167372228858e-06
APOF	1.194848372109382e-06
MFGE8	1.1473888532230214e-06
F13A1	1.050251638747754e-06
TUBA1A	1.0497438013895789e-06
TMEM256	8.709248126298304e-07
SFN	8.701133190192178e-07
ZFYVE19	8.67936834032627e-07
GSTM4	7.660933845235142e-07
PRSS1	6.84340169341032e-07
FETUB	6.535571162351417e-07
RMC1	6.477861493162067e-07
TUBA1B	6.037190809268966e-07
CFHR3	2.6946844145112043e-07
SPG11	1.2327216666404843e-07
S100A8	4.180269773283254e-08
