feature_name	feature_importance
PBG	0.4908312083505462
MP0174	0.35621205995591015
RBC	0.35366877687444886
MP0193	0.3329999895555695
MP0115	0.29967318229401757
MS006	0.2653368354670899
HOMA.B	0.21256526822592836
HDLC	0.20734491611885122
MP0128	0.1863966509119641
Age	0.17983298332137523
MP0076	0.1795738364266745
Dose	0.1744541887246579
MP0050	0.17093216984403453
MP0052	0.15154498351935083
MP0156	0.1455411838060395
MP0113	0.14062497329063786
WBC	0.12991322824109214
HOMA.IR	0.1279408314662409
UMACRR	0.12043373100327018
MP0140	0.11692282317573113
MP0124	0.11399809417098351
MP0030	0.11076630214197025
MP0044	0.10773236730438092
MP0142	0.10656529680866507
MP0175	0.09110876670829124
MP0118	0.08957989676668479
MS026	0.08434370832976698
BUN	0.07757159358980616
MP0078	0.07085443489472179
MP0046	0.06886833904159544
MP0151	0.06776582465672855
MP0132	0.06775526629603446
MP0085	0.06721179648522989
CKMB	0.06225315451702647
MP0013	0.05955950574799964
MS013	0.05932044982069021
MP0141	0.05812870475099298
MP0023	0.05783737622455574
FPG	0.044006909888197346
MP0073	0.043807359760548524
WEIGHT	0.04352463317477981
DBP	0.042997934028248634
MS010	0.04038654529300608
MP0080	0.03834520241040304
MS009	0.034840103330379894
MS004	0.03213373038030203
MP0018	0.029254307074765173
HB	0.027743386594941813
MP0062	0.021083829603840136
HSCRP	0.020354679672061872
MP0009	0.019488587459866716
MP0035	0.013858698969851608
MP0005	0.011561404838215142
MP0126	0.007000645509086318
UCR	0.006323655496538715
MP0065	0.0034902363766759164
MP0135	0.0
MP0134	0.0
ML006	0.0
ML017	0.0
MP0203	0.0
MP0154	0.0
MP0164	0.0
MP0159	0.0
MP0150	0.0
HBA1C	0.0
ML018	0.0
MS005	0.0
MS028	0.0
MS027	0.0
MS024	0.0
MS023	0.0
MS021	0.0
MS019	0.0
MS017	0.0
MS016	0.0
MS015	0.0
MS014	0.0
MS011	0.0
MS008	0.0
MS007	0.0
MS002	0.0
ML010	0.0
MS001	0.0
MS030	0.0
MS025	0.0
MS022	0.0
MS018	0.0
MS003	0.0
ML019	0.0
ML016	0.0
ML015	0.0
ML014	0.0
ML013	0.0
ML012	0.0
ML011	0.0
MS020	0.0
MP0084	0.0
MP0127	0.0
MP0122	0.0
MP0024	0.0
MP0022	0.0
MP0021	0.0
MP0019	0.0
MP0017	0.0
MP0015	0.0
MP0012	0.0
MP0006	0.0
Sex	0.0
SBP	0.0
WACC	0.0
BMI	0.0
HCT	0.0
PLT	0.0
UMA	0.0
SCR	0.0
EGFR	0.0
TBIL	0.0
AST	0.0
ALT	0.0
FFA	0.0
LDLC	0.0
TC	0.0
TG	0.0
FINS	0.0
MP0025	0.0
MP0027	0.0
MP0033	0.0
MP0082	0.0
MP0117	0.0
MP0116	0.0
MP0112	0.0
MP0106	0.0
MP0105	0.0
MP0101	0.0
MP0100	0.0
MP0099	0.0
MP0098	0.0
MP0096	0.0
MP0086	0.0
MP0077	0.0
MP0034	0.0
MP0074	0.0
MP0066	0.0
MP0058	0.0
MP0054	0.0
MP0053	0.0
MP0051	0.0
MP0047	0.0
MP0045	0.0
MP0042	0.0
MP0041	0.0
MP0038	0.0
MS029	0.0
