feature_name	feature_importance
PBG	0.492107796979816
exRNA000673	0.3184109824478752
MP0174	0.29595929680606065
RBC	0.29463143257153607
HOMA.B	0.26970265195009996
MASP2	0.25462257615420714
MP0050	0.20451804496896586
MS006	0.19147736766552415
exRNA000005	0.1869285986172849
MP0193	0.18193982570097106
APOA2	0.16421713299865537
Age	0.15703731143449348
GPX3	0.14663507917879515
LYZ	0.14278792487180628
MP0151	0.12282899962264994
HDLC	0.12259990183791718
GNA13	0.11602165806141883
FGG	0.11094389779609239
MP0141	0.11007322831508136
PZP	0.09946945476532203
MP0128	0.09946158468130138
CPN1	0.09845769430509375
CLU	0.0922216197356682
exRNA000047	0.09205409190810089
WBC	0.08983641443751807
MP0076	0.08841045289861803
PON1	0.0858734213373648
MP0113	0.08421955106924582
exRNA000183	0.08171098866793004
RACK1	0.07571389691699706
MP0052	0.0660195093115073
MP0142	0.0623846705961116
exRNA000067	0.061503679570803084
SERPINA7	0.05974522500159501
APOH	0.05335283010276609
Dose	0.050472833669787685
MP0115	0.04968853540328441
CFH	0.04674240114541164
USO1	0.04673319319362257
APOC2	0.04600116675168182
MP0023	0.04225471717409778
ORM1	0.04115225889887993
MP0044	0.0378281879109637
CFHR1	0.03627657018465642
GSTM2	0.035266237823399785
VTN	0.034159127653962534
C4BPA	0.031236305997504713
exRNA000017	0.030128426466649885
CKMB	0.029106857808960333
A1BG	0.023532209713833935
MS010	0.023096468475842315
MP0046	0.021984740931991018
CAMP	0.020527058265964807
C1QB	0.02036717882356638
CHL1	0.019499098338807443
VASP	0.017455594578801286
MP0132	0.014906381528694577
FCGBP	0.012179025956156967
MP0126	0.004961935676370187
HOMA.IR	0.003991146864493753
IGFBP2	0.0
FGA	0.0
FETUB	0.0
FGB	0.0
PRB3	0.0
PIGR	0.0
PI16	0.0
PGLYRP2	0.0
FUBP3	0.0
PPP1R9B	0.0
FCN3	0.0
PRG4	0.0
PCYOX1	0.0
FCGR3A	0.0
PRSS1	0.0
PTPRG	0.0
FBLN1	0.0
RCN1	0.0
F13A1	0.0
RMC1	0.0
RPIA	0.0
RPS3	0.0
F10	0.0
S100A8	0.0
S100A9	0.0
G6PD	0.0
GGT1	0.0
PCBP2	0.0
IGHV3.72	0.0
IGHV4.39	0.0
HSPG2	0.0
IGLV3.1	0.0
HSPA9	0.0
IGLV3.19	0.0
SCIN	0.0
ITIH4	0.0
HDHD2	0.0
KNG1	0.0
HBZ	0.0
L2HGDH	0.0
LPA	0.0
LTF	0.0
HBB	0.0
HABP2	0.0
GSTM4	0.0
MAN2A1	0.0
MASP1	0.0
GSTM1	0.0
GSN	0.0
METTL18	0.0
MFGE8	0.0
MNDA	0.0
MX1	0.0
NAP1L1	0.0
NSF	0.0
NXF1	0.0
GMPS	0.0
GIT1	0.0
SAA1	0.0
HBA1C	0.0
SCRIB	0.0
exRNA000165	0.0
exRNA000161	0.0
exRNA000145	0.0
exRNA000139	0.0
exRNA000130	0.0
exRNA000110	0.0
exRNA000098	0.0
exRNA000097	0.0
exRNA000091	0.0
exRNA000089	0.0
exRNA000084	0.0
exRNA000077	0.0
exRNA000066	0.0
exRNA000061	0.0
exRNA000060	0.0
exRNA000059	0.0
exRNA000058	0.0
exRNA000056	0.0
exRNA000164	0.0
exRNA000172	0.0
exRNA000050	0.0
exRNA000173	0.0
exRNA000822	0.0
exRNA000760	0.0
exRNA000565	0.0
exRNA000561	0.0
exRNA000408	0.0
exRNA000394	0.0
exRNA000348	0.0
exRNA000344	0.0
exRNA000326	0.0
exRNA000317	0.0
exRNA000312	0.0
exRNA000311	0.0
exRNA000290	0.0
exRNA000251	0.0
exRNA000250	0.0
exRNA000226	0.0
exRNA000211	0.0
exRNA000053	0.0
exRNA000044	0.0
SERPINA3	0.0
TUBA3D	0.0
TUBA1C	0.0
TUBA1B	0.0
TUBA1A	0.0
TTC37	0.0
TMEM256	0.0
TIMM44	0.0
TF	0.0
EPCAM	0.0
SYTL1	0.0
STXBP5	0.0
SPG11	0.0
SLC4A2	0.0
SLC35B2	0.0
SHBG	0.0
SFN	0.0
SERPINC1	0.0
SERPINA6	0.0
TUBA3C	0.0
TUBA4A	0.0
exRNA000043	0.0
TUBA8	0.0
exRNA000042	0.0
exRNA000040	0.0
exRNA000036	0.0
exRNA000035	0.0
exRNA000029	0.0
exRNA000028	0.0
exRNA000027	0.0
exRNA000016	0.0
exRNA000015	0.0
exRNA000009	0.0
exRNA000008	0.0
exRNA000004	0.0
exRNA000003	0.0
ZFYVE19	0.0
YWHAQ	0.0
YWHAH	0.0
YWHAG	0.0
TAGLN	0.0
C8B	0.0
CRP	0.0
MP0082	0.0
