fpr,tpr
0.0,0.0
0.0,0.05
0.0,0.12
0.01818181818181818,0.18
0.01818181818181818,0.21
0.1,0.34
0.10909090909090909,0.36
0.10909090909090909,0.44
0.11818181818181818,0.44
0.11818181818181818,0.47
0.17272727272727273,0.57
0.18181818181818182,0.58
0.19090909090909092,0.58
0.21818181818181817,0.6
0.22727272727272727,0.62
0.23636363636363636,0.62
0.2545454545454545,0.63
0.2636363636363636,0.64
0.2909090909090909,0.69
0.3090909090909091,0.69
0.3181818181818182,0.69
0.34545454545454546,0.69
0.35454545454545455,0.69
0.36363636363636365,0.72
0.37272727272727274,0.72
0.37272727272727274,0.74
0.39090909090909093,0.76
0.4,0.76
0.4,0.77
0.4090909090909091,0.77
0.4090909090909091,0.8
0.41818181818181815,0.8
0.43636363636363634,0.8
0.45454545454545453,0.8
0.45454545454545453,0.81
0.4636363636363636,0.82
0.4727272727272727,0.82
0.4727272727272727,0.83
0.4818181818181818,0.83
0.4909090909090909,0.84
0.4909090909090909,0.85
0.5,0.87
0.5181818181818182,0.87
0.5181818181818182,0.88
0.5363636363636364,0.88
0.5363636363636364,0.89
0.5454545454545454,0.89
0.5818181818181818,0.91
0.5909090909090909,0.92
0.6,0.92
0.6363636363636364,0.94
0.6818181818181818,0.94
0.7,0.94
0.7,0.95
0.7181818181818181,0.96
0.7454545454545455,0.96
0.7909090909090909,0.97
0.8,0.97
0.8272727272727273,0.98
0.8818181818181818,0.98
0.9090909090909091,0.98
0.9272727272727272,0.98
1.0,1.0
