feature_name	feature_importance
PBG	0.2530902600967792
FPG	0.21461608641603044
RBC	0.17235708431945193
HOMA.B	0.152377342869347
Dose	0.14160045262017218
Age	0.14122570487063066
HDLC	0.10398488286128275
BUN	0.10293233895175799
EGFR	0.08776213214281314
WBC	0.07399739845795304
UCR	0.07287561943611393
HB	0.06998982400612262
TC	0.06119915387999091
FINS	0.05662730121046104
HCT	0.056354720740082416
HOMA.IR	0.055511011028399046
BMI	0.04603657709768335
ALT	0.04581919409625503
CKMB	0.04206522015723164
UMACRR	0.039793111778266936
Sex	0.03880320019546019
HSCRP	0.036393871382316055
UMA	0.03374298866370736
HBA1C	0.03091593689090572
PLT	0.024784969406005317
SBP	0.021871017287730936
DBP	0.019347266929812628
WEIGHT	0.018159871766314735
AST	0.01682448581490511
LDLC	0.014100989980140735
SCR	0.014027681912026928
TG	0.013154878712044283
FFA	0.010646973270872079
WACC	0.00017664886818539977
TBIL	3.668299350876728e-05
