feature_name	feature_importance
PBG	0.47612232
FPG	0.43316093
HOMA.B	0.4226678
exRNA000673	0.3961656
GPX3	0.3927346
LYZ	0.3379215
APOA2	0.32754037
exRNA000145	0.31959438
RBC	0.27489933
MASP2	0.25302127
exRNA000098	0.22692025
CPN1	0.20545258
CHL1	0.18295509
GSTM4	0.15767738
ARID1A	0.1418531
PON1	0.13725297
CLU	0.13360237
WBC	0.12948382
GGT1	0.12309668
exRNA000165	0.118518546
AFM	0.11533185
exRNA000211	0.111952126
IGFBP2	0.10929385
FGG	0.10496636
PPP1R9B	0.10249261
USO1	0.101878755
IGLV3.1	0.09862166
exRNA000053	0.0980864
GSN	0.09519205
Age	0.09414286
RACK1	0.09315209
PIGR	0.09187541
APOB	0.08974048
exRNA000056	0.08687039
GNA13	0.08629509
exRNA000003	0.085941486
ORM1	0.0853791
SCIN	0.084575295
HBZ	0.08421305
APOC3	0.08375721
NAP1L1	0.08082723
PRB3	0.08055362
exRNA000008	0.0794038
G6PD	0.07881507
exRNA000017	0.07716779
exRNA000047	0.07676089
exRNA000042	0.07664822
CFHR2	0.07661538
CFHR1	0.076609895
ITIH4	0.07538483
KNG1	0.07454705
SFN	0.074388355
exRNA000130	0.07437501
YWHAQ	0.07067551
exRNA000040	0.07042289
exRNA000009	0.06804998
C8G	0.0665698
exRNA000050	0.06624256
AKR1B1	0.06568284
GSTM2	0.06544487
FFA	0.06461876
UMACRR	0.06449895
UMA	0.060956318
ACACB	0.057183202
CFD	0.057068348
L2HGDH	0.055720046
CKMB	0.05546002
NXF1	0.047334086
AHSG	0.04706636
RMC1	0.045984194
exRNA000183	0.045848783
RPS3	0.045800626
VASP	0.043211468
HDHD2	0.04211226
SERPINA7	0.041521944
CPB2	0.039619956
MASP1	0.039513737
BMI	0.03946808
A1BG	0.03862117
SCR	0.036801904
FETUB	0.03671751
TIMM44	0.03651325
BUN	0.03586524
EPCAM	0.0340416
SYTL1	0.030167894
UCR	0.028380789
FUBP3	0.027953975
APOC2	0.027354145
GMPS	0.025782108
SAA1	0.025082484
exRNA000027	0.02485744
ALT	0.023035455
F13A1	0.022444723
exRNA000067	0.020102927
AGT	0.019445162
C9	0.018298458
TUBA3D	0.0
TUBA1A	0.0
TUBA4A	0.0
TUBA3C	0.0
exRNA000822	0.0
SHBG	0.0
TUBA8	0.0
exRNA000344	0.0
exRNA000326	0.0
exRNA000317	0.0
TUBA1C	0.0
TUBA1B	0.0
exRNA000760	0.0
TTC37	0.0
exRNA000348	0.0
exRNA000394	0.0
TMEM256	0.0
exRNA000312	0.0
TF	0.0
TAGLN	0.0
exRNA000408	0.0
SLC35B2	0.0
exRNA000561	0.0
STXBP5	0.0
exRNA000565	0.0
SPG11	0.0
SLC4A2	0.0
exRNA000058	0.0
YWHAG	0.0
exRNA000311	0.0
exRNA000029	0.0
exRNA000084	0.0
exRNA000077	0.0
exRNA000015	0.0
exRNA000016	0.0
exRNA000066	0.0
exRNA000028	0.0
exRNA000035	0.0
exRNA000091	0.0
exRNA000036	0.0
exRNA000061	0.0
exRNA000060	0.0
SERPINC1	0.0
exRNA000059	0.0
exRNA000043	0.0
exRNA000089	0.0
exRNA000097	0.0
VTN	0.0
exRNA000173	0.0
exRNA000290	0.0
exRNA000251	0.0
exRNA000250	0.0
exRNA000044	0.0
exRNA000226	0.0
YWHAH	0.0
ZFYVE19	0.0
exRNA000110	0.0
exRNA000172	0.0
exRNA000164	0.0
exRNA000004	0.0
exRNA000005	0.0
exRNA000161	0.0
exRNA000139	0.0
HBA1C	0.0
MAN2A1	0.0
SERPINA6	0.0
SERPINA3	0.0
AKR1A1	0.0
ALDOB	0.0
AMPD3	0.0
APCS	0.0
APOA1	0.0
APOA4	0.0
APOC1	0.0
APOD	0.0
APOE	0.0
APOF	0.0
APOH	0.0
APOM	0.0
C1QB	0.0
C2	0.0
C3	0.0
C4BPA	0.0
C8B	0.0
CAMP	0.0
CD163	0.0
ADIPOQ	0.0
ACACA	0.0
A2M	0.0
EGFR	0.0
FINS	0.0
HOMA.IR	0.0
TG	0.0
TC	0.0
LDLC	0.0
HDLC	0.0
AST	0.0
TBIL	0.0
HSCRP	0.0
Dose	0.0
HB	0.0
PLT	0.0
HCT	0.0
WACC	0.0
WEIGHT	0.0
DBP	0.0
SBP	0.0
Sex	0.0
CELA3A	0.0
CFH	0.0
CFHR3	0.0
PI16	0.0
METTL18	0.0
MFGE8	0.0
MNDA	0.0
MX1	0.0
NSF	0.0
PCBP2	0.0
PCYOX1	0.0
PGLYRP2	0.0
PRG4	0.0
LPA	0.0
PRSS1	0.0
PTPRG	0.0
PZP	0.0
RCN1	0.0
RPIA	0.0
S100A8	0.0
S100A9	0.0
SCRIB	0.0
LTF	0.0
IGLV3.19	0.0
CGREF1	0.0
FCN3	0.0
CLEC3B	0.0
CP	0.0
CPB1	0.0
CRP	0.0
F10	0.0
FBLN1	0.0
FCGBP	0.0
FCGR3A	0.0
FGA	0.0
IGHV4.39	0.0
FGB	0.0
GIT1	0.0
GSTM1	0.0
HABP2	0.0
HBB	0.0
HSPA9	0.0
HSPG2	0.0
IGHV3.72	0.0
exRNA000841	0.0
