feature_name	feature_importance
PBG	7.749664911245452e-05
FPG	7.219763501346874e-05
exRNA000673	7.042684089245313e-05
HOMA.B	5.457276009905961e-05
RBC	5.168545550665656e-05
exRNA000005	4.6825960033537876e-05
GPX3	4.3743238032288024e-05
APOA2	4.326256017534164e-05
MASP2	4.0533970528542664e-05
exRNA000003	3.922543390957624e-05
HBA1C	3.903288295487906e-05
Age	3.83141154995465e-05
CLU	3.806720469157212e-05
APCS	3.626752251700709e-05
exRNA000183	3.6187780521003526e-05
HB	3.56890604703234e-05
USO1	3.459037688158221e-05
FGG	3.452912573548501e-05
exRNA000394	3.4505915792344975e-05
APOC3	3.389241964176334e-05
APOC2	3.297132309384438e-05
STXBP5	3.165983674979275e-05
GSN	3.1242657502094704e-05
exRNA000067	3.104718508330946e-05
FGB	2.975880775359251e-05
A1BG	2.951419277730923e-05
CAMP	2.950498253445438e-05
FBLN1	2.9389152811435078e-05
exRNA000130	2.894601498512255e-05
FINS	2.8221414525614354e-05
RPS3	2.7583510473063766e-05
EGFR	2.7367463671872714e-05
SERPINA7	2.7045789488426337e-05
HCT	2.683450501951899e-05
PON1	2.6769721301827664e-05
AFM	2.6680956337723478e-05
APOH	2.6237558440356542e-05
HDLC	2.623319453793154e-05
exRNA000091	2.554391112778246e-05
BMI	2.51263439894071e-05
FGA	2.5061632406701987e-05
LYZ	2.5016906456652695e-05
RACK1	2.4657972644372983e-05
BUN	2.456391183491179e-05
SCRIB	2.4459702733764623e-05
GNA13	2.422297055873968e-05
exRNA000348	2.3707596055636877e-05
exRNA000165	2.3640720082010855e-05
exRNA000059	2.3565288933436464e-05
AGT	2.3384468263265096e-05
exRNA000097	2.3168515770586348e-05
exRNA000290	2.311968730446415e-05
CPB2	2.2850183112304992e-05
exRNA000061	2.2779187895763757e-05
exRNA000077	2.2674833065979715e-05
NXF1	2.1963091112025334e-05
FCGBP	2.1734186429857868e-05
ACACB	2.159209996474226e-05
exRNA000250	2.136131525411705e-05
SERPINC1	2.0982442501991768e-05
exRNA000027	2.0828172614358382e-05
SHBG	2.0791698549016562e-05
exRNA000047	2.074325599531773e-05
CFH	2.0613805000576687e-05
APOA4	2.061255656574751e-05
CFHR1	2.047413399165364e-05
exRNA000017	2.0198280922527982e-05
Dose	1.988163293510957e-05
CPN1	1.9154072872128487e-05
PIGR	1.913378194192778e-05
IGHV3.72	1.8815418945027668e-05
RCN1	1.810421003348115e-05
C1QB	1.7576453867386412e-05
F10	1.751690019339779e-05
SERPINA6	1.7459002546851524e-05
exRNA000161	1.72098511032812e-05
TC	1.6918525534117763e-05
CD163	1.6774863488949494e-05
exRNA000565	1.6508417909285487e-05
exRNA000145	1.649769109914915e-05
VTN	1.6440573205341673e-05
APOA1	1.629411611100083e-05
exRNA000317	1.6258243552520673e-05
YWHAG	1.6234027994395895e-05
ITIH4	1.6164123827593188e-05
IGFBP2	1.5975589297380264e-05
exRNA000841	1.5789655568185194e-05
CFD	1.5689858973895276e-05
TF	1.5444677479813863e-05
WBC	1.542492196192692e-05
IGLV3.19	1.5305105537944574e-05
exRNA000344	1.5291316504933552e-05
TAGLN	1.5248731353725689e-05
HOMA.IR	1.5064671060891771e-05
exRNA000040	1.4943767765464783e-05
UCR	1.4771168913395212e-05
SCIN	1.4648660517149057e-05
NSF	1.4336731831555452e-05
exRNA000561	1.3535948661827777e-05
APOE	1.350141275906832e-05
GSTM2	1.3467141545935017e-05
exRNA000084	1.3351853867275666e-05
PRB3	1.3279505560566637e-05
exRNA000043	1.2906106368964594e-05
exRNA000044	1.2779953098788375e-05
C9	1.2738928864645159e-05
SYTL1	1.2708355732537051e-05
HBB	1.268970368703957e-05
WEIGHT	1.2504899933920513e-05
AST	1.2465441610772702e-05
exRNA000004	1.243467118377449e-05
IGHV4.39	1.2337984011371908e-05
ALT	1.2230548607774565e-05
HBZ	1.2077170302238813e-05
HSPA9	1.2065609417303863e-05
WACC	1.204052673724883e-05
MAN2A1	1.1972240537647068e-05
exRNA000053	1.1902791797535624e-05
C8G	1.188949854778754e-05
TG	1.1752989125900805e-05
CP	1.1749901720621281e-05
HABP2	1.1615696716933886e-05
CHL1	1.1595109187984443e-05
SERPINA3	1.1477070188094927e-05
PI16	1.1330165731050494e-05
exRNA000312	1.1329004886066e-05
Sex	1.1293514997974145e-05
MNDA	1.1237256063770447e-05
