feature_name	feature_importance
exRNA000673	8.438574575268056e-05
exRNA000005	5.217197719786588e-05
exRNA000394	4.982169459807132e-05
exRNA000003	4.7136598792094675e-05
exRNA000183	4.4964155597283286e-05
exRNA000348	4.278717657112749e-05
exRNA000290	3.681475039006975e-05
exRNA000067	3.603340090092597e-05
exRNA000130	3.577565966051576e-05
exRNA000165	3.369505296217628e-05
exRNA000061	3.3416840550749893e-05
exRNA000017	3.12999426270451e-05
exRNA000091	3.09196324443046e-05
exRNA000097	2.925197452973385e-05
exRNA000077	2.8442777238419397e-05
exRNA000027	2.6941477339066696e-05
exRNA000056	2.2357719464085198e-05
exRNA000044	2.199243479261871e-05
exRNA000565	2.1349047660996086e-05
exRNA000161	2.1322147425580536e-05
exRNA000066	2.0689781957380403e-05
exRNA000047	1.881875405706791e-05
exRNA000344	1.8586929948381292e-05
exRNA000250	1.737822104657715e-05
exRNA000040	1.6753648646340874e-05
exRNA000145	1.6196210668421786e-05
exRNA000311	1.4656118046890051e-05
exRNA000841	1.4176811983444411e-05
exRNA000317	1.4050699657553115e-05
exRNA000408	1.2578429389355766e-05
exRNA000084	1.1412497086960842e-05
exRNA000015	1.1334539848649982e-05
exRNA000004	1.1259150841004765e-05
exRNA000059	1.113714278642581e-05
exRNA000060	1.0179054003481732e-05
exRNA000042	1.001392748472999e-05
exRNA000760	9.927791244635824e-06
exRNA000035	9.652563868756137e-06
exRNA000089	9.461833666919863e-06
exRNA000016	9.122831512453813e-06
exRNA000043	9.084982022618711e-06
exRNA000029	8.960660025680634e-06
exRNA000050	8.28787902270502e-06
exRNA000173	8.036355350056649e-06
exRNA000561	8.020252608206147e-06
exRNA000172	7.915276492903554e-06
exRNA000226	7.4398662968464996e-06
exRNA000053	7.140181354641339e-06
exRNA000036	6.280812539976507e-06
exRNA000110	4.95516584769933e-06
exRNA000058	4.371062340854951e-06
exRNA000098	4.188023222364412e-06
exRNA000028	4.087580216529233e-06
exRNA000251	4.041624596651976e-06
exRNA000326	3.5269803577311314e-06
exRNA000164	3.4871796358103054e-06
exRNA000312	1.0599353417412597e-06
exRNA000822	9.970162535741695e-07
exRNA000211	8.366830167955565e-07
exRNA000139	8.237350674683581e-07
exRNA000009	8.555250528009801e-08
exRNA000008	7.990379518036207e-08
