feature_name	feature_importance
HOMA.B	0.52131987
PBG	0.42623714
APOA2	0.20800419
GPX3	0.1946653
RBC	0.16613129
FPG	0.16110526
PON1	0.15321615
IGFBP2	0.12733738
MASP2	0.11197517
ARID1A	0.08524951
APOB	0.07847111
USO1	0.073554225
APOC3	0.07327479
Age	0.072638646
APOH	0.06700424
CKMB	0.06501795
WBC	0.06424925
IGHV3.72	0.06340858
HABP2	0.061326455
NXF1	0.06023086
C1QB	0.060025666
ORM1	0.058678363
C8G	0.05688145
LYZ	0.055402674
CPN1	0.055341396
CFHR1	0.052928306
F10	0.051628612
CFH	0.049423553
PGLYRP2	0.047665037
HBZ	0.044420198
AFM	0.042962056
YWHAQ	0.040821742
FINS	0.040044934
HCT	0.039393183
C4BPA	0.037985746
NAP1L1	0.037950475
AGT	0.0378604
APOC2	0.037858367
GSN	0.03527486
RPS3	0.033619057
ITIH4	0.032947622
MNDA	0.032935806
L2HGDH	0.03200516
FGG	0.0315243
GNA13	0.030718409
FGA	0.03016641
METTL18	0.027880419
SCR	0.027691197
IGLV3.19	0.0267276
CGREF1	0.02669187
SCIN	0.026295962
SFN	0.025359832
TAGLN	0.02505864
GSTM1	0.024739183
ZFYVE19	0.024473086
HSPG2	0.022548167
FBLN1	0.022094786
EGFR	0.021998927
GMPS	0.021681482
UMA	0.021548176
S100A9	0.021474259
APOE	0.020781292
FCGBP	0.020334803
SCRIB	0.020232968
APOA1	0.020218676
IGLV3.1	0.020206444
CHL1	0.019790962
CRP	0.018848823
HDHD2	0.018840972
F13A1	0.018512687
AKR1A1	0.017872248
C8B	0.017354144
CP	0.017023584
CLU	0.016861629
RACK1	0.0168167
MAN2A1	0.016559271
PPP1R9B	0.016197585
CFHR3	0.015967814
GGT1	0.015922911
PZP	0.0158107
SERPINA7	0.015512911
FETUB	0.015202728
FUBP3	0.015032576
APCS	0.014948211
CPB2	0.0149203595
FGB	0.014823753
SERPINA6	0.014421991
STXBP5	0.01440147
UMACRR	0.01437525
PLT	0.014275783
RCN1	0.014239133
HB	0.01404813
PIGR	0.014043771
RPIA	0.013281853
PRB3	0.013161696
EPCAM	0.013096406
IGHV4.39	0.012248623
A1BG	0.011783442
APOC1	0.011072107
CELA3A	0.011045054
PRSS1	0.010932718
NSF	0.010409347
ALT	0.009306779
GSTM4	0.009255398
CD163	0.009154031
VASP	0.008388799
SAA1	0.008239479
TUBA1C	0.0081970105
TUBA8	0.007938529
FCN3	0.0077742473
APOD	0.007720973
FFA	0.0075761136
TG	0.0067913746
HDLC	0.0064744796
ALDOB	0.006377716
SERPINC1	0.0063652205
YWHAH	0.0061860457
DBP	0.005424673
AKR1B1	0.005390587
ACACB	0.0048191748
RMC1	0.0028495395
TUBA3D	0.0
LDLC	0.0
S100A8	0.0
VTN	0.0
PTPRG	0.0
YWHAG	0.0
HOMA.IR	0.0
TUBA4A	0.0
TUBA1B	0.0
TUBA3C	0.0
TUBA1A	0.0
TTC37	0.0
TMEM256	0.0
TIMM44	0.0
TF	0.0
SERPINA3	0.0
SYTL1	0.0
SPG11	0.0
SLC4A2	0.0
SLC35B2	0.0
SHBG	0.0
TC	0.0
LPA	0.0
PRG4	0.0
CFHR2	0.0
GIT1	0.0
G6PD	0.0
ACACA	0.0
FCGR3A	0.0
ADIPOQ	0.0
AHSG	0.0
CPB1	0.0
CLEC3B	0.0
CFD	0.0
Dose	0.0
CAMP	0.0
C9	0.0
AMPD3	0.0
C3	0.0
C2	0.0
APOA4	0.0
APOM	0.0
APOF	0.0
A2M	0.0
Sex	0.0
PI16	0.0
MASP1	0.0
AST	0.0
PCYOX1	0.0
PCBP2	0.0
TBIL	0.0
BUN	0.0
MX1	0.0
UCR	0.0
MFGE8	0.0
HSCRP	0.0
GSTM2	0.0
LTF	0.0
KNG1	0.0
BMI	0.0
WACC	0.0
WEIGHT	0.0
HSPA9	0.0
HBB	0.0
SBP	0.0
HBA1C	0.0
