feature_name	feature_importance
PON1	0.15952072
GPX3	0.15350796
APOC3	0.13788906
APOA2	0.12575796
SCRIB	0.12328646
ARID1A	0.10868085
STXBP5	0.107433654
LYZ	0.10275768
USO1	0.09345062
CFHR1	0.071157016
APOC2	0.06579989
SERPINA7	0.05917588
RACK1	0.057850376
CFD	0.05459894
C9	0.05306083
L2HGDH	0.048801746
EPCAM	0.047974404
CFHR3	0.04621945
SFN	0.045529835
CLU	0.044663455
PRG4	0.044635065
SERPINC1	0.0428297
FBLN1	0.04055402
APOH	0.03886768
ACACA	0.03793888
NAP1L1	0.036893077
GSN	0.03688237
MASP2	0.035598766
IGHV4.39	0.035525143
C1QB	0.033184357
TF	0.030417994
IGHV3.72	0.030081917
NXF1	0.029999672
TUBA8	0.029264914
HSPG2	0.028414378
FGA	0.027657859
PI16	0.027051033
APOB	0.026944784
TAGLN	0.026583664
ITIH4	0.026083069
CPN1	0.026059393
FGB	0.02601659
CELA3A	0.025974868
ADIPOQ	0.024003051
GSTM4	0.022151168
METTL18	0.020098886
C8B	0.019828612
YWHAH	0.019294245
FCGBP	0.01858893
SYTL1	0.017295139
HDHD2	0.01716344
SHBG	0.016171247
S100A8	0.015848584
ZFYVE19	0.0154246045
SLC35B2	0.0146990605
CHL1	0.014369202
GSTM2	0.0143491095
AMPD3	0.014091423
AFM	0.013381765
CPB2	0.013213457
PRB3	0.013139008
PCYOX1	0.012866191
SAA1	0.012745529
VASP	0.012517056
CP	0.012436407
CFHR2	0.012343719
LTF	0.0121666975
SLC4A2	0.0115755685
F13A1	0.011460722
PPP1R9B	0.010224761
FUBP3	0.010104227
PTPRG	0.009760863
A2M	0.009584949
PZP	0.009290493
NSF	0.007766828
VTN	0.007703936
CAMP	0.0076450515
TMEM256	0.007618199
APOE	0.0058509265
APOA4	0.005340801
IGFBP2	0.0051411693
APOM	0.0049210163
TUBA4A	0.0
YWHAG	0.0
TUBA3D	0.0
PRSS1	0.0
TUBA3C	0.0
YWHAQ	0.0
SCIN	0.0
TUBA1A	0.0
TUBA1C	0.0
TUBA1B	0.0
SERPINA3	0.0
RCN1	0.0
TTC37	0.0
RMC1	0.0
RPIA	0.0
TIMM44	0.0
SPG11	0.0
RPS3	0.0
S100A9	0.0
SERPINA6	0.0
PIGR	0.0
A1BG	0.0
PGLYRP2	0.0
PCBP2	0.0
CRP	0.0
CPB1	0.0
CLEC3B	0.0
CGREF1	0.0
CFH	0.0
CD163	0.0
C8G	0.0
C4BPA	0.0
C3	0.0
C2	0.0
APOF	0.0
APOD	0.0
APOC1	0.0
APOA1	0.0
APCS	0.0
ALDOB	0.0
AKR1B1	0.0
AKR1A1	0.0
AHSG	0.0
AGT	0.0
ACACB	0.0
F10	0.0
FCGR3A	0.0
FCN3	0.0
IGLV3.1	0.0
ORM1	0.0
MX1	0.0
MNDA	0.0
MFGE8	0.0
MASP1	0.0
MAN2A1	0.0
LPA	0.0
KNG1	0.0
IGLV3.19	0.0
HBZ	0.0
FETUB	0.0
HBB	0.0
HABP2	0.0
GSTM1	0.0
GNA13	0.0
GMPS	0.0
GIT1	0.0
GGT1	0.0
G6PD	0.0
FGG	0.0
HSPA9	0.0
