feature_name	feature_importance
PBG	0.16760315475482776
HOMA.B	0.1226349599277779
FPG	0.11264210189973567
RBC	0.08278939454845484
GPX3	0.07121119615762464
MASP2	0.053237187489438245
APOA2	0.05253337804535996
FGG	0.04564339123613812
Age	0.04219519314338459
CLU	0.03769264392190187
USO1	0.025814585416538305
RACK1	0.024044840271569317
APOC2	0.01949291485254032
FINS	0.018923662473238272
GNA13	0.013429824227240044
A1BG	0.012302404457498224
FGB	0.010429657384922228
PON1	0.008197399663477847
HDLC	0.0037278734457983857
SERPINA7	0.0033366754015039025
APOH	0.0011547516492738678
CAMP	0.0006517686979001569
PGLYRP2	0.0
PTPRG	0.0
PCYOX1	0.0
PCBP2	0.0
ORM1	0.0
PI16	0.0
PPP1R9B	0.0
PIGR	0.0
RCN1	0.0
PRB3	0.0
PRG4	0.0
NXF1	0.0
PRSS1	0.0
PZP	0.0
HBA1C	0.0
MFGE8	0.0
NSF	0.0
NAP1L1	0.0
HSPA9	0.0
HSPG2	0.0
IGFBP2	0.0
IGHV3.72	0.0
IGHV4.39	0.0
IGLV3.1	0.0
IGLV3.19	0.0
ITIH4	0.0
KNG1	0.0
L2HGDH	0.0
LPA	0.0
LTF	0.0
LYZ	0.0
MAN2A1	0.0
MASP1	0.0
METTL18	0.0
RPIA	0.0
MNDA	0.0
MX1	0.0
RMC1	0.0
SCRIB	0.0
RPS3	0.0
S100A8	0.0
TUBA4A	0.0
TUBA8	0.0
VASP	0.0
VTN	0.0
YWHAG	0.0
YWHAH	0.0
YWHAQ	0.0
ZFYVE19	0.0
cg00574958	0.0
cg03767807	0.0
cg06500161	0.0
cg11078090	0.0
cg17722508	0.0
cg17901584	0.0
cg21055197	0.0
cg19076985	0.0
cg03629335	0.0
cg27352622	0.0
cg08726900	0.0
cg05484949	0.0
cg00827581	0.0
TUBA3D	0.0
TUBA3C	0.0
TUBA1C	0.0
SLC35B2	0.0
S100A9	0.0
SAA1	0.0
SCIN	0.0
HBZ	0.0
SERPINA3	0.0
SERPINA6	0.0
SERPINC1	0.0
SFN	0.0
SHBG	0.0
SLC4A2	0.0
TUBA1B	0.0
SPG11	0.0
STXBP5	0.0
SYTL1	0.0
TAGLN	0.0
TF	0.0
TIMM44	0.0
TMEM256	0.0
TTC37	0.0
TUBA1A	0.0
HDHD2	0.0
GMPS	0.0
HBB	0.0
WACC	0.0
DBP	0.0
SBP	0.0
Sex	0.0
Dose	0.0
A2M	0.0
ACACA	0.0
ACACB	0.0
ADIPOQ	0.0
AFM	0.0
AGT	0.0
AHSG	0.0
AKR1A1	0.0
AKR1B1	0.0
ALDOB	0.0
AMPD3	0.0
APCS	0.0
APOA1	0.0
APOA4	0.0
APOB	0.0
WEIGHT	0.0
BMI	0.0
APOC3	0.0
WBC	0.0
HOMA.IR	0.0
TG	0.0
TC	0.0
LDLC	0.0
FFA	0.0
ALT	0.0
AST	0.0
TBIL	0.0
BUN	0.0
EGFR	0.0
SCR	0.0
UCR	0.0
UMA	0.0
UMACRR	0.0
CKMB	0.0
HSCRP	0.0
HB	0.0
PLT	0.0
HCT	0.0
APOC1	0.0
APOD	0.0
HABP2	0.0
CPB1	0.0
CPN1	0.0
CRP	0.0
EPCAM	0.0
F10	0.0
F13A1	0.0
FBLN1	0.0
FCGBP	0.0
FCGR3A	0.0
FCN3	0.0
FETUB	0.0
FGA	0.0
FUBP3	0.0
G6PD	0.0
GGT1	0.0
GIT1	0.0
GSN	0.0
GSTM1	0.0
GSTM2	0.0
GSTM4	0.0
CPB2	0.0
CP	0.0
APOE	0.0
CLEC3B	0.0
APOF	0.0
APOM	0.0
ARID1A	0.0
C1QB	0.0
C2	0.0
C3	0.0
C4BPA	0.0
C8B	0.0
C8G	0.0
C9	0.0
CD163	0.0
CELA3A	0.0
CFD	0.0
CFH	0.0
CFHR1	0.0
CFHR2	0.0
CFHR3	0.0
CGREF1	0.0
CHL1	0.0
cg14153852	0.0
