feature_name	feature_importance
PBG	0.19945417540089372
exRNA000673	0.1533815987042978
MS006	0.13889352071081737
RBC	0.13359365880066904
HOMA.B	0.12641750880738747
MP0174	0.10632269994473084
GPX3	0.10068288193784825
exRNA000005	0.09784979970303044
MASP2	0.0956290456251238
FPG	0.08467892004958984
APOA2	0.07090296090381508
MP0193	0.06787949865612353
Age	0.06639603424941981
MP0050	0.06637448181754337
CLU	0.0659817995877146
FGG	0.06276600952444555
RACK1	0.047779933882000476
MP0141	0.04759920892860475
MP0151	0.045284546972357495
LYZ	0.04492114823306038
exRNA000183	0.043466888575999514
GNA13	0.04260710170149481
PON1	0.03927832136653658
MP0142	0.03874656800347119
HDLC	0.036034860205077915
MP0052	0.03530314267870677
USO1	0.033887481290584165
SERPINA7	0.03285002332560832
APOC2	0.032091660924684254
A1BG	0.02996188780282494
FINS	0.0287593330302318
APOH	0.028264904037243077
MP0076	0.028221312529999282
CPN1	0.02535187065206844
MP0128	0.023704459905778293
Dose	0.023020839842990436
FGB	0.022116467816483007
exRNA000067	0.021205873376388004
CAMP	0.021111318844077086
MP0113	0.02044747188233923
exRNA000003	0.020294190769778873
FCGBP	0.01971622001255334
exRNA000077	0.018236805217888327
CFHR1	0.015460196864525676
STXBP5	0.01404833012803395
MP0046	0.011998998686279403
MP0044	0.011610282107167672
MP0042	0.00833599851841652
MP0030	0.007716698082060155
HOMA.IR	0.007201919377161591
MP0134	0.0070930526342588
exRNA000130	0.006360270097404415
HBA1C	0.0050463055362554455
exRNA000165	0.004283553144753681
GSTM2	0.004014531252552611
CFH	0.0037343798042757254
BUN	0.003727856889500609
MP0023	0.0037039853461528203
CHL1	0.0036579559383804433
CKMB	0.0035367029330516052
MP0065	0.002734051538546177
SCRIB	0.0026343607690281277
MS026	0.002291945904124487
MP0018	0.002209661468841736
exRNA000061	0.0022037369053961677
WBC	0.0018597372558652617
cg11078090	0.000753627553967652
RPS3	0.00018646846261420003
SERPINC1	0.0
UMA	0.0
RMC1	0.0
S100A8	0.0
S100A9	0.0
SAA1	0.0
SCIN	0.0
RPIA	0.0
SERPINA3	0.0
SERPINA6	0.0
PZP	0.0
UCR	0.0
RCN1	0.0
SLC35B2	0.0
SFN	0.0
TMEM256	0.0
TUBA4A	0.0
TUBA3D	0.0
TUBA3C	0.0
TUBA1C	0.0
TUBA1B	0.0
TUBA1A	0.0
TTC37	0.0
TIMM44	0.0
SHBG	0.0
TF	0.0
TAGLN	0.0
