feature_name	feature_importance
PBG	5.425361888931906e-05
FPG	5.3730688803659633e-05
RBC	3.7773395180773066e-05
HOMA.B	3.7456858433680966e-05
Age	2.5241424480843668e-05
HBA1C	2.319054141149878e-05
BUN	2.1389033581142717e-05
HB	2.0730176802165993e-05
EGFR	1.854700084938318e-05
Dose	1.7990952126517662e-05
HDLC	1.7826613163834026e-05
FINS	1.589481484918975e-05
BMI	1.5852425647167174e-05
cg11078090	1.533291265448516e-05
HCT	1.51056322573207e-05
UCR	1.458434716221965e-05
cg00827581	1.4285389831929481e-05
TC	1.3841335221697545e-05
cg19076985	1.239602369210376e-05
UMA	1.1494421892863646e-05
cg14153852	1.0661747777820488e-05
TG	9.37783941287846e-06
AST	8.773346780870267e-06
WBC	8.324362839562758e-06
CKMB	8.029859955235877e-06
Sex	7.948528944739473e-06
WEIGHT	7.721226294182563e-06
WACC	6.282660260637946e-06
cg03629335	6.011143127739992e-06
UMACRR	5.392829079584047e-06
cg27352622	5.144559053494536e-06
ALT	4.954582294625068e-06
HOMA.IR	4.951212097086375e-06
FFA	4.08667847447696e-06
cg17901584	3.7610504953176305e-06
cg08726900	3.517598779969313e-06
cg21055197	3.3742710739562282e-06
DBP	3.03369658280317e-06
cg06500161	1.965764445582773e-06
SBP	1.7950655354712313e-06
SCR	1.51516277544943e-06
cg05484949	1.400772003714849e-06
TBIL	1.1522586785588594e-06
LDLC	8.659954819609855e-07
cg03767807	5.821987226871568e-07
PLT	5.128984438587301e-07
HSCRP	4.537763413227342e-07
cg00574958	2.5542931449272897e-07
cg17722508	2.4209043205605976e-07
