feature_name	feature_importance
PBG	0.4206716808224582
MP0174	0.3094833591236808
RBC	0.29995499939275727
exRNA000673	0.2890569548748222
exRNA000005	0.28080983854410013
MS006	0.2688907353330262
MP0193	0.250467482919538
HOMA.B	0.22050579415420393
MP0115	0.19059748246057126
MP0050	0.17328353516981207
HDLC	0.1592502262388108
exRNA000017	0.15317188591930694
MP0113	0.14592037529602273
exRNA000183	0.14494247896487428
MP0128	0.1396817533310539
exRNA000047	0.12001353130169694
WBC	0.11819012810567528
MP0052	0.11279234428164354
MP0124	0.10917368332638587
UMACRR	0.10905870050965698
MP0076	0.10713343404234783
Age	0.10489280026130174
Dose	0.10022920639778926
MP0142	0.09653866521979326
MP0151	0.08883799219839901
MP0126	0.08609640436518384
HOMA.IR	0.08295538203268031
exRNA000067	0.07649820987707755
MP0141	0.07540601930181925
FPG	0.07393037153906579
MP0132	0.06475910462476461
CKMB	0.06029952351499579
MP0175	0.05985673064814409
MS026	0.05905467459396635
BUN	0.05759023094855307
cg03629335	0.05477868356287051
MP0030	0.05303542414992721
MP0044	0.052991521363964136
exRNA000130	0.05263274768981727
exRNA000760	0.04919211483038319
exRNA000165	0.047147484425493436
cg00827581	0.04678259912499538
MS010	0.04563971320684188
MS009	0.04179187908000824
exRNA000059	0.04165176461494389
cg19076985	0.04161793471809951
MP0023	0.04012202288264128
exRNA000841	0.03404631015747756
MP0156	0.033043089244594794
exRNA000044	0.029056730845736838
cg11078090	0.02763560979609679
exRNA000250	0.025493483476755237
MP0046	0.024210164104731768
MP0118	0.024155282685517317
MP0078	0.024054667299391853
MP0085	0.02127391901696856
MP0065	0.020548866167806084
cg27352622	0.018595011199812515
MP0009	0.017652987235082112
AST	0.016348455408992726
MP0140	0.01595232593059563
exRNA000061	0.014802526630507674
UCR	0.014014802279636094
HSCRP	0.012455068649313844
cg06500161	0.009165674206124828
HB	0.009023136950514129
MP0005	0.00890408945740645
MP0062	0.008881084486943453
cg14153852	0.006163498094359366
EGFR	0.004370715724032611
MP0018	0.003904649044854112
MS014	0.0015967823252397847
MP0033	0.0012592667778570281
MP0073	0.0009343322077967456
cg08726900	0.0
exRNA000009	0.0
exRNA000036	0.0
exRNA000035	0.0
exRNA000822	0.0
cg00574958	0.0
cg05484949	0.0
cg03767807	0.0
exRNA000029	0.0
exRNA000028	0.0
cg17722508	0.0
exRNA000027	0.0
cg17901584	0.0
exRNA000016	0.0
exRNA000015	0.0
MS015	0.0
MS016	0.0
exRNA000008	0.0
exRNA000040	0.0
exRNA000004	0.0
exRNA000003	0.0
MS029	0.0
MS028	0.0
MS027	0.0
cg21055197	0.0
MS024	0.0
MS023	0.0
MS021	0.0
MS019	0.0
MS017	0.0
exRNA000565	0.0
exRNA000139	0.0
exRNA000561	0.0
exRNA000172	0.0
exRNA000211	0.0
exRNA000066	0.0
exRNA000173	0.0
exRNA000077	0.0
exRNA000084	0.0
exRNA000089	0.0
exRNA000091	0.0
MS013	0.0
exRNA000097	0.0
exRNA000098	0.0
exRNA000164	0.0
exRNA000110	0.0
exRNA000161	0.0
exRNA000145	0.0
exRNA000060	0.0
exRNA000226	0.0
exRNA000058	0.0
exRNA000251	0.0
exRNA000056	0.0
exRNA000053	0.0
exRNA000290	0.0
exRNA000050	0.0
exRNA000311	0.0
exRNA000312	0.0
exRNA000317	0.0
exRNA000326	0.0
exRNA000344	0.0
exRNA000043	0.0
exRNA000348	0.0
exRNA000394	0.0
exRNA000408	0.0
exRNA000042	0.0
HBA1C	0.0
MS011	0.0
MP0080	0.0
MP0019	0.0
MP0021	0.0
MP0022	0.0
MP0024	0.0
MP0025	0.0
MP0027	0.0
MP0034	0.0
MP0035	0.0
MP0038	0.0
MP0041	0.0
MP0042	0.0
MP0045	0.0
MP0047	0.0
MP0051	0.0
MP0053	0.0
MP0054	0.0
MP0058	0.0
MP0066	0.0
MP0074	0.0
MP0017	0.0
MP0015	0.0
MP0013	0.0
UMA	0.0
FINS	0.0
TG	0.0
TC	0.0
LDLC	0.0
FFA	0.0
ALT	0.0
TBIL	0.0
SCR	0.0
PLT	0.0
MP0012	0.0
HCT	0.0
BMI	0.0
WACC	0.0
WEIGHT	0.0
DBP	0.0
SBP	0.0
Sex	0.0
MP0006	0.0
MP0077	0.0
MP0082	0.0
MS008	0.0
MP0084	0.0
ML010	0.0
ML011	0.0
ML012	0.0
ML013	0.0
ML014	0.0
ML015	0.0
ML016	0.0
ML019	0.0
MS003	0.0
MS018	0.0
MS020	0.0
MS022	0.0
MS025	0.0
MS030	0.0
MS001	0.0
MS002	0.0
MS004	0.0
MS005	0.0
MS007	0.0
ML018	0.0
ML006	0.0
MP0203	0.0
MP0112	0.0
MP0086	0.0
MP0096	0.0
MP0098	0.0
MP0099	0.0
MP0100	0.0
MP0101	0.0
MP0105	0.0
MP0106	0.0
MP0116	0.0
MP0164	0.0
MP0117	0.0
MP0122	0.0
MP0127	0.0
MP0134	0.0
MP0135	0.0
MP0150	0.0
MP0154	0.0
MP0159	0.0
ML017	0.0
