feature_name	feature_importance
PBG	0.2324512033245958
exRNA000673	0.17020965423360487
HOMA.B	0.16007899916668186
FPG	0.15149122691661746
RBC	0.13623701021256548
exRNA000005	0.10049429976046453
Age	0.09852568767274114
exRNA000183	0.06110162911316829
Dose	0.04092843408044669
HDLC	0.03900330375005957
exRNA000130	0.03722303435496413
exRNA000067	0.03491831457824833
HB	0.034098561376545156
exRNA000003	0.03256818263476483
FINS	0.03001328809076452
BUN	0.02733276030741486
exRNA000165	0.025848884725134698
EGFR	0.018784871907751258
HOMA.IR	0.01765121414068567
exRNA000077	0.015748282624260094
cg11078090	0.014624967855794617
exRNA000044	0.013324690106054825
exRNA000061	0.011327855753250553
exRNA000017	0.00906156307554336
exRNA000027	0.0037116567303304535
HBA1C	0.0003415850735543654
exRNA000760	0.0
cg03629335	0.0
exRNA000211	0.0
cg17901584	0.0
exRNA000173	0.0
cg21055197	0.0
exRNA000172	0.0
cg19076985	0.0
exRNA000164	0.0
exRNA000161	0.0
exRNA000250	0.0
exRNA000145	0.0
exRNA000139	0.0
cg27352622	0.0
cg08726900	0.0
cg05484949	0.0
cg00827581	0.0
exRNA000110	0.0
exRNA000226	0.0
exRNA000251	0.0
exRNA000822	0.0
cg00574958	0.0
exRNA000565	0.0
exRNA000561	0.0
exRNA000408	0.0
exRNA000394	0.0
exRNA000097	0.0
exRNA000348	0.0
exRNA000841	0.0
exRNA000344	0.0
exRNA000290	0.0
cg03767807	0.0
exRNA000326	0.0
exRNA000317	0.0
exRNA000312	0.0
exRNA000311	0.0
cg06500161	0.0
cg17722508	0.0
exRNA000098	0.0
exRNA000056	0.0
exRNA000091	0.0
SBP	0.0
WEIGHT	0.0
WACC	0.0
BMI	0.0
WBC	0.0
HCT	0.0
PLT	0.0
HSCRP	0.0
CKMB	0.0
UMACRR	0.0
UMA	0.0
UCR	0.0
SCR	0.0
TBIL	0.0
AST	0.0
ALT	0.0
FFA	0.0
LDLC	0.0
TC	0.0
TG	0.0
DBP	0.0
Sex	0.0
exRNA000089	0.0
exRNA000004	0.0
exRNA000084	0.0
exRNA000066	0.0
exRNA000060	0.0
exRNA000059	0.0
exRNA000058	0.0
exRNA000053	0.0
exRNA000050	0.0
exRNA000047	0.0
exRNA000043	0.0
exRNA000042	0.0
exRNA000040	0.0
exRNA000036	0.0
exRNA000035	0.0
exRNA000029	0.0
exRNA000028	0.0
exRNA000016	0.0
exRNA000015	0.0
exRNA000009	0.0
exRNA000008	0.0
cg14153852	0.0
