feature_name	feature_importance
HOMA.B	0.56741923
RBC	0.41027084
CKMB	0.29104587
PBG	0.25382757
exRNA000673	0.23790763
FPG	0.21793695
exRNA000130	0.21628638
exRNA000145	0.20204633
cg19076985	0.19001354
cg27352622	0.13157068
exRNA000211	0.12857005
exRNA000042	0.09140816
exRNA000003	0.08987689
exRNA000067	0.08575459
BUN	0.0783662
cg17722508	0.07658367
Age	0.07498751
exRNA000098	0.07302252
WACC	0.07218043
exRNA000053	0.06973052
cg03767807	0.06900732
cg08726900	0.0685698
exRNA000226	0.06795021
exRNA000173	0.06702006
exRNA000040	0.06642067
WBC	0.06534794
exRNA000005	0.060955428
ALT	0.04682553
cg14153852	0.046817917
exRNA000165	0.0
exRNA000172	0.0
exRNA000164	0.0
exRNA000161	0.0
exRNA000183	0.0
exRNA000290	0.0
exRNA000139	0.0
exRNA000110	0.0
exRNA000097	0.0
exRNA000250	0.0
exRNA000251	0.0
exRNA000348	0.0
exRNA000311	0.0
exRNA000312	0.0
cg00827581	0.0
cg05484949	0.0
cg03629335	0.0
cg21055197	0.0
cg17901584	0.0
cg11078090	0.0
cg06500161	0.0
cg00574958	0.0
exRNA000841	0.0
exRNA000822	0.0
exRNA000760	0.0
exRNA000565	0.0
exRNA000561	0.0
exRNA000408	0.0
exRNA000394	0.0
exRNA000089	0.0
exRNA000344	0.0
exRNA000326	0.0
exRNA000317	0.0
exRNA000091	0.0
HBA1C	0.0
exRNA000084	0.0
SCR	0.0
WEIGHT	0.0
BMI	0.0
HCT	0.0
PLT	0.0
HB	0.0
HSCRP	0.0
UMACRR	0.0
UMA	0.0
UCR	0.0
EGFR	0.0
SBP	0.0
TBIL	0.0
AST	0.0
FFA	0.0
HDLC	0.0
LDLC	0.0
TC	0.0
TG	0.0
HOMA.IR	0.0
FINS	0.0
DBP	0.0
Sex	0.0
exRNA000077	0.0
exRNA000036	0.0
exRNA000066	0.0
exRNA000061	0.0
exRNA000060	0.0
exRNA000059	0.0
exRNA000058	0.0
exRNA000050	0.0
exRNA000047	0.0
exRNA000044	0.0
exRNA000043	0.0
exRNA000035	0.0
Dose	0.0
exRNA000029	0.0
exRNA000028	0.0
exRNA000027	0.0
exRNA000017	0.0
exRNA000016	0.0
exRNA000015	0.0
exRNA000009	0.0
exRNA000008	0.0
exRNA000004	0.0
exRNA000056	0.0
