feature_name	feature_importance
HOMA.B	0.21045062
PBG	0.13500132
FPG	0.10754062
APOA2	0.095369
RBC	0.044767793
GPX3	0.04407555
MASP2	0.02688331
ARID1A	0.026007412
GNA13	0.018615501
WBC	0.017262487
FINS	0.014623724
APCS	0.012771194
Age	0.011811323
APOC2	0.010288333
HDHD2	0.009681692
cg27352622	0.008713179
L2HGDH	0.008710646
USO1	0.0070264866
FGG	0.00698807
ADIPOQ	0.0066220807
LYZ	0.006609407
ACACA	0.006091244
HSPG2	0.00571325
ITIH4	0.005489482
GSTM4	0.005473748
IGLV3.1	0.005466249
SERPINA3	0.005445268
C1QB	0.0053612636
GSN	0.005353721
CFHR1	0.005218957
APOC3	0.004739043
FBLN1	0.004703647
YWHAQ	0.004582463
IGHV3.72	0.004352649
HB	0.004340609
SERPINA7	0.0042461925
GMPS	0.004148147
cg19076985	0.004105955
AFM	0.0040715826
HBA1C	0.0040395604
UCR	0.0039931308
HBZ	0.0039913645
F10	0.0038509464
S100A9	0.0037745838
cg00827581	0.0037008747
cg21055197	0.0034794947
F13A1	0.0034759098
AKR1A1	0.0033837918
HABP2	0.0032872735
PCYOX1	0.0031994882
ORM1	0.0031680462
APOB	0.003114226
BMI	0.0029574453
MNDA	0.0028803763
YWHAH	0.002877313
VTN	0.002833357
cg05484949	0.0027686504
IGFBP2	0.0027561386
METTL18	0.0027457066
CPN1	0.0026844274
STXBP5	0.0026835937
CLU	0.0022227159
FFA	0.0022144655
CELA3A	0.0021592304
CFD	0.0021539824
RPS3	0.002149833
IGLV3.19	0.0020721757
CKMB	0.0020648486
APOM	0.002015665
FUBP3	0.001990047
TMEM256	0.0018978979
FGB	0.00187514
RPIA	0.0018670636
SERPINC1	0.0018535899
AST	0.001813809
PPP1R9B	0.00180878
HSCRP	0.0017880142
GSTM1	0.0016302232
ACACB	0.0014997707
CFHR3	0.0014360284
PRB3	0.0013272774
APOC1	0.0011317284
LTF	0.0011166707
CP	0.0010877532
PTPRG	0.0
cg00574958	0.0
cg03767807	0.0
cg06500161	0.0
cg11078090	0.0
cg17722508	0.0
RMC1	0.0
RCN1	0.0
RACK1	0.0
PZP	0.0
TIMM44	0.0
PRSS1	0.0
S100A8	0.0
cg17901584	0.0
TG	0.0
PON1	0.0
cg03629335	0.0
PIGR	0.0
HOMA.IR	0.0
PI16	0.0
PGLYRP2	0.0
cg08726900	0.0
PRG4	0.0
TC	0.0
ZFYVE19	0.0
SAA1	0.0
TF	0.0
TAGLN	0.0
TTC37	0.0
SYTL1	0.0
TUBA1A	0.0
TUBA1B	0.0
SPG11	0.0
SLC4A2	0.0
SLC35B2	0.0
SHBG	0.0
SFN	0.0
TUBA1C	0.0
TUBA3C	0.0
TUBA3D	0.0
TUBA4A	0.0
HDLC	0.0
SERPINA6	0.0
TUBA8	0.0
SCRIB	0.0
SCIN	0.0
LDLC	0.0
VASP	0.0
YWHAG	0.0
PCBP2	0.0
TBIL	0.0
NXF1	0.0
DBP	0.0
CLEC3B	0.0
CHL1	0.0
CGREF1	0.0
CFHR2	0.0
WEIGHT	0.0
CFH	0.0
CD163	0.0
CAMP	0.0
C9	0.0
C8G	0.0
C8B	0.0
C4BPA	0.0
C3	0.0
C2	0.0
SBP	0.0
NSF	0.0
APOH	0.0
APOF	0.0
APOE	0.0
APOD	0.0
Sex	0.0
Dose	0.0
APOA4	0.0
A1BG	0.0
APOA1	0.0
A2M	0.0
AMPD3	0.0
ALDOB	0.0
AKR1B1	0.0
AHSG	0.0
CPB1	0.0
CPB2	0.0
CRP	0.0
EPCAM	0.0
NAP1L1	0.0
MX1	0.0
MFGE8	0.0
ALT	0.0
MASP1	0.0
MAN2A1	0.0
LPA	0.0
AGT	0.0
KNG1	0.0
BUN	0.0
EGFR	0.0
IGHV4.39	0.0
SCR	0.0
HSPA9	0.0
UMA	0.0
HBB	0.0
UMACRR	0.0
GSTM2	0.0
PLT	0.0
HCT	0.0
GIT1	0.0
GGT1	0.0
G6PD	0.0
FGA	0.0
FETUB	0.0
FCN3	0.0
FCGR3A	0.0
FCGBP	0.0
WACC	0.0
cg14153852	0.0
