feature_name	feature_importance
HOMA.B	0.21301623398382477
PBG	0.2121572689142643
RBC	0.15002864115430925
FPG	0.13853174065742596
exRNA000673	0.13383493770974622
GPX3	0.1312196879213919
APOA2	0.12153172293444055
LYZ	0.10315544348332865
CLU	0.09797829086075108
exRNA000005	0.08436685837929514
exRNA000067	0.07733014642058403
exRNA000145	0.07545465206098487
cg19076985	0.07324055590834626
Age	0.07099595782343113
exRNA000130	0.06920178800496138
MASP2	0.06575619332487848
APOH	0.06006394936718881
WBC	0.06002572593455086
PON1	0.058410459969643974
CPN1	0.05781864165495405
CKMB	0.056795011737685766
USO1	0.05621527500302179
exRNA000344	0.051328602387762344
exRNA000003	0.050656312839657006
APOC2	0.04968360640912979
A1BG	0.04944066847052727
FGG	0.04780622984385834
IGHV3.72	0.04678974506952745
exRNA000017	0.045753665543245774
exRNA000098	0.04526973297361748
CFHR1	0.04485326423251104
RPS3	0.043638861746767836
PZP	0.042580327048211686
C1QB	0.04218216110093356
AFM	0.04124443830765408
exRNA000047	0.03968977628703629
CFH	0.037682701958214986
ORM1	0.0371875617102906
EGFR	0.03531881385218123
SERPINA7	0.03488037849344244
IGFBP2	0.03466834157202179
HB	0.03451897097276044
exRNA000290	0.033108001282974316
SLC4A2	0.03301383383274228
cg00827581	0.032266555905823224
HDHD2	0.032152841781271965
ARID1A	0.031717072557140895
exRNA000760	0.03146194595136841
cg14153852	0.0313779690692188
exRNA000211	0.03093702231398222
DBP	0.030922966144755867
C4BPA	0.03004214615023458
HDLC	0.029154849012096532
Sex	0.028947363660182503
exRNA000040	0.028835607710771646
SYTL1	0.028342567932397717
exRNA000183	0.028271347238998854
GNA13	0.028218148502487453
cg03629335	0.027713122029181733
CAMP	0.027704022647896162
RMC1	0.027514386129191812
exRNA000348	0.027319882009321377
RACK1	0.02711794315188671
APOD	0.02702038597077696
exRNA000250	0.0267628492637469
AST	0.02655933076915712
CHL1	0.026538731029437435
HABP2	0.026455952869662548
UMACRR	0.026342220633313564
cg21055197	0.02608919619701436
PIGR	0.02523223958918208
ITIH4	0.025156976104224682
VASP	0.024970710235914035
GSTM2	0.02454656213478073
C9	0.02426821474083905
HCT	0.02417851409350512
Dose	0.023913725449302668
RPIA	0.02379641387381964
L2HGDH	0.023736489563366735
SAA1	0.023733590805230135
exRNA000004	0.02366104020070202
APCS	0.02351445687641392
exRNA000027	0.02325105691039026
exRNA000251	0.022847590612770727
SERPINA3	0.022739481659102542
ALDOB	0.022497048448804183
exRNA000226	0.02232662742099088
exRNA000035	0.02230850595212573
cg11078090	0.02189581538671097
STXBP5	0.02186507088262318
exRNA000053	0.021684530392700577
A2M	0.021475107102568544
PPP1R9B	0.021065259093271824
cg27352622	0.020862698354432396
APOC3	0.020505818488542698
exRNA000061	0.020083749216686157
AHSG	0.019935087976708954
APOF	0.019876240611587118
PI16	0.019844213521444574
CFHR3	0.019715150229858435
exRNA000561	0.01957078943556035
AMPD3	0.019361351274270324
UCR	0.019162683045371342
NXF1	0.019158109858068685
TBIL	0.01895987377548269
FUBP3	0.018881665717311213
YWHAH	0.018671189703636275
YWHAG	0.018620435601327975
FCGBP	0.018478014211183565
TUBA3C	0.018472415372098806
NSF	0.018362958709750545
HOMA.IR	0.018291792750365916
VTN	0.01811744357722939
exRNA000312	0.018021547894613046
IGHV4.39	0.01768874363887837
KNG1	0.017594992281267926
exRNA000139	0.017517482068296703
F13A1	0.0174988978219507
APOC1	0.016845697758610896
FCGR3A	0.01637169274929032
SHBG	0.016132368584835747
exRNA000311	0.01608553795658334
SCR	0.01598562986870786
TUBA3D	0.015937618793737635
LTF	0.015862861892400763
GMPS	0.015817305566188048
C3	0.015614542944570809
CFHR2	0.015400087356096392
exRNA000036	0.015008440570565117
HSPG2	0.014966380531210376
exRNA000165	0.014916817192061024
MNDA	0.014685816700060295
FGA	0.014523870334817262
WEIGHT	0.014164389129791595
SERPINA6	0.014090386741987454
exRNA000008	0.014056907625697187
exRNA000009	0.014026849066816147
exRNA000028	0.013931477155023657
FINS	0.013915929307665357
HBZ	0.013823281439185004
cg17722508	0.013719684028137658
HBA1C	0.01354872260362696
PCYOX1	0.013455767496744831
YWHAQ	0.013310036191907813
APOE	0.013028850963525143
exRNA000841	0.012921766808741747
PGLYRP2	0.012803151464681138
exRNA000044	0.012722013497413287
exRNA000029	0.012635109035592933
LPA	0.012085906380887832
APOB	0.01184347189883418
AKR1B1	0.011801325466757096
exRNA000059	0.011708241012425303
exRNA000066	0.011359866028241725
EPCAM	0.01127800889293455
CPB2	0.011244597642997662
TIMM44	0.011202447668825676
exRNA000565	0.011060388691119052
exRNA000394	0.011054564646884256
TC	0.010804536321542544
GSTM4	0.010750766151405777
G6PD	0.010725483130994211
exRNA000173	0.01071273435971475
IGLV3.1	0.010632438863017287
SCRIB	0.010277520192658767
exRNA000326	0.010176809018959487
SCIN	0.01009193234033797
MFGE8	0.009924661344936673
FETUB	0.00988061497952838
C8G	0.00971393452620675
GGT1	0.00971215377699353
cg08726900	0.009711920718200944
SFN	0.009689955563318258
BMI	0.009675269108520573
exRNA000110	0.00964982157247471
BUN	0.009548729925711175
TUBA1C	0.009516565562926028
GSN	0.009505817109661759
RCN1	0.009265916255330884
exRNA000058	0.009216479524584188
TAGLN	0.00910104678118143
S100A9	0.008929378717413764
PCBP2	0.008881583970222182
CFD	0.008732602616814352
PLT	0.00856012915708988
FBLN1	0.008504802797989935
exRNA000077	0.008333295140286308
CLEC3B	0.008300867843929733
HBB	0.008261778358149275
CGREF1	0.00811333642762321
exRNA000042	0.007989921431537374
SERPINC1	0.007794846166686656
PRB3	0.0077534082222336384
APOA4	0.007695428827044654
exRNA000408	0.007584482413237632
CP	0.007424517496985314
HSCRP	0.0074169378579203695
exRNA000091	0.007297618492003756
cg17901584	0.007203355389503363
PRG4	0.007048019093855436
exRNA000084	0.006734959680148243
FGB	0.006694861678549906
MX1	0.006688782184800981
C2	0.006641791973361905
exRNA000043	0.0065022648079132534
exRNA000317	0.006486404226656617
UMA	0.00632113533775707
F10	0.006072119738951561
C8B	0.006019424893076825
exRNA000089	0.005960013734074008
TF	0.005893111648156086
APOA1	0.005861840197685577
AGT	0.005804516110017003
MASP1	0.005788536391927728
exRNA000172	0.005779604577887805
GSTM1	0.0057692192417291115
METTL18	0.005564600078757899
GIT1	0.00540046471199911
TMEM256	0.005333334751456471
ACACA	0.005286775191906896
SPG11	0.005246359387107362
PRSS1	0.005126496778797946
