feature_name	feature_importance
FPG	0.00021828773799230781
PBG	0.00021676051659161752
exRNA000673	0.00017186058096991874
HOMA.B	0.00017139699349445203
RBC	0.00015415715949717012
GPX3	0.00012274489657584724
APOA2	0.00011994827998543461
exRNA000005	0.00011994379911816903
CLU	0.00011768395236117449
MASP2	0.00011068841497173647
exRNA000003	0.00011065444402510577
HBA1C	0.00010716116789888105
USO1	0.00010593960532710961
FGG	0.00010280186924709017
exRNA000183	0.0001020891195505848
HB	0.0001018161440807956
STXBP5	9.449911691039974e-05
Age	9.3003693810681e-05
APCS	9.251399659496408e-05
exRNA000394	9.211261718181569e-05
FGB	8.97541303999896e-05
APOC3	8.830965240464391e-05
HDLC	8.761452126709008e-05
exRNA000067	8.644166899835694e-05
FINS	8.597460432944635e-05
APOC2	8.594131369222323e-05
GSN	8.337895795416876e-05
exRNA000130	8.204398242959102e-05
PON1	8.179203993891081e-05
RACK1	7.91058037555338e-05
HCT	7.903316462310719e-05
FBLN1	7.727402319180135e-05
CAMP	7.6824807386742e-05
SCRIB	7.667856307133796e-05
FGA	7.414491201280096e-05
LYZ	7.393038021072993e-05
FCGBP	7.390248819623814e-05
EGFR	7.220381310208524e-05
APOH	7.184317088389667e-05
SERPINA7	7.159900493569256e-05
exRNA000091	7.102656131358541e-05
exRNA000290	7.06390122188762e-05
GNA13	7.023812322964983e-05
AFM	7.021292988602178e-05
exRNA000061	6.959115568845485e-05
exRNA000097	6.871648360330714e-05
exRNA000348	6.843320972549908e-05
exRNA000165	6.740017466393799e-05
cg11078090	6.62654041296706e-05
exRNA000059	6.619565837774815e-05
CPB2	6.535330419491044e-05
A1BG	6.521616890295035e-05
BUN	6.500616080033012e-05
CPN1	6.393588318530321e-05
AGT	6.319790367619063e-05
Dose	6.26513498177457e-05
exRNA000077	6.181329970288064e-05
APOA1	6.174587623875343e-05
CFHR1	6.0836564411958365e-05
exRNA000027	6.006452168266505e-05
IGHV3.72	5.980086142823239e-05
ACACB	5.843259543134011e-05
F10	5.778659556211599e-05
NXF1	5.5337043981395276e-05
SERPINC1	5.457712326443441e-05
RPS3	5.441984041604682e-05
TC	5.410042758554369e-05
cg14153852	5.1986908716240466e-05
CFD	5.092239104386688e-05
SERPINA6	5.0615046192726994e-05
CFH	5.0554899257984155e-05
VTN	5.031183504728025e-05
ALT	4.950585252232952e-05
exRNA000565	4.906902557608077e-05
SHBG	4.899728711847185e-05
BMI	4.8404465676200264e-05
CHL1	4.808105995649168e-05
cg00827581	4.804149834122208e-05
exRNA000250	4.781735302328025e-05
WBC	4.6846165096557016e-05
UCR	4.6810499016450504e-05
RCN1	4.659974884479823e-05
ITIH4	4.64622597747628e-05
CD163	4.642430116677653e-05
HABP2	4.61611840264901e-05
YWHAG	4.6115353046154954e-05
UMA	4.533389897954923e-05
HOMA.IR	4.338037524678953e-05
cg19076985	4.313076071641501e-05
exRNA000017	4.284390201559904e-05
