feature_name	feature_importance
HOMA.B	0.1970052076239236
PBG	0.17619896549730116
FPG	0.15288113558956098
RBC	0.11895650373885366
exRNA000673	0.11400893999518319
exRNA000130	0.05756264649295837
Age	0.05692620232610539
exRNA000005	0.05592359086141475
BUN	0.04192576790546464
exRNA000003	0.041480536246789344
exRNA000145	0.035403262403657536
Dose	0.034391751124569526
cg19076985	0.033111295578531354
CKMB	0.03251937440609678
exRNA000165	0.029985432252638285
HB	0.02987870090815814
exRNA000183	0.028410998319929905
HDLC	0.028098286406079448
exRNA000067	0.02532542400453421
exRNA000017	0.024915968164224266
exRNA000348	0.024707136082680454
FINS	0.023618020883293057
cg00827581	0.022769565243007373
exRNA000211	0.022688010853654215
exRNA000027	0.02251612248790274
exRNA000091	0.0206057034020341
cg27352622	0.020584532600793917
HCT	0.020003349398404906
HBA1C	0.01975236040957099
EGFR	0.01718072978715463
exRNA000760	0.016830042639643685
cg14153852	0.016643637396709644
exRNA000841	0.01612071528681803
cg11078090	0.015507945669480029
exRNA000565	0.015417999239711147
exRNA000004	0.015155731937492468
WBC	0.013701819380197109
exRNA000061	0.013551116497252422
exRNA000047	0.01306170011383565
exRNA000344	0.012985929984312377
exRNA000077	0.012914155667117459
exRNA000394	0.012448933285404628
exRNA000250	0.011355364585131566
exRNA000044	0.01105510155217106
ALT	0.010823636287579695
exRNA000290	0.010545034929261848
cg17722508	0.010418145710792128
DBP	0.010085297980614255
UCR	0.00999396177249545
HOMA.IR	0.009489336142522882
exRNA000173	0.009432530015583354
exRNA000028	0.009420841113423657
exRNA000312	0.00910658036723725
TC	0.008878464731602151
exRNA000016	0.008171789258797822
cg03629335	0.008003417409794048
exRNA000161	0.007471576678656725
exRNA000059	0.007463325387486314
exRNA000408	0.007220023177671391
FFA	0.0072116275617846014
cg08726900	0.007061521783155411
BMI	0.006956605773126909
exRNA000251	0.006477412147138378
exRNA000058	0.006118956370156539
cg17901584	0.005851612031858008
Sex	0.0058005045674357335
exRNA000008	0.005726473503977917
exRNA000009	0.0056179788860344715
WEIGHT	0.005195730326140381
exRNA000561	0.005135140964002946
exRNA000317	0.005091462971231826
exRNA000056	0.004924557726809363
exRNA000029	0.004718610803088664
exRNA000822	0.004712037094820845
AST	0.004301705281608283
exRNA000035	0.004101889399680216
SCR	0.0038889259187681606
exRNA000097	0.003721609851596436
exRNA000040	0.003495435052325174
exRNA000053	0.0034182526014624975
exRNA000060	0.0030522305843851375
HSCRP	0.0030009348156568635
exRNA000066	0.0029945338398646272
exRNA000164	0.002764255651087592
exRNA000226	0.0027311940202422564
UMACRR	0.002727609098432908
SBP	0.0026771011278000547
PLT	0.002560276270163326
TBIL	0.002513912162097576
cg06500161	0.002419865193707797
exRNA000311	0.0021623843238115555
exRNA000098	0.0021459246534883355
exRNA000015	0.0020586382407185595
exRNA000084	0.0020520915618952944
UMA	0.0018855474351301637
LDLC	0.0018019718739919904
exRNA000139	0.0017163139871708075
exRNA000043	0.0016939233502909871
exRNA000089	0.001688695189814459
cg21055197	0.0016707650260940848
WACC	0.0015322103024998442
cg05484949	0.0013933089485935338
exRNA000110	0.001004749745604723
exRNA000326	0.0008090833230817227
exRNA000036	0.0008085785138923844
cg00574958	0.0007624733998574688
exRNA000042	0.0006350905712501282
exRNA000050	0.0005543850755008674
cg03767807	0.0001367146739799907
exRNA000172	0.00011581564102177795
TG	0.00010109166910108073
