feature_name	feature_importance
PBG	0.00011065245182561667
FPG	0.00010301682980021823
HOMA.B	8.517502195279071e-05
RBC	7.4314381594769e-05
GPX3	5.983834249033014e-05
APOA2	5.977558600664094e-05
MASP2	5.936857127904656e-05
APCS	5.417202431952184e-05
HBA1C	5.209796457982969e-05
HB	5.153494448037713e-05
CLU	5.083564298124566e-05
STXBP5	4.844658446114474e-05
USO1	4.833402025146158e-05
Age	4.747489240379787e-05
FBLN1	4.612685971653204e-05
FINS	4.586698855133946e-05
APOC2	4.3694925294080104e-05
FGG	4.3411784265101085e-05
HDLC	4.1966974000225774e-05
A1BG	4.1217192824249916e-05
APOC3	4.093946239342073e-05
GSN	4.001107770767508e-05
CAMP	3.956327899889716e-05
cg11078090	3.9285369770162095e-05
HCT	3.88456584213676e-05
PON1	3.862042519519178e-05
APOH	3.759524301863896e-05
AFM	3.709391539309412e-05
EGFR	3.7017657559699136e-05
LYZ	3.6945371211923694e-05
BMI	3.6885552650364386e-05
FGB	3.6774646996457085e-05
SERPINA7	3.5404882204929065e-05
RPS3	3.47098895283936e-05
BUN	3.453324474371347e-05
RACK1	3.384763941014515e-05
CPN1	3.354561434587212e-05
CPB2	3.2847963055734104e-05
CFHR1	3.258135457212553e-05
AGT	3.245301924475813e-05
cg00827581	3.119810655405518e-05
GNA13	3.1074644784406525e-05
FCGBP	3.0308650915003953e-05
FGA	3.0081280588955467e-05
APOA4	2.9560684887681204e-05
APOA1	2.8977591311221857e-05
ACACB	2.8407972167467595e-05
SCRIB	2.8273319527189316e-05
CFH	2.806692777769508e-05
IGHV3.72	2.8025406455877317e-05
NXF1	2.768442759807226e-05
SERPINC1	2.735998453921025e-05
F10	2.64996143221957e-05
SHBG	2.5871056951351038e-05
PIGR	2.5547082837394877e-05
HOMA.IR	2.5419214727448785e-05
VTN	2.4458520685882992e-05
Dose	2.4212946064564794e-05
SYTL1	2.3386309058449906e-05
cg14153852	2.3053644012181905e-05
SCIN	2.299474706153667e-05
RCN1	2.2433477260179206e-05
SERPINA6	2.1782240599638685e-05
HBB	2.1710370653307716e-05
IGFBP2	2.1664611359810437e-05
TC	2.1562230620169305e-05
YWHAG	2.094760808022103e-05
CD163	2.086476627959573e-05
ITIH4	2.0430392166324696e-05
UCR	2.031193535932235e-05
C1QB	2.0189674648816917e-05
Sex	2.0057717896007453e-05
cg19076985	1.9821291063064406e-05
AST	1.977073538426477e-05
MNDA	1.9573282466470868e-05
IGLV3.19	1.9533481137569325e-05
ALT	1.9189048884262112e-05
GSTM2	1.9183250837016342e-05
HBZ	1.9015104574830756e-05
CFD	1.896146909006245e-05
WEIGHT	1.874836656456993e-05
APOE	1.8680554228465216e-05
PRB3	1.851707871139369e-05
NSF	1.848083359921116e-05
HSPA9	1.843345647773574e-05
IGHV4.39	1.8384603840677813e-05
WBC	1.8180608255346734e-05
TAGLN	1.8167803075872513e-05
CHL1	1.813636959424929e-05
C9	1.7810298060226417e-05
cg17901584	1.7777400387691364e-05
EPCAM	1.7185184669513682e-05
HABP2	1.704178089763473e-05
WACC	1.696007273488539e-05
TF	1.674437487801037e-05
SLC4A2	1.6468489728133187e-05
CKMB	1.6274945244317884e-05
TG	1.5418238701554186e-05
C3	1.5118860210489918e-05
PGLYRP2	1.5062148526443895e-05
PI16	1.409688526809058e-05
