feature_name	feature_importance
PBG	0.21638745246546118
MS006	0.19240809825287797
HOMA.B	0.1602415619785607
RBC	0.15235902547893485
MP0174	0.15097409597696293
exRNA000005	0.14453036984337767
exRNA000673	0.1352932125932721
MP0193	0.11928925686009079
MP0115	0.07789545193616043
MP0050	0.07532732657536821
MP0113	0.07513961748031459
HDLC	0.0698183503386517
exRNA000017	0.06917293103818901
MP0128	0.06843769743791965
Dose	0.06663449853452513
exRNA000183	0.0647877128414991
MP0124	0.0582245134166893
Age	0.056409071739168835
MP0142	0.049901336261038605
MP0052	0.04787543014086449
MP0076	0.037866717223516685
MP0151	0.03785601024935569
MP0141	0.03588792201048004
WBC	0.03546440651616605
FPG	0.034681196909121116
exRNA000067	0.033436610530182785
exRNA000047	0.033333969296065434
CKMB	0.03269451982916838
cg00827581	0.03265432889686949
MP0126	0.02631411966247146
MP0044	0.025483345839470206
HOMA.IR	0.024063162986900002
BUN	0.023774620661406537
cg11078090	0.023228851253281134
cg19076985	0.02317209686971648
MP0046	0.02236496299314947
MP0156	0.022039368121755474
MP0098	0.021766430398611102
MP0023	0.021692061200901273
exRNA000250	0.02169051984202703
MP0030	0.02152876497399377
MS026	0.02105821432577184
MP0018	0.02017303970656621
MS010	0.019703749084283212
exRNA000760	0.019316374990479713
MP0078	0.018965407128899568
EGFR	0.01880003308804612
exRNA000130	0.018769257506109957
exRNA000344	0.018032338107007224
MS030	0.017393562168458044
cg06500161	0.017218250333140776
exRNA000003	0.0166843993705675
WEIGHT	0.016452861860729365
exRNA000164	0.015976233050577278
MS004	0.01596449586502748
exRNA000059	0.015857783521145887
MP0118	0.015475236316325778
HCT	0.01502544967322333
MS014	0.014546255140329258
MP0005	0.014538558469268173
MP0042	0.014534766454648141
HB	0.014511811609002128
MP0080	0.014426534675909132
cg27352622	0.013975664159450084
exRNA000165	0.01368300900228215
MP0015	0.013576532379002245
MP0132	0.01332983622184062
UCR	0.01332061214765835
cg14153852	0.013118062456635082
ML015	0.013100061922238617
MP0175	0.013050319090670191
ML010	0.01300259270254029
FINS	0.012962379551002363
MP0054	0.012766217719282425
MP0101	0.012760083628190966
MP0009	0.012264017173112755
MS023	0.012084890320167102
MS009	0.01203529827758611
exRNA000077	0.011942788192573682
exRNA000348	0.0118402987646958
exRNA000004	0.011670535110472105
exRNA000211	0.011579630098672874
exRNA000311	0.011300496435984634
cg03629335	0.011271799166710715
exRNA000044	0.01094389274127683
exRNA000394	0.010893509114874212
HBA1C	0.010868582726772538
MP0033	0.010742017526960716
UMACRR	0.01069541405440524
exRNA000027	0.010614418887080467
SCR	0.010443532149807009
MP0065	0.010356633190446104
exRNA000061	0.010318217238878232
MP0035	0.01026632295786943
MP0073	0.010199424429710308
MP0117	0.009986665984288616
MS013	0.009925857133071215
DBP	0.009882533904127515
exRNA000841	0.009735704836346283
exRNA000098	0.009658819900973697
MS027	0.009557937716127245
Sex	0.009421629048880536
MP0024	0.009387026446871049
MP0085	0.009287145495066436
cg17722508	0.009230899960909955
MP0096	0.009225214279642048
ALT	0.008965770898793768
exRNA000251	0.008882768902244242
exRNA000561	0.008829135076827312
MP0086	0.008698392356830334
MP0150	0.008553958193508163
exRNA000290	0.008499446241659773
MP0027	0.008480835890464264
exRNA000043	0.008456047522982218
exRNA000029	0.008262411764934084
MP0022	0.008261085604641127
MS028	0.00810987754288378
MP0062	0.008097128220918346
MP0041	0.00798992741039552
exRNA000408	0.0076813231095617185
MP0019	0.007670231695834108
AST	0.007624434792957048
exRNA000053	0.007586183808541447
MP0012	0.007513768586429057
MP0013	0.007329923619926982
exRNA000058	0.007115621538586923
FFA	0.007051993447503505
MP0140	0.007048687412635048
cg08726900	0.006890007710862879
MP0100	0.006798855327265535
MP0164	0.006792511644370711
exRNA000172	0.006696368589749752
SBP	0.006404570007539998
WACC	0.0064040885034244415
exRNA000145	0.006327322792021923
MP0135	0.006306046823274553
exRNA000565	0.006054102954114233
exRNA000016	0.006005253496415215
cg05484949	0.005966289914008508
exRNA000050	0.005874646903705757
exRNA000042	0.005858917250018169
cg21055197	0.0055513749227820005
MP0159	0.005483658512820059
exRNA000060	0.005469392231590423
MP0127	0.005439540279765334
TG	0.00530539714416275
MS029	0.0052930180146468836
MP0082	0.005200904658082338
MP0051	0.0051004431459555485
exRNA000056	0.0050324969268967035
MS016	0.005009215111686722
TC	0.004938180856539001
MP0099	0.004873474125952681
cg00574958	0.004815309378465916
ML014	0.004806404651634309
MP0154	0.004795596112215969
exRNA000173	0.004592655277297233
BMI	0.004592375415278794
exRNA000822	0.004473639526478517
MP0053	0.004366025421037382
MS001	0.004365868861027758
MS011	0.004337897868218285
MP0047	0.0043274997385803066
MP0084	0.004240187167244834
ML019	0.0042299133120619874
MP0112	0.004195228697657947
exRNA000009	0.0039382164690128715
TBIL	0.0037374233402389214
exRNA000226	0.0035274978570685707
MS019	0.0034736376833633138
ML012	0.0034354330986177055
exRNA000028	0.0034262817885445476
exRNA000110	0.0034145950367472947
exRNA000015	0.003288293040733885
MS008	0.0032472318494791252
MS003	0.0031355572837421983
exRNA000089	0.0031210298854673604
ML006	0.003051854497705332
exRNA000035	0.002858419301971943
MP0066	0.002815021155277285
MS025	0.0026437758575962303
MP0058	0.0025329419596643006
exRNA000312	0.0025059872931984376
MP0106	0.0024913600156763857
MP0203	0.002456711026126639
MS024	0.002434760756000361
exRNA000091	0.002406417556945608
MP0017	0.0022957580228574817
MS007	0.0022944265040821953
MS020	0.002280316435755815
MS018	0.002196866505096778
MP0105	0.00208530553416501
MS017	0.0019568147176581693
HSCRP	0.0019449708902796383
ML016	0.001844994829174493
ML013	0.001844994829174493
exRNA000036	0.0017839191598082416
exRNA000326	0.0017328496130069428
MS021	0.0017075185909587083
MS005	0.0015055665366462063
exRNA000084	0.0014759477265031563
ML018	0.001412984454206387
MP0077	0.0014057262522474173
MP0045	0.0012862100132309737
exRNA000317	0.0012799207693850114
exRNA000040	0.0012689949483922574
cg17901584	0.0012439626816592199
MS022	0.0012028492469593353
MP0134	0.0011785041823684866
exRNA000161	0.0011771088400358834
MP0074	0.001011810601190135
MP0025	0.0009647449894881659
exRNA000008	0.0009577799971023272
LDLC	0.000950651093222503
UMA	0.0007469628545485763
MS002	0.000734313025367217
MP0038	0.0006714947070039212
MP0122	0.0005996780007460672
ML017	0.0005811938942041801
MP0021	0.0005674113873639004
cg03767807	0.0005575185515186375
exRNA000139	0.0005272066268944181
MS015	0.00045641757968171445
PLT	0.0003744572379707861
exRNA000097	0.00024877970704003305
MP0034	0.00019943538547176535
MP0116	0.00019439415131454593
exRNA000066	0.00012698917834917014
ML011	9.229201248179394e-05
MP0006	2.5590302936343567e-07
