feature_name	feature_importance
MS006	0.86874676
HOMA.B	0.67739725
RBC	0.48306584
PBG	0.4677111
MP0009	0.368942
MP0174	0.3449481
exRNA000145	0.33969232
MP0128	0.31139818
MP0151	0.28788537
CKMB	0.27543607
cg27352622	0.25935984
exRNA000673	0.2519894
exRNA000042	0.21122457
MP0113	0.20016265
exRNA000211	0.19445534
MP0085	0.18844382
MP0080	0.16243005
cg19076985	0.16070382
exRNA000067	0.15572524
MP0052	0.15382993
MP0124	0.15228085
exRNA000050	0.14508669
MS028	0.13727918
exRNA000036	0.13206394
TC	0.1253767
WBC	0.12495584
cg11078090	0.123541914
exRNA000165	0.120100304
FINS	0.111345455
cg08726900	0.10965477
MP0050	0.10798863
Age	0.09247153
MP0164	0.09097162
MP0077	0.09034622
LDLC	0.0894432
MS014	0.08080971
MP0132	0.07753959
MP0203	0.07649211
MS003	0.07453618
MP0030	0.07161059
MP0025	0.07112585
MP0115	0.07009222
exRNA000005	0.06997851
MP0122	0.06964708
exRNA000077	0.06883788
exRNA000098	0.06825964
MP0193	0.06517644
exRNA000047	0.06447201
MP0112	0.063966095
MP0045	0.063135184
MS013	0.062909655
cg21055197	0.06149668
SCR	0.0606887
exRNA000017	0.060145732
exRNA000003	0.0601454
MS009	0.060040373
MP0042	0.05929402
MP0062	0.05769083
MS026	0.057036612
MP0126	0.05644609
MP0024	0.05625035
MP0082	0.055546448
MP0142	0.05465189
MP0065	0.052645415
MS017	0.052001677
cg00827581	0.051919043
exRNA000226	0.051300365
UMA	0.05112775
MP0018	0.050215498
MP0021	0.04995332
exRNA000008	0.049728524
MS016	0.04972462
MP0033	0.04870139
MP0135	0.046634253
MS023	0.044049848
exRNA000326	0.043180935
cg03629335	0.042384043
MP0098	0.04147156
cg14153852	0.040113084
MP0054	0.03986816
exRNA000053	0.0397252
exRNA000348	0.039696436
MP0118	0.039691363
MP0023	0.0391334
HDLC	0.039024144
MP0051	0.038679104
MP0154	0.037936095
ALT	0.037920967
MP0053	0.037463345
exRNA000043	0.036689784
cg05484949	0.035828646
MP0074	0.035273086
MP0058	0.034861393
MS029	0.03389994
exRNA000059	0.033484418
MS011	0.033432186
WEIGHT	0.033150394
exRNA000408	0.0329711
ML019	0.032675654
MP0044	0.031627413
MP0012	0.03156076
MP0116	0.031155402
exRNA000040	0.031123351
MP0013	0.031053184
EGFR	0.030951781
MS002	0.030605247
BUN	0.029028034
MP0035	0.028631458
cg03767807	0.028184704
MP0078	0.027941572
MS020	0.027133655
exRNA000058	0.02705581
MP0034	0.026695441
exRNA000164	0.02621403
MP0141	0.023918604
ML006	0.023408828
MP0159	0.02326165
MP0134	0.022743782
exRNA000060	0.021943102
ML015	0.02155615
HOMA.IR	0.020465434
MP0127	0.01943771
UMACRR	0.019026069
MP0086	0.018035159
exRNA000089	0.017829554
MP0156	0.017388962
MP0099	0.01729449
MP0105	0.017151225
exRNA000091	0.017138544
exRNA000130	0.01702009
MP0084	0.016103078
MP0041	0.016042944
MP0073	0.015580573
exRNA000035	0.015150826
PLT	0.014039104
exRNA000394	0.01366725
exRNA000139	0.011362385
MP0076	0.011225631
exRNA000841	0.008835374
exRNA000344	0.0
exRNA000317	0.0
exRNA000251	0.0
exRNA000250	0.0
exRNA000056	0.0
exRNA000110	0.0
exRNA000044	0.0
exRNA000290	0.0
exRNA000311	0.0
cg17901584	0.0
exRNA000097	0.0
cg17722508	0.0
exRNA000312	0.0
exRNA000183	0.0
exRNA000565	0.0
exRNA000173	0.0
cg00574958	0.0
exRNA000172	0.0
exRNA000061	0.0
exRNA000066	0.0
exRNA000822	0.0
exRNA000760	0.0
exRNA000161	0.0
exRNA000084	0.0
exRNA000561	0.0
cg06500161	0.0
HBA1C	0.0
exRNA000029	0.0
exRNA000028	0.0
MP0106	0.0
MP0101	0.0
MP0100	0.0
MP0096	0.0
MP0066	0.0
MP0047	0.0
MP0046	0.0
MP0038	0.0
MP0027	0.0
MP0022	0.0
MP0019	0.0
MP0017	0.0
MP0015	0.0
MP0006	0.0
MP0005	0.0
Dose	0.0
Sex	0.0
SBP	0.0
DBP	0.0
WACC	0.0
BMI	0.0
HCT	0.0
HB	0.0
HSCRP	0.0
UCR	0.0
TBIL	0.0
AST	0.0
FFA	0.0
TG	0.0
MP0117	0.0
MP0140	0.0
MP0150	0.0
MS005	0.0
exRNA000027	0.0
exRNA000016	0.0
exRNA000015	0.0
exRNA000009	0.0
exRNA000004	0.0
MS027	0.0
MS024	0.0
MS021	0.0
MS019	0.0
MS015	0.0
MS010	0.0
MS008	0.0
MS007	0.0
MS004	0.0
MP0175	0.0
MS001	0.0
MS030	0.0
MS025	0.0
MS022	0.0
MS018	0.0
ML016	0.0
ML014	0.0
ML013	0.0
ML012	0.0
ML011	0.0
ML010	0.0
ML018	0.0
FPG	0.0
ML017	0.0
