feature_name	feature_importance
PBG	0.14826999210381317
FPG	0.13734124839534947
exRNA000005	0.11783021725642284
exRNA000673	0.10489200679718506
HOMA.B	0.10132951820232745
RBC	0.09738198756610852
Dose	0.08007787664468795
Age	0.0735915914218744
BUN	0.06389599075764972
exRNA000348	0.0605316081507376
HB	0.05889779897365214
HBA1C	0.05609437498457593
exRNA000027	0.05497184490760129
cg00827581	0.05424426518356749
exRNA000017	0.05357200795567719
exRNA000003	0.05249037315850546
HDLC	0.049469669225423646
exRNA000130	0.04580008928093035
HCT	0.044723924423149916
exRNA000344	0.04390720205500643
FINS	0.041940257765828715
exRNA000394	0.040090339515678156
WBC	0.03960726491923401
cg14153852	0.03833737560429691
cg19076985	0.037871762473238646
exRNA000165	0.03782249089143106
exRNA000841	0.037525279381549044
cg11078090	0.0359080802992475
exRNA000565	0.03583220287311956
exRNA000004	0.03560517874037595
exRNA000047	0.03540155691985014
EGFR	0.03512845870810303
exRNA000183	0.03419350321365996
ALT	0.03341510000487373
exRNA000067	0.032187579280526256
exRNA000290	0.030667419439057413
exRNA000760	0.030081286413869222
exRNA000250	0.02999377486251447
exRNA000061	0.029513001031492944
BMI	0.02893250884857381
UCR	0.027586378158621187
exRNA000044	0.0267941277555868
TC	0.026748533586296027
exRNA000028	0.026626895731083455
exRNA000211	0.026079393787282273
exRNA000059	0.025158438753940887
HOMA.IR	0.023759520171365223
exRNA000312	0.02375315792627382
exRNA000077	0.023350869718563007
DBP	0.022118045180163724
exRNA000091	0.02202165192327233
exRNA000408	0.020986100745067404
exRNA000161	0.02011827215761946
FFA	0.017371675416230664
WEIGHT	0.017150830586089794
cg17722508	0.0167184674048279
exRNA000058	0.016653274847058124
exRNA000016	0.01626868500647179
cg08726900	0.01579013230983129
exRNA000561	0.015752178485191653
exRNA000040	0.015705858138071835
exRNA000008	0.014094708152194779
exRNA000251	0.01393356366488063
cg03629335	0.013387672037369607
CKMB	0.013039070239179749
exRNA000029	0.012325423339971182
exRNA000145	0.011730840527686607
UMACRR	0.011570378760414564
exRNA000056	0.011334706717022478
exRNA000009	0.010963341779897886
exRNA000226	0.0108762678625963
exRNA000053	0.010555327841011541
exRNA000098	0.00975825638190857
cg17901584	0.009560502418184628
exRNA000084	0.009092434061857243
cg21055197	0.00903997652215687
exRNA000097	0.008864635580983415
SCR	0.008680564195964156
exRNA000015	0.00782433246987897
exRNA000043	0.0076485389199956325
exRNA000060	0.0074678463183287785
cg00574958	0.0074495938147965245
exRNA000066	0.007448583800383778
Sex	0.006971002748152407
cg03767807	0.006722932899179831
HSCRP	0.005905170783207762
SBP	0.005860353253470096
UMA	0.00490822315503576
exRNA000110	0.004583537873793112
TG	0.00417691309029623
exRNA000317	0.004176853300553616
TBIL	0.003997072253455733
exRNA000311	0.0022829788364871263
exRNA000139	0.0020088659508447405
exRNA000050	0.0018537023514362298
exRNA000164	0.001744204169243912
cg05484949	0.001514111317454145
exRNA000822	0.0014052746903083996
exRNA000172	0.0012104485504826432
exRNA000089	0.000887523611501586
WACC	0.0008273379908158237
PLT	0.0007386138380134322
cg06500161	0.0006076200293795044
LDLC	0.0005408158655452476
cg27352622	0.0003355467321455078
exRNA000326	0.0002559718326274685
exRNA000042	0.00023219363947501702
exRNA000035	0.00017513383922833947
exRNA000173	1.9483549227038086e-05
AST	9.798319331780799e-06
exRNA000036	5.915045267204068e-06
