feature_name	feature_importance
PBG	0.1707330441619382
RBC	0.15464361333271986
MS006	0.14725941475222046
MP0193	0.1250781478668895
HOMA.B	0.12496655691113476
MP0174	0.1158769988396106
MP0098	0.11558822621352759
FPG	0.1137682204942879
MP0115	0.10593108681256959
Dose	0.10365787993292855
MP0052	0.09999531835635607
MP0128	0.08945426588988976
MP0156	0.08934151796552485
MP0080	0.08003131873569282
Age	0.07908460876764108
MP0073	0.07682539294735552
cg11078090	0.07557327466625449
HOMA.IR	0.07273743308321018
MP0030	0.07211990469441816
MP0018	0.07126898796259752
MS026	0.07111834185439113
MP0151	0.07041250272757996
CKMB	0.07021080391202854
WBC	0.07001683884991945
HDLC	0.06911307727676269
MP0140	0.06767465524262847
EGFR	0.0675897615587468
cg19076985	0.06611219884195274
MP0015	0.06579849212682826
MS030	0.06410632099819784
MP0118	0.06409887188910432
MP0124	0.06359890441585977
MP0076	0.06280384234473983
ML010	0.06250229786509208
WEIGHT	0.061390312460468145
MP0024	0.0612811478405852
MP0050	0.06106593560048963
MP0126	0.06096779327761065
cg06500161	0.06094771258568647
BUN	0.06083342596701432
MP0005	0.060374364280307145
ML015	0.06004977175111406
MP0141	0.059433102985672004
MP0046	0.05790443209267911
FINS	0.05694820968201215
MP0078	0.056118117454820454
cg00827581	0.05555570687603026
MP0142	0.05480443065578675
MS013	0.054062202679205466
MS004	0.05358154818668017
MP0033	0.05094392757915165
MP0062	0.05092019552136298
MP0013	0.05049698354575907
UMACRR	0.04851491668870428
MS014	0.04726385314952261
UCR	0.04668296109573171
MP0023	0.045961003409175
MP0085	0.04470030585488838
MP0022	0.04457120101207657
MP0100	0.04448224879006053
MP0175	0.04393675519559526
MP0009	0.04315162882842437
MP0113	0.04282661976906685
MP0044	0.042302104347913615
MP0132	0.042020772459952976
MS023	0.04057058828842567
MS010	0.040513639176805186
MP0117	0.03840374850493064
AST	0.03797249466499952
MP0041	0.03753621995202802
MS028	0.03717615659863203
MP0053	0.03655439917410258
HB	0.03627848656987853
MP0164	0.03626391830010271
MP0042	0.03566556632643674
MS027	0.03565462710789542
MP0101	0.034019381215878594
MP0027	0.03348666707790956
MS009	0.032897949469259266
MP0150	0.032454040491311745
Sex	0.03238546129766171
MP0154	0.032054812591616216
cg27352622	0.03100535555400497
MP0082	0.030992530370708277
cg14153852	0.029692751933586066
HCT	0.029246736790402763
ALT	0.029156218762453095
cg21055197	0.028931427818083544
cg00574958	0.02859152480032533
HBA1C	0.028556385316611962
MP0096	0.028276907713330905
MS007	0.028184608729555385
MP0084	0.027732748222109506
MP0086	0.02729787700613796
SCR	0.02632762127773532
MP0045	0.02619985006835433
MS029	0.025488326114953407
cg05484949	0.024936504080685876
MP0159	0.02465639279703731
MP0054	0.024294064418066773
MP0019	0.023507463643974682
cg03629335	0.02350003623781338
MP0035	0.02349287917388928
ML014	0.023413175976168415
TG	0.022622692071425327
BMI	0.021716890943837615
MS018	0.021152789069104064
FFA	0.020954821317652295
DBP	0.02046666238596601
MP0012	0.020055968959208696
LDLC	0.019279619341179766
MS016	0.0190202223632578
MS005	0.018587678482187137
cg03767807	0.017856891556311063
ML019	0.017670606021838182
MP0021	0.017565959723628503
MS002	0.016791742766010854
MP0051	0.016515020514655074
ML012	0.015579806030094444
cg17901584	0.01532629425595565
MP0058	0.015292456219968087
MP0106	0.014516564969042838
MP0105	0.014147466420295
MP0127	0.013888918513699215
MS008	0.013674183471642358
MP0025	0.013476169487503247
ML018	0.013215894206840755
MS021	0.01296403353759703
MS019	0.012832701102478793
MP0122	0.012571757788983333
HSCRP	0.01242843216615486
MP0116	0.012353744655487464
MS001	0.01209447942076171
MS025	0.011825915596383529
MP0017	0.011310802144696024
UMA	0.011115271919879067
MS024	0.01105563596305631
ML013	0.010955332404576615
ML016	0.010955332404576615
MP0038	0.009287455628731971
MP0006	0.009206952767964061
ML017	0.009031209854473114
MP0034	0.008633361124271113
MP0077	0.008016556932932274
TBIL	0.0075758873998252
WACC	0.007537237160249974
MS017	0.007371654367115489
MP0099	0.007046561601680136
ML006	0.006920964964340551
MP0066	0.006883104697073529
MP0074	0.006768802483705713
cg17722508	0.006553219611067155
cg08726900	0.0055328643770400695
MS022	0.005130995432021007
MP0203	0.005101979419526779
MP0047	0.0049800662671136905
SBP	0.004448130823432265
MS015	0.004058118021587797
MP0112	0.0037893524532493297
MP0065	0.0035764281849632227
TC	0.0029333340163421105
PLT	0.002530459629916488
MS011	0.002163806458601163
MP0135	0.0014260500931101774
MS003	0.0011545742767794772
MP0134	0.0005187073597527535
ML011	0.00045387703179029164
MS020	0.0003584122263350462
