feature_name	feature_importance
PBG	0.4042694489250001
HOMA.B	0.3731319454738417
RBC	0.30263417868736076
FPG	0.2247919515192743
Age	0.15915051443600792
cg19076985	0.11032106775827677
cg00827581	0.10981564258996193
HDLC	0.10354992608659556
cg27352622	0.09818651680746843
HOMA.IR	0.09706189711619119
CKMB	0.09573264214799684
BUN	0.08260079361866958
WBC	0.08190023303812609
Dose	0.08016950119048515
cg08726900	0.07619842922778829
cg03629335	0.06510992501940063
FFA	0.061494194496075426
cg11078090	0.05193435134980164
ALT	0.049555430988616915
LDLC	0.04678912361213736
EGFR	0.04466466329191282
cg17722508	0.044656155690333196
DBP	0.04390559846652583
SCR	0.04370836633223509
TC	0.04313859332554043
cg06500161	0.037966516552814016
HCT	0.03758772269051276
cg03767807	0.03586008851960918
HB	0.03528282241993173
UMACRR	0.03281556514794871
cg14153852	0.03261226954438114
FINS	0.0318342156118899
SBP	0.031008952097005462
HBA1C	0.029193453316932082
cg21055197	0.02665809153798792
UCR	0.025938513088328067
UMA	0.025043888090591684
HSCRP	0.024037902039111343
BMI	0.02367309570387522
cg00574958	0.019011138824424508
cg05484949	0.01705185578227673
cg17901584	0.016449086823576004
TBIL	0.015461044908378645
PLT	0.01466759142346964
TG	0.013122611679318802
WEIGHT	0.01060658845846868
WACC	0.010177332042047064
AST	0.00849135908601214
Sex	0.0036046335363271943
