cg00574958	cg03767807	cg06500161	cg11078090	cg17722508	cg17901584	cg21055197	cg19076985	cg03629335	cg27352622	cg08726900	cg05484949	cg00827581	cg14153852
0.08360661	-0.28031063	-0.09110859	0.3877882	-0.28120914	-0.74163616	-0.1979437	-0.071585	0.33828697	-0.2895274	0.46615097	-0.7506971	-0.07460341	0.21131642
-0.4232937	-0.10864091	0.26850414	-0.4457686	-0.5589842	0.43718892	-0.7091662	-0.6282416	0.39214617	0.4750927	-0.15148157	-0.54938364	-0.22551794	-0.6937289
-0.26885104	-0.18236245	-0.021221131	0.48008996	0.47659624	0.14138494	-0.39453173	-0.21231997	-0.29145613	0.4078739	-0.16821057	-0.008053072	0.6410438	1.374689
0.2810637	-0.042471696	0.20635754	-0.7673275	0.19822039	0.66435194	1.0604918	-0.06898151	-1.0228716	-0.40431657	0.5251452	-0.61392945	-0.02156486	1.2624304
0.3389589	-0.32552257	0.43156412	0.3405128	-0.09271119	-0.51517427	-0.6140288	-0.4004496	-0.65798426	0.26540014	0.24804911	0.7675472	-0.45495355	0.37882903
0.0065795667	0.36735424	-0.096572965	0.32888758	0.28661212	0.63790506	-0.29548013	0.038999394	-0.5412655	-0.6923198	0.6449147	-0.30082542	0.0448183	0.46367997
0.3742602	0.5842308	0.14553371	0.3615144	-0.103940755	-0.2531193	-0.24653019	0.61474025	0.18270949	-0.41069	0.3726341	0.112587646	-0.17265357	-0.7237946
-0.16377139	0.5739399	-0.1682924	-0.8891541	0.29415745	-0.009243967	0.42207962	0.4284349	-0.8080629	1.3813057	-0.07725693	0.49477902	-0.02696637	0.06226582
0.19044438	-0.036003802	0.07931705	0.48408246	0.31247982	-0.7159561	0.71398896	-0.24063042	0.23295796	0.33324128	0.053507414	0.9541803	-0.1132927	-0.007940933
-0.39295417	-0.1680491	0.008489992	-0.5540839	0.22637	-0.46859628	-0.27735564	-0.19319549	0.42538676	-0.38918528	-0.19959053	0.03565257	0.8762282	0.9443479
0.34842378	-0.114197746	0.1550273	0.36063942	0.64036846	-0.8237041	-0.17528673	0.024293512	-0.3279872	-0.4295988	0.4110903	-0.7421213	0.17680654	-1.2407166
0.11627623	-0.21676339	0.29724732	0.37109172	0.016032644	0.20958854	0.6457389	0.55367166	0.016423535	-0.00029312447	0.66754395	0.50559807	-0.24910122	0.2763646
-0.32280242	-0.1565975	0.31377625	0.39627057	0.35284638	-0.59885275	0.6048684	-0.35010839	0.085035875	1.1435483	0.53881866	0.61425513	-0.2247347	1.41722
-0.31952703	-0.24214831	-0.49815232	0.3414778	0.50053656	-1.0529052	0.5902338	-1.0576948	0.049990416	-0.47018832	0.08200679	-0.32722098	0.016671976	0.13056275
-0.07098675	-0.13319856	0.52059805	0.25515333	-0.23310459	-0.27063763	0.6182081	-0.08942433	0.07553695	-0.48190856	0.30992493	-0.225233	-0.5592745	1.5066481
-0.24854298	-0.14719205	0.3084888	0.14643376	0.51517737	-0.69199014	-0.13152921	0.77153885	0.19413914	-0.4341986	0.06942037	0.59226215	-0.64209515	-0.5173254
0.005029492	0.040028565	0.063108295	0.005843412	0.036123335	0.7198276	0.17616059	0.598552	0.13700193	0.22847372	0.5570927	-0.23573196	0.16166827	0.370183
-0.33145607	-0.21933617	0.34143192	0.20165189	-0.38506424	-0.0054334085	0.20596756	0.49237525	-0.06234772	0.08090404	0.043675497	0.61778533	-0.60719305	-0.36651444
-0.18595912	-0.079203814	-0.1413585	0.5798834	-0.46463662	0.7795648	-0.0678963	0.76369244	0.25392836	-0.1828533	-0.34142816	-0.261448	0.36721513	0.07904794
-0.26192743	0.6756048	0.023872621	0.47075492	0.19896553	0.32246944	0.9145517	-0.13409977	0.15657961	-0.5026923	-0.18746847	0.0048565157	-0.7307948	0.4286988
-0.08574218	-0.146377	0.5194456	0.17957923	0.24600402	-0.56121844	-0.451753	-1.148528	0.26479945	-0.39609802	-0.30813688	0.039730288	0.42735758	-0.767206
0.31719226	-0.14513066	-0.1428574	0.30322865	-0.012998112	0.25652066	0.6349215	0.41720188	-0.20316568	0.51325625	0.7831195	0.59335315	0.38390115	0.21993631
-0.4052446	-0.28031063	-0.23486654	0.30543596	-0.23381382	0.41645402	0.97253674	-0.26625603	0.09799305	-0.37155947	0.03276141	-0.519128	0.11203061	0.29695293
-0.0034362003	-0.21145183	-0.43940336	0.49418962	-0.18179104	-0.11529891	-0.6830292	-0.58716434	-0.67021644	-0.39383864	0.18013299	0.62996686	-0.6132307	0.09131154
-0.11458837	-0.13319856	0.49138778	-0.02767799	-0.13462844	0.15349326	-0.14150661	-0.09034951	-0.05607796	0.601925	0.2554545	0.62795407	-0.7458971	1.4467943
-0.116110206	-0.039080653	-0.34114248	0.24479565	-0.35173422	-0.77824277	-0.13673094	-1.2513852	-1.055391	-0.37617064	0.18115678	0.56985724	-0.17381722	-0.22691518
-0.082176305	-0.16879481	0.55553305	0.40824282	0.5875503	0.11077914	0.7032394	-0.07560983	0.3267211	-0.24432357	-0.47025612	-0.74538016	-0.91868925	0.7116969
0.37592006	0.007664088	0.5468202	-0.4531474	0.39620325	0.032470867	0.26788417	0.79568684	0.34646055	1.3723795	0.19948131	0.45179552	-0.63023806	0.45641464
-0.31655872	-0.38056016	0.24284402	0.42090628	0.6897476	0.83018607	-0.51007456	1.006934	0.12474748	1.3540789	0.29709524	-0.65455705	0.06943585	-0.2654946
-0.18265966	-0.062307645	-0.41272518	0.24593681	-0.482154	0.16107471	0.77691483	-0.0828252	0.4994202	-0.59493726	0.09135022	0.6201451	-0.6689138	1.5649288
0.41813132	-0.22192857	-0.04473795	0.30570853	-0.96390563	0.35133547	-0.15313853	-0.996567	0.58648694	-0.51373893	0.32289279	-0.21013644	0.041061316	0.39965954
0.49017742	0.7816163	0.582926	0.06882482	0.65831196	0.9368395	0.7683246	-0.16035025	-0.06377271	0.23658441	0.3059005	0.31741077	0.28756955	-0.0011000764
-0.37688902	-0.11833316	-0.3758724	-0.15074506	0.058692455	0.031953197	0.7420841	-0.7974221	-1.001561	-0.4877807	-0.53925323	0.23183136	-0.06385239	1.0767884
0.09361309	-0.21185474	0.4474475	0.32029888	-0.22382396	0.36242425	-0.3556711	-0.25073525	0.07907512	0.6519589	-0.3130763	-0.11782854	0.9117991	0.98723733
0.09281428	-0.23276919	-0.1665901	0.6891402	-0.4506474	-0.8986425	-0.05076322	0.6468155	0.5508519	0.9981368	0.0062606744	-0.3942851	-0.009058835	1.640873
-0.41135556	-0.13585074	-0.12698656	-0.59335476	0.36546224	-0.279049	0.6569538	-0.2089576	0.2741369	-0.54358846	-0.9284644	0.47992265	-0.19402967	-0.37164822
0.25719795	-0.17502463	0.36755022	0.10157992	-0.16150066	0.18004814	0.73705816	-0.14640795	0.024329517	0.4786511	-0.0059969164	0.3566184	-0.2632804	0.16040282
-0.2381927	0.60338855	-0.075046465	0.08247695	-0.117213026	-0.5733358	-0.47547626	-0.451455	0.18033287	-0.35375574	0.14999178	-0.31511837	-0.70004725	-0.076360755
-0.24908194	0.10557377	-0.34461692	0.2944204	-1.134836	0.09355443	-0.5052237	0.7576632	0.19335632	-0.48432872	0.43163645	-0.18226108	0.97855866	-0.8842999
-0.06193137	-0.2576005	-0.3128666	-0.4318567	-0.30458826	-0.13169095	-0.10341924	0.8434491	0.05425832	1.4439597	-0.53950936	0.5655555	-0.7182435	-0.7596833
0.16911009	-0.3552246	0.20790914	-0.35145044	0.28702626	0.664821	-0.3025638	0.62555933	0.29705194	-0.39082125	0.31955218	0.08776976	-0.6273146	0.41355097
-0.41054028	0.6232245	0.12072452	0.4550352	-0.32285103	0.8980686	-0.38521707	-0.21170282	0.12032314	-0.2833436	0.43485475	-0.6929708	-0.16391303	-0.05590894
-0.31994504	-0.32552257	0.42903355	0.3958398	-0.3767503	-0.7587764	1.1301899	-0.15876038	-0.73647606	-0.29873323	0.49757114	0.7675472	-0.57608944	-0.13778144
0.06200605	-0.24478713	0.36738425	0.32435498	-0.44680375	0.036979713	-0.4482812	0.660494	0.14258556	-0.44005403	-0.02997363	0.74851	-0.84334856	0.5922289
-0.028413944	-0.28714094	-0.12211236	0.37792766	0.76918256	-0.13755503	0.98437214	0.518974	-0.14397725	-0.4302186	0.5120416	-0.07248565	0.9498511	-0.14279374
0.059769697	-0.32816112	0.40532357	0.13930757	-1.4496826	0.46015775	-0.07244002	0.7581465	0.30358723	-0.6836775	0.6725833	-0.23004445	1.0619493	-0.88039726
0.05672912	-0.3483809	-0.3220999	0.28863323	0.7088835	0.3463521	0.123727016	0.5145876	0.08990392	0.22866015	0.48436415	-0.68008024	0.017351642	-0.42313504
-0.088395625	-0.20601614	-0.24383757	-0.2960577	-0.18195093	0.019764049	-0.52640796	-0.34247875	0.19696254	0.11674364	0.21271819	-0.6111308	0.009656902	-0.4948395
-0.0780538	-0.110057935	0.35169137	-0.8606668	-0.32759443	-0.35331374	0.056468435	1.1596295	0.4747881	-0.06643533	-0.23295882	0.39765316	-0.43488088	0.8269802
0.06872469	0.0922474	-0.21851864	-0.40227664	0.17885593	-0.50173175	0.58913404	-0.35170075	0.54153657	-0.6036639	0.3346987	0.44926876	-0.21866345	0.08492778
-0.19738293	0.083363876	0.29402408	0.2116971	-0.66984624	-0.5567729	-0.4641471	-0.57623434	0.09896059	-0.46758002	-0.5390172	0.65189	-0.3141802	0.4067671
0.21834762	0.014914513	-0.2960586	0.4644396	0.032773487	-0.005202627	-0.12731256	-0.08306606	-0.11677304	0.25867134	0.088954106	-0.72013634	-0.25087893	-0.46629494
0.03270086	-0.106169194	-0.4108375	0.376409	0.5490198	0.15410501	0.76146364	-0.5397281	-0.016511165	0.004459683	-0.9088114	-0.18432355	0.32453963	0.5628158
0.046138987	0.109336466	0.14544478	-0.7666085	-0.37572497	-0.295747	-0.71345305	0.32740015	-0.87161106	-0.38661075	0.013011869	0.14444762	0.13566323	1.1230149
0.038980603	-0.007888246	0.06691922	0.24585146	0.03428041	0.4143359	0.71248835	-0.21739526	0.41361552	-0.51020867	-0.8338565	0.04806988	-0.7820538	-0.084138654
0.14870255	0.8670806	-0.43635067	0.3723969	-0.30745935	0.09062275	-0.5188185	0.49055368	-0.049519558	0.45344725	0.45659256	0.8533322	-0.62669903	0.1571451
-0.07665633	0.1119706	-0.4108114	0.28399903	0.64033246	0.1773249	1.1239593	0.3701751	0.60535294	0.14348824	-0.42943943	0.111727476	-0.33428144	-0.25954413
0.2482985	-0.45688322	-0.36539668	0.06045121	0.41316116	-0.023790436	-0.595378	0.40758672	0.13456228	-0.444902	0.104160145	0.54206735	-0.47697562	-1.3127844
0.17550772	-0.31162858	0.16480124	0.5144963	-0.80661154	0.7387383	-0.508498	0.115379386	0.10924112	0.4718769	0.658644	0.091376975	0.2387049	-1.354059
-0.23069082	-0.16070116	-0.11570263	0.46744764	-0.49537066	0.46063536	-0.0108777415	0.7098528	-0.19889137	0.41536653	0.64580643	0.3167016	0.034440503	-0.7323431
0.107478	-0.2556501	0.41070503	-0.7623	-0.2842753	-0.08534935	-0.37271434	-0.34359196	0.28247753	0.3159075	0.2997889	0.6831409	-0.34298283	0.18539238
-0.050396092	0.990162	0.04312379	0.30238506	0.23041154	0.8152731	-0.56520957	-0.72269887	0.30451605	-0.06749052	0.5241013	0.07786468	0.93420565	-0.20116408
-0.20643945	-0.10367149	0.4180465	0.17179766	0.46615726	-0.5182337	-0.14434378	0.4989838	0.26058978	1.1726778	-0.13658716	0.9738883	-0.42510736	-0.56094414
