feature_name	feature_importance
exRNA000673	0.08683144843848697
exRNA000005	0.07872760937469458
RBC	0.07325985957498314
PBG	0.07125009556090942
MS006	0.06881565962761092
FPG	0.06852924136313013
HOMA.B	0.0654276220594803
CLU	0.05600223161181302
MASP2	0.055015887912381836
GPX3	0.05227294090752392
MP0151	0.050251999926230764
MP0193	0.04930626603663105
APOA2	0.04695025724476514
Dose	0.044906889618672334
MP0174	0.04394465952288488
exRNA000017	0.04384350808596844
STXBP5	0.043764926730912014
Age	0.04331945245353679
LYZ	0.043102083762197416
MP0076	0.0416707120930861
FCGBP	0.04129466740781638
MP0052	0.0390500886938847
RACK1	0.03853802002745617
MP0050	0.03828586002145492
FGG	0.0374326045981939
CAMP	0.036696365744888534
VTN	0.0360671048887386
MP0128	0.035825169776472404
CPN1	0.034969953447980325
WBC	0.0346180499303484
MP0141	0.03458618247469266
MP0046	0.034353840946914814
TAGLN	0.0342075433730902
MP0113	0.03398621859475589
MS030	0.03343831247851162
MP0156	0.03340209296126001
GSN	0.03323139983190496
HBZ	0.03303373073835074
exRNA000344	0.032516770177829016
MP0042	0.031987801953950505
AFM	0.03198380972653233
exRNA000047	0.03080771769030439
PON1	0.03070646574989445
TF	0.03069040360908604
USO1	0.030690126384381934
cg00827581	0.03029062697354844
SERPINA7	0.03024318278828187
APOC2	0.0302221340570239
MP0115	0.030215337967215726
HDLC	0.029873788460716897
GNA13	0.029862733100481785
HB	0.029766491947640052
EGFR	0.029678416453351623
HBA1C	0.02965563515263262
MP0142	0.029621493503907248
exRNA000565	0.029399344903414518
cg19076985	0.029096479342815125
IGHV3.72	0.02905560937389798
exRNA000311	0.02899028322669074
RPS3	0.028965580654135615
CHL1	0.028843909572203848
MP0126	0.02877314381578558
A1BG	0.02854024878982406
MS026	0.02836064697413233
C4BPA	0.027988223347036125
exRNA000130	0.027769419739426576
APOH	0.027693828551167744
MP0018	0.02753524039837509
ORM1	0.027450355598035606
MP0080	0.027420456337161486
FINS	0.02738387278385386
cg11078090	0.026992779025091562
UCR	0.026752859615721918
CFHR1	0.02625362774032792
HCT	0.02613518763239197
MP0073	0.02603205756222015
MS013	0.02575875906721976
CGREF1	0.025593970074954512
CFH	0.02545620300788442
exRNA000183	0.02543883502269352
MP0009	0.025296311524775753
exRNA000348	0.02523564751397294
CKMB	0.025139663707892574
exRNA000251	0.024995821588134036
PZP	0.02498419531028487
MP0101	0.0247833307831369
ITIH4	0.02454109032299949
WEIGHT	0.024069284867641455
exRNA000250	0.024056606372401076
MP0124	0.023741131105969357
exRNA000760	0.023560158295984623
BMI	0.023101497464257513
BUN	0.02306241273470735
ML010	0.022605084872566007
MS014	0.02246655903998266
FGB	0.022429923379605348
MP0062	0.022424420153708272
exRNA000067	0.022323941480350506
exRNA000003	0.02206381717055949
exRNA000077	0.021836559496107258
MP0074	0.021773139668444273
MP0065	0.02159014232267367
A2M	0.02158184860747908
HOMA.IR	0.021327663537793005
ACACB	0.021134095347946438
APCS	0.02079654904758313
SCRIB	0.02065639790103716
IGLV3.19	0.020505794730433034
exRNA000004	0.02041547550350561
SCIN	0.02022442934250198
MS009	0.019951405202435168
RPIA	0.019888711578843057
GIT1	0.019879811700054532
MP0098	0.019824484601583762
MP0078	0.01974980038741939
FBLN1	0.019702926087456697
exRNA000165	0.019571060527663872
