feature_name	feature_importance
PBG	0.12464714540939077
HOMA.B	0.11112382220669148
FPG	0.07879585596238549
RBC	0.04798015446838621
GPX3	0.041382121648241704
APOA2	0.037454900102694505
APOC3	0.022186577327568534
HBA1C	0.02128222965464264
CLU	0.021257992656548184
FGG	0.020018309197067607
MASP2	0.019414451063550338
PON1	0.01919895241059885
FBLN1	0.01892071251326896
cg19076985	0.018202234161994207
Age	0.017784982796201103
STXBP5	0.016186355994488758
RACK1	0.015219480963573862
APCS	0.014622570772450836
CFHR1	0.01387891650858158
USO1	0.013469137063794403
HB	0.013394209239838414
FGA	0.01296133127310945
AGT	0.012718847447951346
CPN1	0.012705039220417408
LYZ	0.01233139782599759
FINS	0.012315857458006316
NXF1	0.012131389984550526
FGB	0.011482050622016488
RPS3	0.011211295094349955
FCGBP	0.011054245096206993
GSN	0.010904382449632467
SERPINA7	0.010871275797014822
ARID1A	0.010847992928120791
HCT	0.010846556962718192
A1BG	0.01061157099518642
Dose	0.010594726641309213
APOC2	0.010264878285224583
BMI	0.009890782137964389
GNA13	0.009885303864066056
HDLC	0.009825766780960195
HBZ	0.009751828991731288
cg11078090	0.009731234116706441
CAMP	0.009694942665385179
VTN	0.00951287695747839
BUN	0.009413653699866853
EGFR	0.009161994879608833
cg00827581	0.00913640648556025
AFM	0.009133071624012902
YWHAQ	0.009091824225923417
IGHV3.72	0.008752063938475359
WBC	0.008598013601062411
CFH	0.008452505956698156
ITIH4	0.008436782525714448
SERPINC1	0.008326854192698541
APOH	0.008104249573412962
ORM1	0.008094716190835129
PIGR	0.008012376517519822
CPB2	0.007881175494838556
YWHAG	0.007706261521326602
RCN1	0.00769814292979802
C9	0.007274574738127692
ALT	0.007196833204819606
UCR	0.007099799527597123
ADIPOQ	0.006962667269153467
F10	0.006821884887765424
CGREF1	0.00670075925495626
IGLV3.19	0.006672614368862036
cg14153852	0.006576339879338248
CD163	0.006474246921541176
AST	0.006399757650371709
SCRIB	0.006381125419823989
C3	0.00618716426752655
APOA1	0.006071132699174382
HDHD2	0.005805126097745956
SCIN	0.005793964556378857
HBB	0.005778666911873461
HOMA.IR	0.005704304182849516
WEIGHT	0.005688139520621342
SERPINA3	0.005506380843798779
IGHV4.39	0.005498478310717772
cg05484949	0.005484663816750375
CKMB	0.005338414450188898
MNDA	0.005321949673206741
CHL1	0.005313637460052918
SYTL1	0.005165090573523815
TMEM256	0.005126668294591229
WACC	0.00507299654847042
PI16	0.00503502420017683
GSTM2	0.005032294467864126
NSF	0.005000105445886948
FETUB	0.004971613089583316
SHBG	0.004871766741756272
TF	0.004711842351132539
CFHR2	0.004710775017878536
CFD	0.004708462224393476
HSPA9	0.00464103410841435
ACACB	0.00462221126173248
HABP2	0.004551997495045951
MAN2A1	0.0045372281836363985
C8G	0.004497291765201863
SERPINA6	0.004468384974627064
C1QB	0.0043861262840491225
cg03629335	0.004326271742518927
CRP	0.0042650881147112425
TAGLN	0.004234533154929865
G6PD	0.004232367901523777
A2M	0.0040803218605552066
APOE	0.004032723312737399
PZP	0.004010358897662864
IGFBP2	0.003955909315500057
LPA	0.003923327336771402
cg06500161	0.003907075867678909
IGLV3.1	0.003829460348845669
L2HGDH	0.0036889318992016783
PGLYRP2	0.0036256221224116613
CELA3A	0.0035960357415193624
C8B	0.0035874982671847
HSPG2	0.0035294035637058797
TC	0.003529116800546609
FUBP3	0.003450691987488115
FCGR3A	0.0034201155532485867
ACACA	0.0033560587131690463
FFA	0.0033559730255470622
EPCAM	0.003281239972581522
cg03767807	0.0032569472518650952
GGT1	0.0032436056081856465
AKR1B1	0.0031219544259250918
PRB3	0.0030212995719878857
APOA4	0.0029079699871590874
PPP1R9B	0.0028417339700251777
SLC35B2	0.0027999593768940705
APOB	0.0027807489899711463
cg17722508	0.002627404227724776
CFHR3	0.002600624532083292
PLT	0.0025912075966929263
ZFYVE19	0.0025216537406645765
cg17901584	0.002373240620688034
NAP1L1	0.0023600385470341745
TUBA3C	0.0021942311603297703
TUBA3D	0.0021942311603297703
MASP1	0.0021783020717908697
TBIL	0.0021724254527558267
cg27352622	0.002160362809932017
SAA1	0.0020956998066793465
C4BPA	0.0020889126639174796
TIMM44	0.001979108328274733
cg00574958	0.0019670565921675815
PTPRG	0.001965972441381916
SCR	0.001941418472968152
HSCRP	0.0019010680690353088
cg08726900	0.0017793785382897833
S100A9	0.001746749817755853
GIT1	0.0017359112420931545
VASP	0.001688779213718904
PCYOX1	0.0016635044767562982
DBP	0.0015742320563616637
UMA	0.001569106919664498
SLC4A2	0.0015410781493978348
AMPD3	0.0015392237056986292
CPB1	0.0015042790207324902
TTC37	0.001480976013917379
LTF	0.0014776027315057479
PCBP2	0.0014414778395347805
GMPS	0.0013754279762016447
TUBA8	0.0013561393906738075
FCN3	0.0012951828435449708
APOF	0.001289280196069786
cg21055197	0.0011504024699655138
Sex	0.0011406288840050283
KNG1	0.0010726666617396014
PRG4	0.001055973202798519
GSTM4	0.0010332585552983366
MX1	0.0008475208748333526
LDLC	0.000746747561101537
GSTM1	0.0007383492712131622
SFN	0.0006459510870390587
APOD	0.0006288061755163388
RPIA	0.0006064796406366921
TUBA4A	0.000594832061419227
SPG11	0.0005890686163611686
APOM	0.0005886105921303011
CLEC3B	0.0005792893665050205
CP	0.000558373031918103
TUBA1A	0.0004962569425407533
SBP	0.0004290408916876372
METTL18	0.0003885610804943964
UMACRR	0.0003510967624042757
PRSS1	0.00033556858471467204
TUBA1B	0.00031247395302338814
RMC1	0.0003035993947220268
AHSG	0.00028096932550809644
TG	0.0002621913935452423
YWHAH	0.00026089787445320565
C2	0.0002529124497057204
MFGE8	0.0001951511075363762
ALDOB	0.00017260921008034754
S100A8	0.00014424868638220726
TUBA1C	0.00013945964124212985
APOC1	0.00011077396664781261
F13A1	5.179486288890964e-05
AKR1A1	4.851753367858381e-05
