feature_name	feature_importance
PBG	0.49313474135531693
RBC	0.36767481236945887
MP0174	0.35925100876587374
MP0193	0.31752866212361647
MS006	0.28900130478705033
MP0115	0.2723543286428284
HOMA.B	0.23346640094388338
MP0128	0.19394872438927732
HDLC	0.1871551106767145
MP0050	0.1646964441485642
MP0052	0.15758380387827323
MP0113	0.1437236680212983
Dose	0.14146432124399985
MP0076	0.1367515796233906
HOMA.IR	0.12660889414154045
cg19076985	0.12452707086810359
MP0124	0.11805138444059894
MP0044	0.11589604773952336
WBC	0.11527836717534175
UMACRR	0.10956359323288113
MP0140	0.10828587709758349
MP0142	0.10270769545959423
Age	0.10064760884811995
cg00827581	0.08766544391335387
MP0030	0.0723965878138606
MP0013	0.0719590824728886
MS026	0.06286023440931035
BUN	0.06014992372937292
CKMB	0.05867326689107143
MP0118	0.058455672709485366
MP0151	0.054095320352318746
MP0156	0.05339401018503676
MP0175	0.0525879650818468
MP0023	0.05245310309623145
cg03629335	0.05045300047094849
cg06500161	0.05004003968206861
MP0141	0.04783778269066854
MP0078	0.04657801300368711
MP0132	0.043023438273381044
MP0085	0.040730531396832956
MP0080	0.03860701403101993
MP0046	0.03754545809213131
MS010	0.037400523644227794
FPG	0.03618359748806821
MS009	0.03238633706770714
cg11078090	0.03084655212040359
MP0062	0.030613348518205356
MS004	0.02843704984271094
HB	0.022153574113145637
DBP	0.017962255843818713
MP0073	0.014693625413773913
WEIGHT	0.013893707894355598
MS013	0.013858152161635825
MP0018	0.0089989657554517
MP0009	0.0078102759138885276
MP0065	0.007706391897501957
MP0126	0.004479280038907669
MP0005	0.0020985550896526293
HSCRP	0.002024093575250639
ML006	0.0
ML013	0.0
ML012	0.0
ML014	0.0
ML019	0.0
MP0203	0.0
ML015	0.0
ML016	0.0
ML011	0.0
MP0159	0.0
ML010	0.0
MP0164	0.0
ML018	0.0
ML017	0.0
HBA1C	0.0
MS003	0.0
MS018	0.0
cg05484949	0.0
cg08726900	0.0
cg27352622	0.0
cg21055197	0.0
cg17901584	0.0
cg17722508	0.0
cg03767807	0.0
cg00574958	0.0
MS029	0.0
MS028	0.0
MS027	0.0
MS024	0.0
MS023	0.0
MS021	0.0
MS019	0.0
MS017	0.0
MS016	0.0
MS015	0.0
MS014	0.0
MS011	0.0
MS008	0.0
MP0154	0.0
MS005	0.0
MS002	0.0
MS001	0.0
MS030	0.0
MS025	0.0
MS022	0.0
MS020	0.0
MS007	0.0
MP0101	0.0
MP0150	0.0
MP0033	0.0
MP0025	0.0
MP0024	0.0
MP0022	0.0
MP0021	0.0
MP0019	0.0
MP0017	0.0
MP0015	0.0
MP0012	0.0
MP0006	0.0
Sex	0.0
SBP	0.0
WACC	0.0
BMI	0.0
HCT	0.0
PLT	0.0
UMA	0.0
UCR	0.0
SCR	0.0
EGFR	0.0
TBIL	0.0
AST	0.0
ALT	0.0
FFA	0.0
LDLC	0.0
TC	0.0
TG	0.0
FINS	0.0
MP0027	0.0
MP0034	0.0
MP0135	0.0
MP0035	0.0
MP0134	0.0
MP0127	0.0
MP0122	0.0
MP0117	0.0
MP0116	0.0
MP0112	0.0
MP0106	0.0
MP0105	0.0
MP0100	0.0
MP0099	0.0
MP0098	0.0
MP0096	0.0
MP0086	0.0
MP0084	0.0
MP0082	0.0
MP0077	0.0
MP0074	0.0
MP0066	0.0
MP0058	0.0
MP0054	0.0
MP0053	0.0
MP0051	0.0
MP0047	0.0
MP0045	0.0
MP0042	0.0
MP0041	0.0
MP0038	0.0
cg14153852	0.0
