HBA1C	FPG	PBG	FINS	HOMA.B	HOMA.IR	TG	TC	LDLC	HDLC	FFA	ALT	AST	TBIL	BUN	EGFR	SCR	UCR	UMA	UMACRR	CKMB	HSCRP	HB	PLT	HCT	RBC	WBC	BMI	WACC	WEIGHT	DBP	SBP	Age	Sex	Dose	cg00574958	cg03767807	cg06500161	cg11078090	cg17722508	cg17901584	cg21055197	cg19076985	cg03629335	cg27352622	cg08726900	cg05484949	cg00827581	cg14153852
0.038916975	0.34422702	-0.958045	0.025683017	1.2517593	0.34193346	0.019076642	-0.049615316	0.13827527	-0.21182078	-0.008121982	0.07245691	0.0032026516	-0.03362994	0.12035176	0.06793459	-0.08939817	0.008150034	0.042174816	-0.048874784	0.8129969	-0.045543596	0.0014097141	-0.06590512	-0.030223636	0.5976505	0.08339213	0.099602215	-0.028213078	0.0	0.19036067	0.10355599	0.21750133	0.0	-0.005616943	0.019990453	-0.03932087	0.1166912	0.04840493	-0.022532608	-0.01560095	-0.06749003	-0.17641535	0.17514364	-0.29158974	0.21820435	0.016452555	-0.17611562	0.04883158
0.043332748	0.42898107	0.88500094	-0.033809364	0.894542	-0.15213552	0.009807361	0.07700463	-0.26711965	0.014915718	0.15728065	0.083125174	0.018744329	-0.010345467	0.118785456	0.058823787	-0.0906023	0.039806824	-0.04327347	-0.028112212	-0.1024673	0.18901849	0.025540791	-0.06835002	-0.009155308	-0.46975052	0.0814702	0.021349743	0.0026028864	0.0	0.09214708	0.008071465	0.260732	0.0	0.009349149	0.016440425	-0.099295974	-0.1628481	-0.040899113	-0.120296985	0.040952846	-0.06587238	-0.107454635	-0.0029863678	0.106324255	-0.28252783	-0.004213586	-0.25444677	-0.040403057
0.080676176	-0.4404389	-1.2880948	0.08561856	1.2672906	0.267833	-0.08477205	-0.08353314	-0.062881626	-0.058338366	-0.05617883	0.043251112	-0.0004234477	-0.03362994	-0.24088094	-0.066285126	0.14360934	0.089103326	-0.061325923	-0.011566242	-0.16356727	-0.014079745	0.0035925545	0.012927499	-0.06765917	-0.38033003	0.20508319	-0.016897604	-0.028213078	0.0	0.20743173	0.02068822	0.05323893	0.0	0.0055283774	-0.013845801	-0.08113537	-0.24189843	0.036944874	0.11496555	-0.06810323	-0.06919866	-0.24969195	0.081211306	0.18952295	0.112714015	0.01386822	0.6037455	0.08139376
-0.0059619397	0.2537422	0.5982709	0.08561856	1.0132465	0.32125497	0.014802758	0.15440205	-0.065163784	0.06244316	0.020251637	0.14465818	0.018744329	-0.0150382295	0.24453585	-0.28020585	0.18924908	0.06319693	0.106968075	-0.0052055437	0.46942213	-0.030503646	0.029297188	-0.015739543	-0.031925105	-0.26927465	0.0929583	0.0013931803	0.0026028864	0.0	-0.066758685	-0.053528942	-0.2963062	0.0	0.060976982	-0.014808091	-0.10902941	0.031256404	-0.040899113	-0.1878834	0.063534774	0.21492176	-0.10518358	-0.47509205	-0.26768497	-0.072310016	0.0031894185	0.11317118	0.04502734
-0.16563223	0.0667824	-0.27559194	-0.010141802	0.6100671	0.06749154	0.014802758	-0.053387206	0.002521433	0.034792203	-0.22003824	0.07704246	0.002502948	-0.016781677	0.15890843	-0.034963466	0.08232503	0.049912587	0.102222286	-0.01793371	0.46738824	-0.049500603	-0.04766036	-0.020446997	-0.114425756	-0.43016264	0.11143401	0.0013931803	-0.028213078	0.0	-0.10298361	0.22762619	0.10535324	0.0	0.060976982	0.021879973	-0.035251528	0.10506411	0.04096116	-0.14515772	-0.011355529	-0.0865207	-0.21100736	-0.5991783	0.23043716	0.06433073	-0.025900804	-0.28966105	0.04502734
0.011662371	-0.0021150382	-0.32437688	0.025683017	0.9813638	0.18115117	-0.050081227	0.051164053	0.0678419	-0.22827947	-0.17723726	0.13823082	0.004424897	-0.018191244	0.103708535	-0.07277098	-0.08288828	-0.11718579	-0.00563156	0.15214923	0.53309023	-0.08035218	0.025614	-0.002835826	-0.04259132	-0.1898655	-0.23456886	-0.019937895	-0.015057633	0.0	0.14675911	0.16720383	-0.09935068	0.0	-0.011561049	0.11289726	0.04683792	-0.18870977	-0.004367695	0.327685	0.22612517	-0.0865207	-0.028482227	-0.58959776	-0.21231969	0.061899737	-0.035138883	0.21190822	0.04502734
0.029822357	-0.24821092	-1.0330902	-0.033809364	-0.74695677	-0.084133655	0.083218046	0.12134675	-0.07698515	-0.22516018	0.13805825	0.13202725	-0.023244996	-0.100676	-0.1647603	-0.0388779	0.17048319	0.004496835	-0.01577574	-0.08120587	0.62499547	0.043084443	-0.025850147	0.017611168	0.27133757	1.0341117	0.1847252	0.002272266	-0.016113598	0.0	-0.044256803	-0.034636825	0.19471277	0.0	0.0055283774	0.012352355	0.0758915	-0.037612032	0.059604198	-0.028372493	-0.02715857	0.0012178645	0.6925217	0.104877464	-0.34510395	0.045495488	-0.007079549	-0.11894585	-0.04566708
-0.03884287	-0.3662961	-0.62178123	-0.0062870714	-0.7805805	-0.12614602	0.03610359	-0.07657766	0.07101029	-0.13360721	0.248751	0.0042897556	-0.023244996	-0.042233128	-0.13753721	-0.044330724	-0.11942997	-0.030245896	0.009569068	0.022516277	-0.11475982	0.039913543	0.054789305	-0.015739543	0.38790706	0.8593463	0.1759213	0.0236868	0.0075669102	0.0	0.10299276	-0.03965342	-0.12697108	0.0	0.019242845	0.06804845	0.29513738	-0.088921584	-0.20698573	-0.15834889	-0.09184972	0.097139545	0.033071276	-0.29387444	0.531802	-0.20829622	0.08354675	0.124740556	0.009774685
-0.008477725	-0.4617858	-1.1778599	-0.033809364	-0.7992757	0.062389374	0.083218046	0.05489322	-0.05417117	-0.026795164	-0.08866267	0.13327795	-0.023244996	0.04142192	0.07258472	0.14084531	-0.10543949	0.025538739	-0.019137854	-0.04494686	0.5059128	0.03409794	-0.047979787	0.0018716287	-0.1869163	-0.56015366	-0.37725905	-0.016897604	-0.028213078	0.0	-0.04393575	0.024309559	0.14921844	0.0	-0.0033214337	-0.03745511	-0.051876254	-0.17595556	-0.028007139	0.073026225	-0.059923567	0.16156508	-0.24194714	0.14029302	0.31794313	0.10830251	0.16314629	-0.096520066	0.04502734
-0.029767215	0.4227762	0.0826486	-0.010141802	-0.49725682	-0.15839419	0.065796986	-0.05464021	0.07264303	-0.24025744	-0.3667076	-0.23179747	0.016822381	0.010033922	0.115706414	-0.015702907	-0.268176	-0.0458533	0.0054979622	0.09572921	0.68781656	0.022189904	0.00029499177	0.04991216	-0.0002303347	0.1508933	-0.062315833	0.0351111	0.0026028864	0.0	-0.09307605	0.048192613	0.34144557	0.0	0.009349149	0.020944558	-0.053662606	-0.04909399	-0.22715127	0.17623365	-0.015128443	-0.023255497	-0.27496284	0.14962804	-0.15217616	-0.314316	0.04377888	0.2986238	0.056131605
