feature_name	feature_importance
PBG	0.059868973755220385
MS006	0.05800527615286288
FPG	0.05585056632679582
RBC	0.05003203102860339
HOMA.B	0.04523453884749725
MP0156	0.038320105209218074
GPX3	0.036499580943101156
STXBP5	0.036471252522347467
CLU	0.03626768563195075
MP0080	0.03435138884407573
MASP2	0.032993046509129084
MP0193	0.03222781731196803
LYZ	0.03160777055664444
MP0042	0.030744095748650977
FGG	0.030598329234724005
MP0151	0.03035414332848313
Age	0.030070090624867558
HB	0.02923679252628585
MP0128	0.028796744867364603
RACK1	0.0285463808656083
APOA2	0.028219815551246186
FCGBP	0.02707986569043134
HBA1C	0.026780029983357313
SERPINA7	0.026614895735744184
MP0050	0.026544990714791116
MP0174	0.026511779468357418
APCS	0.02602161301624676
USO1	0.02587828521438615
MP0141	0.024983335929201773
CAMP	0.024974373750490844
MP0134	0.02481659261202449
MP0142	0.02469244448302
HDLC	0.024458227885097515
FINS	0.024258705820719737
MP0018	0.02409886173617601
MP0052	0.02409827432211023
MS004	0.024081077493149163
GSN	0.023962649050094594
AFM	0.023359749935067665
MP0076	0.023198252181951783
A1BG	0.02312890763250014
FBLN1	0.023055828946904378
FGB	0.022880826762745672
MP0009	0.022827661023274968
Dose	0.022783970252066556
CPN1	0.022689258519229025
HCT	0.022360003955786124
cg11078090	0.02197677673170542
RPS3	0.021968466717763337
EGFR	0.021837561516872828
MS026	0.020918862787693473
CFHR1	0.019871872550073243
IGHV3.72	0.019814670439831518
PIGR	0.019813394857099292
MP0124	0.019803912120405737
GNA13	0.01967566709698423
MP0140	0.019492227568036473
PRB3	0.019303493616251038
MS030	0.0190604247729788
cg19076985	0.019032829768438543
WBC	0.019012341817622028
PON1	0.018953837434500423
BUN	0.018780201313341842
YWHAG	0.018575504977525015
BMI	0.018557332449792106
APOC2	0.01855294166826429
SCRIB	0.01845940747101754
MP0046	0.01818388576258825
CPB2	0.017655076077869942
MP0084	0.017653394282927157
MS013	0.01762826679303455
MP0126	0.017361199884978144
VTN	0.01730959557484291
MP0073	0.017292816800234777
MP0101	0.01715793387019487
MP0062	0.017118681802357295
APOH	0.01698372177741086
MP0013	0.016629663663803296
HOMA.IR	0.016238460930459563
MP0030	0.01620794487409673
MP0113	0.016049810989237665
FGA	0.015926211637369504
CGREF1	0.015924853081080822
cg00827581	0.015338741812202938
MP0074	0.015164754001370974
HBB	0.015067321913538009
NXF1	0.015021393708489704
MS009	0.01498302347500164
C9	0.014873061439319888
MP0115	0.014861284562175645
cg14153852	0.014778908249018455
CFH	0.014778381405320172
SERPINC1	0.014627864882235773
MP0065	0.014625567941070351
HBZ	0.014545389305764527
MP0012	0.014487937120040055
MAN2A1	0.014467491361403923
TF	0.014360968310471636
UCR	0.014250880441194774
MP0033	0.01403773920175538
ALT	0.01395119976842439
C3	0.013628279208752161
MS016	0.013453538403402786
ITIH4	0.013232796024577602
GSTM2	0.013151971970086926
CFHR3	0.013139604786900823
ACACB	0.013071678069933375
MP0077	0.01303128487142043
CKMB	0.013005472073468057
MP0005	0.01300533054884284
MP0024	0.013004104318477275
MNDA	0.012999024282470626
MP0096	0.012765448443183286
AST	0.012748736835944288
IGLV3.19	0.012744458906382056
RCN1	0.01258657942520915
HSPA9	0.012407880004692269
NSF	0.012335303990523678
SHBG	0.012333562478340712
MP0127	0.01222673306346262
MP0015	0.012188128728217036
APOA1	0.012174729543105516
TAGLN	0.012156212448020535
MP0086	0.012087821299674683
SYTL1	0.01206701906990443
MS028	0.01195832629171632
SCIN	0.011919365831317053
C4BPA	0.011737631909089049
CHL1	0.011678550573269273
MP0041	0.011665414383317203
MP0132	0.011583168085814732
MP0085	0.011541995266121902
WEIGHT	0.011531680815686287
cg06500161	0.01145342521604355
MP0100	0.011147864202917837
APOC3	0.010929722003910415
C1QB	0.010852416349613932
MP0112	0.010852380149887838
CD163	0.010620341071004711
F10	0.010553014416684754
PLT	0.010546676387950395
MS021	0.01052830037038381
PI16	0.010360745613226594
MP0078	0.010261663659184633
MP0175	0.010033373166686831
SERPINA6	0.009966543688605686
CFD	0.009914512052291973
MP0116	0.009864155307861059
MP0044	0.009820317804500656
IGHV4.39	0.009650489990939558
HABP2	0.009496379517728894
A2M	0.009481315790036818
DBP	0.009289343124968843
