feature_name	feature_importance
MS006	0.16220427
HOMA.B	0.10885924
PBG	0.07492769
MP0151	0.024605844
MP0193	0.017215993
MP0174	0.012307594
MP0080	0.011584995
MP0025	0.011025063
MP0128	0.010116328
cg19076985	0.010044713
MP0062	0.007285266
MP0164	0.00711116
MP0009	0.0071045347
FPG	0.0052839043
MP0033	0.0052424613
MP0124	0.005128606
MS028	0.0043520327
BUN	0.0036406377
MP0134	0.0035276872
MS026	0.0035025647
MS007	0.0034281213
WBC	0.0034072439
MP0050	0.0032394093
cg11078090	0.0031760896
MP0141	0.003169133
MP0135	0.0030126036
MP0132	0.0028179425
Age	0.0027834778
cg00574958	0.0027363002
MP0085	0.0025833033
HOMA.IR	0.0025384624
MP0084	0.0024300078
cg05484949	0.0024188086
LDLC	0.002413298
MS003	0.0023973654
CKMB	0.0020983606
ALT	0.001989212
cg08726900	0.0018514951
EGFR	0.0017593985
FINS	0.0015735858
FFA	0.001397719
MP0045	0.0013794709
MS004	0.0013636054
MP0024	0.0013120432
MP0073	0.0012318762
MP0053	0.0010510146
MP0154	0.0
cg03629335	0.0
ML013	0.0
ML012	0.0
ML011	0.0
ML010	0.0
ML018	0.0
ML017	0.0
cg00827581	0.0
ML006	0.0
MP0156	0.0
MP0140	0.0
MP0203	0.0
cg27352622	0.0
ML014	0.0
MP0175	0.0
MP0142	0.0
MP0150	0.0
MP0159	0.0
MS029	0.0
ML019	0.0
ML015	0.0
ML016	0.0
MS024	0.0
MS023	0.0
MS021	0.0
MS019	0.0
MS017	0.0
MS016	0.0
cg03767807	0.0
MS015	0.0
MS014	0.0
MS013	0.0
MS011	0.0
MS010	0.0
MS009	0.0
MS008	0.0
cg06500161	0.0
cg17722508	0.0
MS005	0.0
cg17901584	0.0
MS002	0.0
MS001	0.0
MS030	0.0
MS025	0.0
MS022	0.0
MS020	0.0
MS018	0.0
cg21055197	0.0
MS027	0.0
HBA1C	0.0
MP0101	0.0
MP0127	0.0
MP0013	0.0
SBP	0.0
Sex	0.0
Dose	0.0
MP0005	0.0
MP0006	0.0
MP0012	0.0
MP0015	0.0
WEIGHT	0.0
MP0017	0.0
MP0018	0.0
MP0019	0.0
MP0021	0.0
MP0022	0.0
MP0023	0.0
DBP	0.0
WACC	0.0
MP0126	0.0
UCR	0.0
TG	0.0
TC	0.0
HDLC	0.0
AST	0.0
TBIL	0.0
SCR	0.0
UMA	0.0
BMI	0.0
UMACRR	0.0
HSCRP	0.0
HB	0.0
PLT	0.0
HCT	0.0
RBC	0.0
MP0027	0.0
MP0030	0.0
MP0034	0.0
MP0106	0.0
MP0086	0.0
MP0096	0.0
MP0098	0.0
MP0099	0.0
MP0100	0.0
MP0105	0.0
MP0112	0.0
MP0035	0.0
MP0113	0.0
MP0115	0.0
MP0116	0.0
MP0117	0.0
MP0118	0.0
MP0122	0.0
MP0082	0.0
MP0078	0.0
MP0077	0.0
MP0076	0.0
MP0074	0.0
MP0066	0.0
MP0065	0.0
MP0058	0.0
MP0054	0.0
MP0052	0.0
MP0051	0.0
MP0047	0.0
MP0046	0.0
MP0044	0.0
MP0042	0.0
MP0041	0.0
MP0038	0.0
cg14153852	0.0
